pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve
0.723,52,Sebastian Baez,1
0.6841,52,Lorenzo Sonego,2
0.6799,47,Nick Kyrgios,3
0.6734,47,Alejandro Davidovich Fokina,4
0.672,55,Diego Schwartzman,5
0.6679,60,Emil Ruusuvuori,6
0.6655,61,Pablo Carreno Busta,7
0.6613,53,Roberto Bautista Agut,8
0.6565,67,Carlos Alcaraz,9
0.6564,46,Jenson Brooksby,10
0.6563,49,Novak Djokovic,11
0.6538,44,Alex Molcan,12
0.6529,51,Albert Ramos-Vinolas,13
0.6528,72,Cameron Norrie,14
0.6527,70,Casper Ruud,15
0.6519,45,Pedro Martinez,16
0.6497,54,Mackenzie McDonald,17
0.6481,47,Rafael Nadal,18
0.6476,59,Lorenzo Musetti,19
0.6467,81,Felix Auger-Aliassime,20
0.6452,58,Brandon Nakashima,21
0.6404,64,Daniil Medvedev,22
0.6404,63,Holger Rune,23
0.6398,61,Karen Khachanov,24
0.6343,62,Hubert Hurkacz,25
0.633,62,Botic van de Zandschulp,26
0.6305,83,Stefanos Tsitsipas,27
0.6291,61,Miomir Kecmanovic,28
0.6291,48,Grigor Dimitrov,29
0.6285,55,Sebastian Korda,30
0.6198,55,Daniel Evans,31
0.6191,62,Taylor Fritz,32
0.6191,62,Tommy Paul,33
0.617,57,Denis Shapovalov,34
0.6167,71,Andrey Rublev,35
0.6165,53,Maxime Cressy,36
0.6117,44,Laslo Djere,37
0.6084,46,Marcos Giron,38
0.6029,52,Adrian Mannarino,39
0.5993,44,Andy Murray,40
0.5951,65,Alex de Minaur,41
0.5934,46,Aslan Karatsev,42
0.5927,55,Alexander Bublik,43
0.5879,51,Marin Cilic,44
0.581,59,Jannik Sinner,45
0.5728,59,Frances Tiafoe,46
0.5718,48,David Goffin,47
