pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player2,standing_player_1st_serve_pw
0.7913,2267,2865,53,Matteo Berrettini,1
0.7826,2538,3243,71,Daniil Medvedev,2
0.78,1783,2286,51,Marin Cilic,3
0.7734,2915,3769,74,Alexander Zverev,4
0.7692,2153,2799,62,Alexander Bublik,5
0.7685,1899,2471,53,Denis Shapovalov,6
0.7673,2255,2939,62,Felix Auger-Aliassime,7
0.7664,2497,3258,71,Andrey Rublev,8
0.7649,2414,3156,58,Novak Djokovic,9
0.763,1990,2608,51,Lloyd Harris,10
0.7618,2671,3506,74,Stefanos Tsitsipas,11
0.755,2206,2922,59,Hubert Hurkacz,12
0.7506,2131,2839,56,Taylor Fritz,13
0.7426,1691,2277,52,Jan-Lennard Struff,14
0.7362,1577,2142,47,Ilya Ivashka,15
0.7358,2323,3157,70,Casper Ruud,16
0.7235,2224,3074,59,Karen Khachanov,17
0.7229,1792,2479,54,Aslan Karatsev,18
0.7199,1943,2699,51,Lorenzo Sonego,19
0.7178,2083,2902,56,Frances Tiafoe,20
0.7147,1731,2422,49,Sebastian Korda,21
0.7133,2538,3558,74,Cameron Norrie,22
0.7101,2298,3236,68,Jannik Sinner,23
0.7093,1735,2446,54,Pablo Carreno Busta,24
0.7079,1752,2475,49,Marton Fucsovics,25
0.6984,1570,2248,49,Laslo Djere,26
0.6983,1553,2224,48,Tommy Paul,27
0.6977,1680,2408,45,Daniel Evans,28
0.6928,1937,2796,54,Roberto Bautista Agut,29
0.6882,1512,2197,48,Alex de Minaur,30
0.6869,1724,2510,60,Nikoloz Basilashvili,31
0.6869,1505,2191,44,Emil Ruusuvuori,32
0.6811,1683,2471,49,Albert Ramos-Vinolas,33
0.6809,1626,2388,49,Carlos Alcaraz,34
0.6808,1459,2143,46,Fabio Fognini,35
0.6756,1926,2851,59,Diego Schwartzman,36
0.6732,1551,2304,49,John Millman,37
0.6709,1492,2224,45,Dominik Koepfer,38
0.6679,1408,2108,47,Federico Delbonis,39
0.6635,1808,2725,50,Alejandro Davidovich Fokina,40
0.6549,1503,2295,44,Dusan Lajovic,41
