pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player2,standing_player_1st_serve_rpw
0.3534,1026,2903,55,Diego Schwartzman,1
0.3444,954,2770,47,Rafael Nadal,2
0.34,1275,3750,67,Carlos Alcaraz,3
0.331,1086,3281,65,Alex de Minaur,4
0.3303,831,2516,49,Novak Djokovic,5
0.3247,902,2778,55,Sebastian Korda,6
0.3247,874,2692,52,Sebastian Baez,7
0.3235,645,1994,46,Jenson Brooksby,8
0.3227,1026,3179,59,Jannik Sinner,9
0.3185,822,2581,47,Alejandro Davidovich Fokina,10
0.3168,772,2437,48,David Goffin,11
0.3166,1038,3279,64,Daniil Medvedev,12
0.3163,884,2795,60,Emil Ruusuvuori,13
0.3151,963,3056,62,Botic van de Zandschulp,14
0.3128,1003,3207,62,Tommy Paul,15
0.311,1125,3617,72,Cameron Norrie,16
0.3108,1322,4254,81,Felix Auger-Aliassime,17
0.3107,715,2301,45,Pedro Martinez,18
0.3067,807,2631,52,Lorenzo Sonego,19
0.3066,858,2798,51,Marin Cilic,20
0.3056,932,3050,61,Miomir Kecmanovic,21
0.3051,803,2632,51,Albert Ramos-Vinolas,22
0.3038,816,2686,55,Alexander Bublik,23
0.3026,749,2475,46,Aslan Karatsev,24
0.3026,686,2267,44,Alex Molcan,25
0.3015,785,2604,55,Daniel Evans,26
0.3002,732,2438,53,Roberto Bautista Agut,27
0.3002,715,2382,48,Grigor Dimitrov,28
0.2999,860,2868,59,Lorenzo Musetti,29
0.2994,1061,3544,62,Taylor Fritz,30
0.2992,793,2650,54,Mackenzie McDonald,31
0.2988,1074,3594,71,Andrey Rublev,32
0.2981,949,3183,61,Pablo Carreno Busta,33
0.2971,927,3120,63,Holger Rune,34
0.2943,1068,3629,70,Casper Ruud,35
0.2859,1225,4285,83,Stefanos Tsitsipas,36
0.2855,652,2284,44,Andy Murray,37
0.2821,891,3159,61,Karen Khachanov,38
0.2755,879,3190,57,Denis Shapovalov,39
0.2746,783,2851,58,Brandon Nakashima,40
0.2746,700,2549,52,Adrian Mannarino,41
0.2698,891,3303,62,Hubert Hurkacz,42
0.2695,657,2438,47,Nick Kyrgios,43
0.2688,583,2169,46,Marcos Giron,44
0.2669,573,2147,44,Laslo Djere,45
0.2635,866,3286,59,Frances Tiafoe,46
0.2429,685,2820,53,Maxime Cressy,47
