number_aces,matches_aces,standing_player2,standing_player_aces
529,32,Milos Raonic,1
425,20,John Isner,2
422,39,Alexander Zverev,3
411,51,Andrey Rublev,4
374,19,Reilly Opelka,5
362,42,Felix Auger-Aliassime,6
355,38,Daniil Medvedev,7
333,28,Taylor Fritz,8
307,32,Denis Shapovalov,9
302,41,Stefanos Tsitsipas,10
278,46,Novak Djokovic,11
273,28,Alexander Bublik,12
266,26,Vasek Pospisil,13
252,28,Jan-Lennard Struff,14
251,20,Kevin Anderson,15
245,21,Tennys Sandgren,16
244,36,Ugo Humbert,17
244,34,Dominic Thiem,18
241,17,Feliciano Lopez,19
240,24,Marin Cilic,20
236,35,Karen Khachanov,21
236,23,Benoit Paire,22
232,28,Hubert Hurkacz,23
225,23,Stan Wawrinka,24
221,22,Lloyd Harris,25
207,22,Aljaz Bedene,26
203,21,Egor Gerasimov,27
180,16,Jiri Vesely,28
179,28,Borna Coric,29
176,9,Nick Kyrgios,30
157,32,Pablo Carreno Busta,31
157,31,Adrian Mannarino,32
157,34,Rafael Nadal,33
152,15,Matteo Berrettini,34
151,20,Pierre-Hugues Herbert,35
151,9,Sam Querrey,36
148,23,Gael Monfils,37
147,29,Miomir Kecmanovic,38
142,30,Cristian Garin,39
140,34,Casper Ruud,40
138,27,Tommy Paul,41
133,29,John Millman,42
131,29,Grigor Dimitrov,43
130,23,David Goffin,44
129,33,Daniel Evans,45
127,26,Lorenzo Sonego,46
122,20,Pablo Cuevas,47
120,28,Filip Krajinovic,48
120,22,Cameron Norrie,49
119,30,Dusan Lajovic,50
115,22,Jordan Thompson,51
114,14,Steve Johnson,52
108,19,Kyle Edmund,53
104,16,Thiago Monteiro,54
103,16,Stefano Travaglia,55
102,30,Jannik Sinner,56
99,22,Laslo Djere,57
98,21,Marco Cecchinato,58
98,18,Marcos Giron,59
98,23,Gilles Simon,60
97,28,Roberto Bautista Agut,61
95,20,Salvatore Caruso,62
94,23,Marton Fucsovics,63
92,20,Frances Tiafoe,64
91,20,Richard Gasquet,65
89,12,James Duckworth,66
86,12,Gregoire Barrere,67
85,15,Emil Ruusuvuori,68
82,21,Federico Delbonis,69
82,13,Fernando Verdasco,70
80,23,Alex de Minaur,71
80,16,Dennis Novak,72
78,17,Guido Pella,73
76,15,Fabio Fognini,74
76,15,Soonwoo Kwon,75
75,11,Gianluca Mager,76
74,15,Norbert Gombos,77
73,16,Nikoloz Basilashvili,78
67,5,Ivo Karlovic,79
67,14,Andreas Seppi,80
66,6,Roger Federer,81
62,14,Ricardas Berankis,82
61,12,Mackenzie McDonald,83
57,7,Alexei Popyrin,84
56,7,Jeremy Chardy,85
56,6,Marc-Andrea Huesler,86
56,26,Yoshihito Nishioka,87
56,40,Diego Schwartzman,88
52,17,Juan Ignacio Londero,89
52,23,Albert Ramos-Vinolas,90
50,8,Thiago Seyboth Wild,91
49,4,Ernests Gulbis,92
49,15,Mikhail Kukushkin,93
48,6,Alex Bolt,94
48,12,Dominik Koepfer,95
48,7,Yasutaka Uchiyama,96
47,2,Quentin Halys,97
47,7,Ilya Ivashka,98
44,2,Maxime Cressy,99
43,11,Mikael Ymer,100
41,20,Corentin Moutet,101
40,6,Michael Mmoh,102
39,7,Jack Sock,103
39,9,Joao Sousa,104
38,5,Taro Daniel,105
38,23,Alejandro Davidovich Fokina,106
37,4,Peter Gojowczyk,107
37,7,Leonardo Mayer,108
36,17,Pedro Martinez,109
36,6,Marc Polmans,110
36,5,J.J. Wolf,111
35,2,Ernesto Escobedo,112
34,19,Radu Albot,113
34,6,Daniel Altmaier,114
34,15,Federico Coria,115
34,8,Philipp Kohlschreiber,116
34,6,Henri Laaksonen,117
34,5,Brandon Nakashima,118
33,6,Sebastian Korda,119
33,7,Andy Murray,120
33,4,Jurij Rodionov,121
32,5,Cedrik-Marcel Stebe,122
30,4,Prajnesh Gunneswaran,123
29,9,Jason Jung,124
29,5,Aslan Karatsev,125
27,14,Roberto Carballes Baena,126
27,3,Federico Gaio,127
27,5,Daniel Elahi Galan,128
27,6,Pedro Sousa,129
26,6,Jozef Kovalik,130
26,12,Andrej Martin,131
25,3,Nicolas Jarry,132
25,4,Danilo Petrovic,133
25,3,Viktor Troicki,134
24,5,Facundo Bagnis,135
24,10,Attila Balazs,136
24,9,Yuichi Sugita,137
23,10,Yannick Hanfmann,138
23,2,Andrey Kuznetsov,139
23,3,Christopher O'Connell,140
22,1,Christopher Eubanks,141
21,4,Kamil Majchrzak,142
21,11,Jaume Munar,143
21,4,Alejandro Tabilo,144
20,8,Damir Dzumhur,145
19,1,Denis Kudla,146
19,8,Lorenzo Musetti,147
18,4,Benjamin Bonzi,148
17,2,Ryan Harrison,149
17,2,Mitchell Krueger,150
17,1,Ramkumar Ramanathan,151
17,3,Mohamed Safwat,152
16,16,Pablo Andujar,153
15,2,Zizou Bergs,154
15,5,Evgeny Donskoy,155
15,2,Tatsuma Ito,156
15,5,Go Soeda,157
14,4,Dimitar Kuzmanov,158
14,5,Paolo Lorenzi,159
14,4,Nikola Milojevic,160
14,2,Kacper Zuk,161
13,1,Ulises Blanch,162
13,3,Steve Darcis,163
13,6,Hugo Gaston,164
13,4,Oscar Otte,165
13,2,Jo-Wilfried Tsonga,166
12,9,Hugo Dellien,167
12,1,Robin Haase,168
12,2,Cem Ilkel,169
12,2,Sebastian Ofner,170
12,1,Arthur Rinderknech,171
11,1,Thai-Son Kwiatkowski,172
11,3,Roberto Marcora,173
10,2,Tomas Barrios Vera,174
10,2,Elliot Benchetrit,175
10,1,Bradley Klahn,176
10,2,Martin Klizan,177
10,3,Aleksandre Metreveli,178
10,1,Nino Serdarusic,179
