pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player2,standing_player_break_point_won
0.7303,195,267,53,Matteo Berrettini,1
0.6967,232,333,53,Denis Shapovalov,2
0.6647,220,331,49,Sebastian Korda,3
0.6616,217,328,74,Stefanos Tsitsipas,4
0.6612,244,369,45,Daniel Evans,5
0.6602,274,415,62,Alexander Bublik,6
0.6596,312,473,68,Jannik Sinner,7
0.6591,203,308,58,Novak Djokovic,8
0.6583,262,398,59,Karen Khachanov,9
0.6554,194,296,54,Pablo Carreno Busta,10
0.6493,237,365,71,Andrey Rublev,11
0.641,241,376,56,Frances Tiafoe,12
0.6406,205,320,51,Marin Cilic,13
0.637,186,292,59,Hubert Hurkacz,14
0.6322,165,261,47,Ilya Ivashka,15
0.6229,223,358,56,Taylor Fritz,16
0.619,169,273,51,Lloyd Harris,17
0.6142,207,337,54,Aslan Karatsev,18
0.6117,178,291,51,Lorenzo Sonego,19
0.6097,189,310,70,Casper Ruud,20
0.6094,181,297,71,Daniil Medvedev,21
0.6084,202,332,48,Alex de Minaur,22
0.608,197,324,74,Alexander Zverev,23
0.605,216,357,49,Marton Fucsovics,24
0.6039,250,414,74,Cameron Norrie,25
0.6034,216,358,49,Carlos Alcaraz,26
0.6,213,355,49,Laslo Djere,27
0.5938,212,357,45,Dominik Koepfer,28
0.5915,210,355,46,Fabio Fognini,29
0.5905,248,420,59,Diego Schwartzman,30
0.5902,180,305,62,Felix Auger-Aliassime,31
0.5897,184,312,48,Tommy Paul,32
0.5891,205,348,47,Federico Delbonis,33
0.587,189,322,44,Dusan Lajovic,34
0.5868,196,334,52,Jan-Lennard Struff,35
0.5856,212,362,54,Roberto Bautista Agut,36
0.5762,223,387,50,Alejandro Davidovich Fokina,37
0.5735,199,347,49,Albert Ramos-Vinolas,38
0.5719,183,320,44,Emil Ruusuvuori,39
0.5702,207,363,49,John Millman,40
0.5658,228,403,60,Nikoloz Basilashvili,41
