return_standing_player_return,standing_player2,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return
1,Novak Djokovic,171.0,0.358,0.553,0.346,0.453
2,Diego Schwartzman,169.3,0.353,0.548,0.338,0.454
3,Daniil Medvedev,165.3,0.331,0.557,0.306,0.459
4,Carlos Alcaraz,160.4,0.331,0.526,0.309,0.438
5,Cameron Norrie,157.8,0.317,0.529,0.28,0.452
6,Casper Ruud,155.3,0.299,0.538,0.267,0.449
7,Andrey Rublev,154.2,0.302,0.545,0.259,0.436
8,Jannik Sinner,153.6,0.314,0.522,0.262,0.438
9,Alexander Zverev,153.5,0.312,0.536,0.273,0.414
10,Nikoloz Basilashvili,153.4,0.318,0.519,0.265,0.432
11,Federico Delbonis,153.4,0.318,0.531,0.276,0.409
12,Mikael Ymer,152.9,0.318,0.516,0.287,0.408
13,Federico Coria,152.6,0.311,0.516,0.271,0.428
14,Roberto Bautista Agut,152.3,0.288,0.548,0.255,0.432
15,Cristian Garin,152.1,0.333,0.501,0.271,0.416
16,Stefanos Tsitsipas,150.6,0.314,0.512,0.253,0.427
17,Kei Nishikori,149.8,0.308,0.529,0.274,0.387
18,Pedro Martinez,149.6,0.306,0.51,0.253,0.427
19,Marton Fucsovics,149.0,0.315,0.507,0.25,0.418
20,Ilya Ivashka,148.9,0.297,0.528,0.26,0.404
21,Francisco Cerundolo,148.8,0.369,0.475,0.255,0.389
22,Alejandro Davidovich Fokina,148.6,0.312,0.516,0.262,0.396
23,Alex de Minaur,148.4,0.323,0.498,0.253,0.41
24,Albert Ramos-Vinolas,148.2,0.301,0.53,0.244,0.407
25,Holger Rune,148.2,0.287,0.535,0.243,0.417
26,Grigor Dimitrov,148.2,0.309,0.511,0.251,0.411
27,Aslan Karatsev,148.0,0.311,0.513,0.262,0.394
28,Sebastian Korda,146.8,0.312,0.518,0.246,0.392
29,Emil Ruusuvuori,146.4,0.313,0.519,0.242,0.39
30,Pablo Carreno Busta,145.4,0.286,0.506,0.231,0.431
31,Fabio Fognini,145.2,0.317,0.485,0.242,0.408
32,Daniel Evans,145.0,0.295,0.506,0.226,0.423
33,John Millman,143.6,0.293,0.505,0.222,0.416
34,Tommy Paul,142.5,0.308,0.5,0.227,0.39
35,Gael Monfils,141.7,0.314,0.5,0.234,0.369
36,Jaume Munar,141.7,0.322,0.495,0.245,0.355
37,Laslo Djere,140.8,0.303,0.508,0.23,0.367
38,Dominik Koepfer,140.7,0.291,0.496,0.219,0.401
39,Andy Murray,140.5,0.277,0.51,0.222,0.396
40,Aljaz Bedene,140.4,0.295,0.483,0.204,0.422
41,Filip Krajinovic,140.1,0.277,0.5,0.221,0.403
42,Karen Khachanov,139.7,0.29,0.506,0.214,0.387
43,Frances Tiafoe,139.3,0.278,0.51,0.215,0.39
44,Denis Shapovalov,139.3,0.292,0.492,0.217,0.392
45,Soonwoo Kwon,139.2,0.292,0.503,0.226,0.371
46,Bernabe Zapata Miralles,139.0,0.294,0.495,0.223,0.378
47,Felix Auger-Aliassime,139.0,0.307,0.494,0.217,0.372
48,Stefano Travaglia,138.3,0.316,0.451,0.23,0.386
49,James Duckworth,138.3,0.268,0.512,0.209,0.394
50,Dusan Lajovic,137.9,0.291,0.5,0.217,0.371
51,Matteo Berrettini,137.6,0.3,0.467,0.206,0.403
52,Arthur Rinderknech,136.8,0.282,0.464,0.205,0.417
53,Marin Cilic,136.6,0.291,0.498,0.215,0.362
54,Lorenzo Sonego,136.5,0.294,0.479,0.209,0.383
55,Miomir Kecmanovic,136.4,0.29,0.494,0.206,0.374
56,Tomas Martin Etcheverry,136.2,0.299,0.559,0.2,0.304
57,Marco Cecchinato,136.1,0.306,0.475,0.2,0.38
58,Taylor Fritz,135.7,0.275,0.493,0.205,0.384
59,Egor Gerasimov,135.7,0.282,0.497,0.207,0.371
60,Mackenzie McDonald,135.4,0.288,0.503,0.209,0.354
61,Ricardas Berankis,135.4,0.278,0.514,0.21,0.352
62,Marcos Giron,134.9,0.274,0.495,0.19,0.39
63,Benoit Paire,134.7,0.303,0.467,0.203,0.374
64,Botic van de Zandschulp,134.5,0.298,0.478,0.209,0.36
65,Lorenzo Musetti,134.1,0.286,0.508,0.204,0.343
66,Jeremy Chardy,133.0,0.273,0.48,0.182,0.395
67,Alexander Bublik,133.0,0.284,0.458,0.198,0.39
68,Gianluca Mager,132.9,0.269,0.473,0.189,0.398
69,Lloyd Harris,132.8,0.264,0.483,0.188,0.393
70,Hubert Hurkacz,132.6,0.284,0.489,0.198,0.355
71,Jan-Lennard Struff,130.4,0.281,0.501,0.193,0.329
72,Jordan Thompson,129.8,0.279,0.491,0.188,0.34
73,Richard Gasquet,128.5,0.273,0.484,0.184,0.344
74,Borna Coric,128.2,0.275,0.481,0.173,0.353
75,Alexei Popyrin,125.3,0.266,0.466,0.167,0.354
76,Adrian Mannarino,125.2,0.274,0.448,0.159,0.371
77,Yoshihito Nishioka,124.6,0.258,0.494,0.159,0.335
78,Maxime Cressy,123.8,0.259,0.486,0.151,0.342
79,Sebastian Baez,114.7,0.31,0.398,0.196,0.243
80,Tallon Griekspoor,114.5,0.207,0.441,0.097,0.4
81,Ugo Humbert,113.1,0.253,0.449,0.133,0.296
82,Reilly Opelka,110.5,0.201,0.441,0.1,0.363
83,Nicolas Jarry,109.5,0.271,0.415,0.136,0.273
84,Nick Kyrgios,108.1,0.237,0.436,0.115,0.293
85,John Isner,98.2,0.202,0.417,0.088,0.275
86,J.J. Wolf,96.5,0.232,0.411,0.087,0.235
