pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player2,standing_player_return_games_won
0.3152,215,682,55,Diego Schwartzman,1
0.3118,203,651,47,Rafael Nadal,2
0.3077,276,897,67,Carlos Alcaraz,3
0.2865,165,576,49,Novak Djokovic,4
0.2855,229,802,65,Alex de Minaur,5
0.2727,162,594,53,Roberto Bautista Agut,6
0.2673,243,909,72,Cameron Norrie,7
0.267,208,779,64,Daniil Medvedev,8
0.2668,206,772,59,Jannik Sinner,9
0.2648,179,676,55,Sebastian Korda,10
0.2612,169,647,47,Alejandro Davidovich Fokina,11
0.2609,132,506,46,Jenson Brooksby,12
0.2534,188,742,61,Miomir Kecmanovic,13
0.2528,156,617,48,David Goffin,14
0.2524,159,630,52,Sebastian Baez,15
0.2522,175,694,60,Emil Ruusuvuori,16
0.2493,187,750,62,Botic van de Zandschulp,17
0.245,207,845,62,Taylor Fritz,18
0.2432,188,773,61,Pablo Carreno Busta,19
0.2426,188,775,62,Tommy Paul,20
0.2419,157,649,55,Daniel Evans,21
0.2418,162,670,54,Mackenzie McDonald,22
0.2365,131,554,44,Andy Murray,23
0.2356,168,713,59,Lorenzo Musetti,24
0.2354,209,888,71,Andrey Rublev,25
0.2342,148,632,51,Albert Ramos-Vinolas,26
0.2299,126,548,45,Pedro Martinez,27
0.2285,154,674,51,Marin Cilic,28
0.2274,123,541,44,Alex Molcan,29
0.2264,201,888,70,Casper Ruud,30
0.2222,172,774,63,Holger Rune,31
0.2218,126,568,48,Grigor Dimitrov,32
0.2206,133,603,46,Aslan Karatsev,33
0.2122,222,1046,83,Stefanos Tsitsipas,34
0.2098,209,996,81,Felix Auger-Aliassime,35
0.2028,114,562,44,Laslo Djere,36
0.2027,136,671,52,Lorenzo Sonego,37
0.2017,163,808,61,Karen Khachanov,38
0.1973,132,669,55,Alexander Bublik,39
0.1962,123,627,52,Adrian Mannarino,40
0.1946,123,632,47,Nick Kyrgios,41
0.1882,153,813,59,Frances Tiafoe,42
0.1852,133,718,58,Brandon Nakashima,43
0.1829,143,782,57,Denis Shapovalov,44
0.179,145,810,62,Hubert Hurkacz,45
0.1728,98,567,46,Marcos Giron,46
0.1321,95,719,53,Maxime Cressy,47
