under_pressure_standing_player_underpressure,standing_player2,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
1,Alexander Zverev,252.1,0.453,0.611,0.857,0.6
2,Novak Djokovic,245.6,0.425,0.639,0.792,0.6
3,Rafael Nadal,242.7,0.435,0.619,0.706,0.667
4,Nick Kyrgios,242.5,0.426,0.755,0.552,0.692
5,Dominic Thiem,239.2,0.384,0.563,0.778,0.667
6,Stefanos Tsitsipas,239.1,0.415,0.663,0.609,0.704
7,Filip Krajinovic,239.0,0.475,0.611,0.526,0.778
8,Jannik Sinner,238.6,0.414,0.626,0.696,0.65
9,Andrey Rublev,238.0,0.394,0.636,0.6,0.75
10,Matteo Berrettini,236.0,0.37,0.689,0.654,0.647
11,Carlos Alcaraz,233.6,0.404,0.653,0.571,0.708
12,Casper Ruud,231.7,0.374,0.629,0.667,0.647
13,Cameron Norrie,231.4,0.437,0.626,0.571,0.68
14,Jenson Brooksby,228.8,0.437,0.584,0.6,0.667
15,Yoshihito Nishioka,228.2,0.416,0.611,0.563,0.692
16,Arthur Rinderknech,227.2,0.345,0.652,0.542,0.733
17,Botic van de Zandschulp,224.7,0.42,0.617,0.654,0.556
18,Brandon Nakashima,224.3,0.383,0.622,0.738,0.5
19,Frances Tiafoe,222.5,0.381,0.64,0.682,0.522
20,Reilly Opelka,221.8,0.307,0.711,0.5,0.7
21,Felix Auger-Aliassime,221.7,0.377,0.672,0.585,0.583
22,Karen Khachanov,221.0,0.408,0.64,0.448,0.714
23,Diego Schwartzman,220.4,0.427,0.592,0.435,0.75
24,Cristian Garin,217.1,0.399,0.587,0.385,0.8
25,Borna Coric,216.0,0.331,0.615,0.714,0.5
26,Taylor Fritz,215.6,0.381,0.62,0.561,0.594
27,John Isner,215.5,0.291,0.702,0.612,0.55
28,Alex de Minaur,214.6,0.44,0.626,0.556,0.524
