,pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve,pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player_1st_serve_pw,pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player_1st_serve_rpw,pct_2nd_serve_pw,points_won_2nd_serve_pw,total_points_2nd_serve_pw,matches_2nd_serve_pw,standing_player_2nd_serve_pw,pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player_2nd_serve_rpw,number_aces,matches_aces,standing_player_aces,pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player_break_points_converted,pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player_break_point_won,return_standing_player_return,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return,pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player_return_games_won,serve_standing_player_serve,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve,pct_services_games_won,games_won_services_games_won,total_games_services_games_won,matches_services_games_won,standing_player_services_games_won,under_pressure_standing_player_underpressure,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
0,0.723,52.0,Sebastian Baez,1.0,0.6385,1863.0,2918.0,52.0,46.0,0.3247,874.0,2692.0,52.0,7.0,0.5083,763.0,1501.0,52.0,20.0,0.5083,763.0,1501.0,52.0,20.0,88,52,110,0.3859,159.0,412.0,52.0,37.0,0.5866,227.0,387.0,52.0,41.0,24.0,147.1,0.325,0.508,0.252,0.386,0.2524,159.0,630.0,52.0,15.0,58.0,262.5,0.723,0.638,0.524,0.743,1.7,2.0,0.7432,463.0,623.0,52.0,44.0,65.0,184.6,0.386,0.587,0.294,0.579
1,0.6841,52.0,Lorenzo Sonego,2.0,0.7158,2111.0,2949.0,52.0,26.0,0.3067,807.0,2631.0,52.0,19.0,0.4543,731.0,1609.0,52.0,46.0,0.4543,731.0,1609.0,52.0,46.0,313,52,27,0.4159,136.0,327.0,52.0,14.0,0.6265,213.0,340.0,52.0,18.0,55.0,138.0,0.307,0.454,0.203,0.416,0.2027,136.0,671.0,52.0,37.0,27.0,275.7,0.684,0.716,0.503,0.812,6.0,1.8,0.8124,550.0,677.0,52.0,23.0,67.0,183.0,0.416,0.626,0.577,0.211
2,0.6799,47.0,Nick Kyrgios,3.0,0.7876,2043.0,2594.0,47.0,1.0,0.2695,657.0,2438.0,47.0,43.0,0.4772,710.0,1488.0,47.0,41.0,0.4772,710.0,1488.0,47.0,41.0,747,47,5,0.4256,123.0,289.0,47.0,8.0,0.7554,139.0,184.0,47.0,1.0,57.0,136.7,0.269,0.477,0.195,0.426,0.1946,123.0,632.0,47.0,41.0,2.0,308.1,0.68,0.788,0.559,0.929,15.9,3.4,0.9288,587.0,632.0,47.0,1.0,4.0,242.5,0.426,0.755,0.552,0.692
3,0.6734,47.0,Alejandro Davidovich Fokina,4.0,0.6559,1830.0,2790.0,47.0,44.0,0.3185,822.0,2581.0,47.0,10.0,0.5,815.0,1630.0,47.0,30.0,0.5,815.0,1630.0,47.0,30.0,147,47,79,0.4033,169.0,419.0,47.0,22.0,0.5427,197.0,363.0,47.0,47.0,21.0,148.2,0.318,0.5,0.261,0.403,0.2612,169.0,647.0,47.0,11.0,66.0,259.8,0.673,0.656,0.525,0.741,3.1,2.8,0.7406,474.0,640.0,47.0,45.0,70.0,177.1,0.403,0.543,0.375,0.45
4,0.672,55.0,Diego Schwartzman,5.0,0.6305,1920.0,3045.0,55.0,47.0,0.3534,1026.0,2903.0,55.0,1.0,0.5398,916.0,1697.0,55.0,5.0,0.5398,916.0,1697.0,55.0,5.0,65,55,122,0.4266,215.0,504.0,55.0,6.0,0.592,296.0,500.0,55.0,39.0,1.0,163.5,0.353,0.54,0.315,0.427,0.3152,215.0,682.0,55.0,1.0,82.0,246.0,0.672,0.631,0.486,0.697,1.2,3.8,0.6969,469.0,673.0,55.0,47.0,23.0,220.4,0.427,0.592,0.435,0.75
5,0.6679,60.0,Emil Ruusuvuori,6.0,0.6942,2027.0,2920.0,60.0,35.0,0.3163,884.0,2795.0,60.0,13.0,0.5156,940.0,1823.0,60.0,14.0,0.5156,940.0,1823.0,60.0,14.0,220,60,48,0.3968,175.0,441.0,60.0,25.0,0.5959,230.0,386.0,60.0,35.0,22.0,148.1,0.316,0.516,0.252,0.397,0.2522,175.0,694.0,60.0,16.0,49.0,265.3,0.668,0.694,0.508,0.777,3.7,3.1,0.7765,542.0,698.0,60.0,35.0,46.0,201.4,0.397,0.596,0.632,0.389
6,0.6655,61.0,Pablo Carreno Busta,7.0,0.705,2261.0,3207.0,61.0,31.0,0.2981,949.0,3183.0,61.0,33.0,0.5198,1000.0,1924.0,61.0,13.0,0.5198,1000.0,1924.0,61.0,13.0,242,61,41,0.3852,188.0,488.0,61.0,38.0,0.6349,233.0,367.0,61.0,15.0,33.0,144.6,0.298,0.52,0.243,0.385,0.2432,188.0,773.0,61.0,19.0,23.0,278.5,0.665,0.705,0.565,0.828,4.0,1.8,0.8275,643.0,777.0,61.0,18.0,43.0,205.8,0.385,0.635,0.56,0.478
7,0.6613,53.0,Roberto Bautista Agut,8.0,0.7146,1805.0,2526.0,53.0,27.0,0.3002,732.0,2438.0,53.0,27.0,0.5512,834.0,1513.0,53.0,2.0,0.5512,834.0,1513.0,53.0,2.0,146,53,80,0.3913,162.0,414.0,53.0,32.0,0.6129,171.0,279.0,53.0,30.0,15.0,151.5,0.3,0.551,0.273,0.391,0.2727,162.0,594.0,53.0,6.0,30.0,274.6,0.661,0.715,0.536,0.823,2.8,1.7,0.8232,503.0,611.0,53.0,20.0,53.0,195.3,0.391,0.613,0.52,0.429
8,0.6565,67.0,Carlos Alcaraz,9.0,0.7189,2637.0,3668.0,67.0,23.0,0.34,1275.0,3750.0,67.0,3.0,0.534,1241.0,2324.0,67.0,7.0,0.534,1241.0,2324.0,67.0,7.0,258,67,38,0.4035,276.0,684.0,67.0,21.0,0.6534,262.0,401.0,67.0,8.0,5.0,158.6,0.34,0.534,0.308,0.404,0.3077,276.0,897.0,67.0,3.0,22.0,278.7,0.657,0.719,0.554,0.844,3.9,2.6,0.8438,751.0,890.0,67.0,13.0,11.0,233.6,0.404,0.653,0.571,0.708
9,0.6564,46.0,Jenson Brooksby,10.0,0.6619,1429.0,2159.0,46.0,42.0,0.3235,645.0,1994.0,46.0,8.0,0.4975,601.0,1208.0,46.0,33.0,0.4975,601.0,1208.0,46.0,33.0,127,46,88,0.4371,132.0,302.0,46.0,4.0,0.5836,178.0,305.0,46.0,42.0,14.0,151.9,0.323,0.498,0.261,0.437,0.2609,132.0,506.0,46.0,12.0,62.0,260.8,0.656,0.662,0.525,0.75,2.8,1.3,0.75,381.0,508.0,46.0,40.0,14.0,228.8,0.437,0.584,0.6,0.667
10,0.6563,49.0,Novak Djokovic,11.0,0.7717,1832.0,2374.0,49.0,6.0,0.3303,831.0,2516.0,49.0,5.0,0.5599,771.0,1377.0,49.0,1.0,0.5599,771.0,1377.0,49.0,1.0,291,49,28,0.4253,165.0,388.0,49.0,9.0,0.639,131.0,205.0,49.0,13.0,4.0,160.1,0.33,0.56,0.286,0.425,0.2865,165.0,576.0,49.0,4.0,7.0,290.7,0.656,0.772,0.562,0.877,5.9,1.9,0.8771,528.0,602.0,49.0,4.0,2.0,245.6,0.425,0.639,0.792,0.6
11,0.6538,44.0,Alex Molcan,12.0,0.6718,1539.0,2291.0,44.0,41.0,0.3026,686.0,2267.0,44.0,25.0,0.5047,648.0,1284.0,44.0,24.0,0.5047,648.0,1284.0,44.0,24.0,159,44,74,0.3942,123.0,312.0,44.0,29.0,0.5918,187.0,316.0,44.0,40.0,40.0,142.9,0.303,0.505,0.227,0.394,0.2274,123.0,541.0,44.0,29.0,55.0,263.7,0.654,0.672,0.531,0.765,3.6,2.1,0.765,420.0,549.0,44.0,39.0,39.0,206.9,0.394,0.592,0.545,0.538
12,0.6529,51.0,Albert Ramos-Vinolas,13.0,0.6613,1755.0,2654.0,51.0,43.0,0.3051,803.0,2632.0,51.0,22.0,0.5122,777.0,1517.0,51.0,16.0,0.5122,777.0,1517.0,51.0,16.0,129,51,87,0.4146,148.0,357.0,51.0,16.0,0.6184,256.0,414.0,51.0,27.0,26.0,146.6,0.305,0.512,0.234,0.415,0.2342,148.0,632.0,51.0,26.0,68.0,257.7,0.653,0.661,0.51,0.746,2.5,1.8,0.746,464.0,622.0,51.0,43.0,55.0,193.2,0.415,0.618,0.455,0.444
13,0.6528,72.0,Cameron Norrie,14.0,0.7141,2660.0,3725.0,72.0,28.0,0.311,1125.0,3617.0,72.0,16.0,0.5257,1195.0,2273.0,72.0,11.0,0.5257,1195.0,2273.0,72.0,11.0,330,72,24,0.4371,243.0,556.0,72.0,3.0,0.6261,288.0,460.0,72.0,20.0,12.0,154.1,0.311,0.526,0.267,0.437,0.2673,243.0,909.0,72.0,7.0,36.0,271.2,0.653,0.714,0.51,0.809,4.6,2.0,0.8089,728.0,900.0,72.0,26.0,13.0,231.4,0.437,0.626,0.571,0.68
14,0.6527,70.0,Casper Ruud,15.0,0.7477,2730.0,3651.0,70.0,15.0,0.2943,1068.0,3629.0,70.0,35.0,0.5034,1040.0,2066.0,70.0,25.0,0.5034,1040.0,2066.0,70.0,25.0,410,70,18,0.3736,201.0,538.0,70.0,44.0,0.6288,227.0,361.0,70.0,17.0,51.0,139.7,0.294,0.503,0.226,0.374,0.2264,201.0,888.0,70.0,30.0,12.0,284.1,0.653,0.748,0.549,0.853,5.9,2.1,0.8531,778.0,912.0,70.0,9.0,12.0,231.7,0.374,0.629,0.667,0.647
15,0.6519,45.0,Pedro Martinez,16.0,0.6428,1537.0,2391.0,45.0,45.0,0.3107,715.0,2301.0,45.0,18.0,0.5073,693.0,1366.0,45.0,22.0,0.5073,693.0,1366.0,45.0,22.0,96,45,104,0.351,126.0,359.0,45.0,46.0,0.5765,196.0,340.0,45.0,44.0,50.0,139.9,0.311,0.507,0.23,0.351,0.2299,126.0,548.0,45.0,27.0,75.0,253.8,0.652,0.643,0.522,0.736,2.1,3.6,0.7363,402.0,546.0,45.0,46.0,69.0,177.7,0.351,0.576,0.421,0.429
16,0.6497,54.0,Mackenzie McDonald,17.0,0.6877,1973.0,2869.0,54.0,40.0,0.2992,793.0,2650.0,54.0,31.0,0.5082,810.0,1594.0,54.0,21.0,0.5082,810.0,1594.0,54.0,21.0,286,54,30,0.4263,162.0,380.0,54.0,7.0,0.6107,240.0,393.0,54.0,32.0,23.0,147.5,0.299,0.508,0.242,0.426,0.2418,162.0,670.0,54.0,22.0,51.0,264.7,0.65,0.688,0.505,0.772,5.3,2.1,0.7723,519.0,672.0,54.0,37.0,66.0,183.3,0.426,0.611,0.48,0.316
17,0.6481,47.0,Rafael Nadal,18.0,0.7274,1945.0,2674.0,47.0,21.0,0.3444,954.0,2770.0,47.0,2.0,0.5406,839.0,1552.0,47.0,4.0,0.5406,839.0,1552.0,47.0,4.0,228,47,45,0.4356,203.0,466.0,47.0,5.0,0.6125,177.0,289.0,47.0,31.0,2.0,162.6,0.342,0.539,0.31,0.435,0.3118,203.0,651.0,47.0,2.0,24.0,277.9,0.649,0.73,0.55,0.837,4.9,3.6,0.8326,557.0,669.0,47.0,15.0,3.0,242.7,0.435,0.619,0.706,0.667
18,0.6476,59.0,Lorenzo Musetti,19.0,0.6939,1997.0,2878.0,59.0,36.0,0.2999,860.0,2868.0,59.0,29.0,0.5,808.0,1616.0,59.0,29.0,0.5,808.0,1616.0,59.0,29.0,209,59,53,0.4628,168.0,363.0,59.0,1.0,0.5773,209.0,362.0,59.0,43.0,18.0,149.9,0.3,0.5,0.236,0.463,0.2356,168.0,713.0,59.0,24.0,42.0,267.6,0.648,0.694,0.535,0.785,3.5,2.1,0.7845,557.0,710.0,59.0,33.0,34.0,210.7,0.463,0.577,0.467,0.6
19,0.6467,81.0,Felix Auger-Aliassime,20.0,0.7709,3183.0,4129.0,81.0,7.0,0.3108,1322.0,4254.0,81.0,17.0,0.4787,1126.0,2352.0,81.0,39.0,0.4787,1126.0,2352.0,81.0,39.0,890,81,2,0.3766,209.0,555.0,81.0,43.0,0.6721,287.0,427.0,81.0,4.0,56.0,137.7,0.311,0.479,0.21,0.377,0.2098,209.0,996.0,81.0,35.0,11.0,286.1,0.647,0.771,0.504,0.863,11.0,3.4,0.8626,879.0,1019.0,81.0,7.0,21.0,221.7,0.377,0.672,0.585,0.583
20,0.6452,58.0,Brandon Nakashima,21.0,0.7485,2164.0,2891.0,58.0,14.0,0.2746,783.0,2851.0,58.0,40.0,0.4935,871.0,1765.0,58.0,36.0,0.4935,871.0,1765.0,58.0,36.0,431,58,17,0.3833,133.0,347.0,58.0,39.0,0.6216,184.0,296.0,58.0,25.0,64.0,133.6,0.275,0.493,0.185,0.383,0.1852,133.0,718.0,58.0,43.0,15.0,283.0,0.645,0.749,0.534,0.844,7.4,1.6,0.8442,607.0,719.0,58.0,12.0,18.0,224.3,0.383,0.622,0.738,0.5
21,0.6404,64.0,Daniil Medvedev,22.0,0.7645,2438.0,3189.0,64.0,11.0,0.3166,1038.0,3279.0,64.0,12.0,0.5386,991.0,1840.0,64.0,6.0,0.5386,991.0,1840.0,64.0,6.0,590,64,9,0.4245,208.0,490.0,64.0,10.0,0.6796,227.0,334.0,64.0,3.0,9.0,154.7,0.317,0.539,0.267,0.424,0.267,208.0,779.0,64.0,8.0,13.0,283.1,0.64,0.765,0.51,0.864,9.2,4.0,0.8637,678.0,785.0,64.0,5.0,51.0,197.6,0.424,0.68,0.586,0.286
22,0.6404,63.0,Holger Rune,23.0,0.7217,2220.0,3076.0,63.0,22.0,0.2971,927.0,3120.0,63.0,34.0,0.505,912.0,1806.0,63.0,23.0,0.505,912.0,1806.0,63.0,23.0,278,63,32,0.4086,172.0,421.0,63.0,19.0,0.6456,235.0,364.0,63.0,10.0,39.0,143.3,0.297,0.505,0.222,0.409,0.2222,172.0,774.0,63.0,31.0,33.0,273.3,0.64,0.722,0.531,0.831,4.4,3.5,0.8307,633.0,762.0,63.0,17.0,30.0,213.7,0.409,0.646,0.556,0.526
23,0.6398,61.0,Karen Khachanov,24.0,0.7313,2403.0,3286.0,61.0,19.0,0.2821,891.0,3159.0,61.0,38.0,0.4888,961.0,1966.0,61.0,38.0,0.4888,961.0,1966.0,61.0,38.0,476,61,16,0.4075,163.0,400.0,61.0,20.0,0.6404,260.0,406.0,61.0,11.0,53.0,138.1,0.282,0.489,0.202,0.408,0.2017,163.0,808.0,61.0,38.0,28.0,275.4,0.64,0.731,0.511,0.82,7.8,2.6,0.8198,664.0,810.0,61.0,21.0,22.0,221.0,0.408,0.64,0.448,0.714
24,0.6343,62.0,Hubert Hurkacz,25.0,0.7823,2540.0,3247.0,62.0,5.0,0.2698,891.0,3303.0,62.0,42.0,0.4771,929.0,1947.0,62.0,42.0,0.4771,929.0,1947.0,62.0,42.0,827,62,3,0.3796,145.0,382.0,62.0,42.0,0.7011,183.0,261.0,62.0,2.0,69.0,130.6,0.27,0.477,0.179,0.38,0.179,145.0,810.0,62.0,45.0,4.0,299.1,0.634,0.782,0.553,0.905,13.3,1.6,0.9055,747.0,825.0,62.0,2.0,29.0,213.9,0.38,0.701,0.458,0.6
25,0.633,62.0,Botic van de Zandschulp,26.0,0.7158,2163.0,3022.0,62.0,25.0,0.3151,963.0,3056.0,62.0,14.0,0.5033,922.0,1832.0,62.0,26.0,0.5033,922.0,1832.0,62.0,26.0,402,62,19,0.4202,187.0,445.0,62.0,11.0,0.6166,267.0,433.0,62.0,28.0,20.0,148.7,0.315,0.503,0.249,0.42,0.2493,187.0,750.0,62.0,17.0,56.0,263.0,0.633,0.716,0.479,0.776,6.5,3.9,0.7763,576.0,742.0,62.0,36.0,17.0,224.7,0.42,0.617,0.654,0.556
26,0.6305,83.0,Stefanos Tsitsipas,27.0,0.7645,3172.0,4149.0,83.0,10.0,0.2859,1225.0,4285.0,83.0,36.0,0.4987,1184.0,2374.0,83.0,31.0,0.4987,1184.0,2374.0,83.0,31.0,628,83,8,0.415,222.0,535.0,83.0,15.0,0.6628,287.0,433.0,83.0,6.0,45.0,141.2,0.286,0.499,0.212,0.415,0.2122,222.0,1046.0,83.0,34.0,10.0,286.6,0.631,0.765,0.552,0.863,7.6,2.1,0.8633,922.0,1068.0,83.0,6.0,6.0,239.1,0.415,0.663,0.609,0.704
27,0.6291,61.0,Miomir Kecmanovic,28.0,0.6918,2036.0,2943.0,61.0,37.0,0.3056,932.0,3050.0,61.0,21.0,0.5313,968.0,1822.0,61.0,8.0,0.5313,968.0,1822.0,61.0,8.0,223,61,46,0.4096,188.0,459.0,61.0,18.0,0.6219,250.0,402.0,61.0,24.0,17.0,150.0,0.306,0.531,0.253,0.41,0.2534,188.0,742.0,61.0,13.0,39.0,268.7,0.629,0.692,0.551,0.793,3.7,1.5,0.7926,581.0,733.0,61.0,31.0,31.0,213.3,0.41,0.622,0.538,0.563
28,0.6291,48.0,Grigor Dimitrov,29.0,0.7501,1645.0,2193.0,48.0,13.0,0.3002,715.0,2382.0,48.0,28.0,0.4962,649.0,1308.0,48.0,34.0,0.4962,649.0,1308.0,48.0,34.0,267,48,36,0.3889,126.0,324.0,48.0,35.0,0.6047,153.0,253.0,48.0,33.0,48.0,140.7,0.3,0.496,0.222,0.389,0.2218,126.0,568.0,48.0,32.0,31.0,274.3,0.629,0.75,0.513,0.824,5.6,2.9,0.8239,468.0,568.0,48.0,19.0,40.0,206.4,0.389,0.605,0.455,0.615
29,0.6285,55.0,Sebastian Korda,30.0,0.7039,1983.0,2817.0,55.0,32.0,0.3247,902.0,2778.0,55.0,6.0,0.5021,842.0,1677.0,55.0,27.0,0.5021,842.0,1677.0,55.0,27.0,325,55,25,0.4172,179.0,429.0,55.0,12.0,0.624,229.0,367.0,55.0,23.0,16.0,150.9,0.325,0.502,0.265,0.417,0.2648,179.0,676.0,55.0,10.0,43.0,267.1,0.629,0.704,0.504,0.799,5.9,2.4,0.7991,549.0,687.0,55.0,27.0,45.0,203.5,0.417,0.624,0.52,0.474
