Serve Standing Player;Serve Standing Player2;Serve Rating;% 1st Serve;% 1st Serve Points Won;% 2nd Serve Points Won;% Service Games Won;Avg. Aces/ Match;Avg. Double Faults/Match
1;John Isner;314;0.684;0.807;0.535;0.917;22.4;2.7
2;Nick Kyrgios;308.1;0.68;0.788;0.559;0.929;15.9;3.4
3;Reilly Opelka;307.1;0.652;0.795;0.578;0.908;15.9;2.1
4;Hubert Hurkacz;299.1;0.634;0.782;0.553;0.905;13.3;1.6
5;Matteo Berrettini;292;0.64;0.783;0.516;0.878;12.4;2.1
6;Nicolas Jarry;291.8;0.645;0.812;0.49;0.87;12.4;2.3
7;Novak Djokovic;290.7;0.656;0.772;0.562;0.877;5.9;1.9
8;Maxime Cressy;289.3;0.616;0.783;0.544;0.888;14.5;8.3
9;Ben Shelton;286.6;0.586;0.79;0.543;0.895;10;4.8
10;Stefanos Tsitsipas;286.6;0.631;0.765;0.552;0.863;7.6;2.1
11;Felix Auger-Aliassime;286.1;0.647;0.771;0.504;0.863;11;3.4
12;Casper Ruud;284.1;0.653;0.748;0.549;0.853;5.9;2.1
13;Daniil Medvedev;283.1;0.64;0.765;0.51;0.864;9.2;4
14;Taylor Fritz;283.1;0.619;0.762;0.526;0.842;10.4;2.2
15;Brandon Nakashima;283;0.645;0.749;0.534;0.844;7.4;1.6
16;Marin Cilic;282.5;0.588;0.784;0.515;0.857;11.5;3.4
17;Arthur Rinderknech;281.2;0.657;0.749;0.487;0.841;9.6;1.8
18;Thiago Monteiro;281;0.662;0.727;0.545;0.825;6.5;1.4
19;Alexander Zverev;280.5;0.702;0.746;0.479;0.841;7.4;3.7
20;Andrey Rublev;280.1;0.617;0.765;0.513;0.848;7.9;2.1
21;Denis Shapovalov;279.2;0.617;0.766;0.528;0.851;8.7;5.7
22;Carlos Alcaraz;278.7;0.657;0.719;0.554;0.844;3.9;2.6
23;Pablo Carreno Busta;278.5;0.665;0.705;0.565;0.828;4;1.8
24;Rafael Nadal;277.9;0.649;0.73;0.55;0.837;4.9;3.6
25;Borna Coric;276.8;0.62;0.735;0.538;0.825;6.8;1.8
26;Steve Johnson;276.2;0.567;0.771;0.526;0.839;9.7;3.8
27;Lorenzo Sonego;275.7;0.684;0.716;0.503;0.812;6;1.8
28;Karen Khachanov;275.4;0.64;0.731;0.511;0.82;7.8;2.6
29;Jack Draper;275.1;0.588;0.756;0.509;0.847;8.2;3.1
30;Roberto Bautista Agut;274.6;0.661;0.715;0.536;0.823;2.8;1.7
31;Grigor Dimitrov;274.3;0.629;0.75;0.513;0.824;5.6;2.9
32;Benjamin Bonzi;273.6;0.601;0.739;0.53;0.831;6;2.5
33;Holger Rune;273.3;0.64;0.722;0.531;0.831;4.4;3.5
34;Jannik Sinner;272.4;0.581;0.745;0.532;0.832;6.3;2.9
35;Jan-Lennard Struff;271.9;0.571;0.753;0.516;0.816;10.1;3.8
36;Cameron Norrie;271.2;0.653;0.714;0.51;0.809;4.6;2
37;Frances Tiafoe;270.3;0.573;0.737;0.518;0.815;8.4;2.4
38;Tallon Griekspoor;270;0.622;0.723;0.51;0.805;7.1;3.1
39;Miomir Kecmanovic;268.7;0.629;0.692;0.551;0.793;3.7;1.5
40;Alexander Bublik;268.7;0.593;0.784;0.435;0.811;13;6.6
41;Adrian Mannarino;268.2;0.603;0.708;0.544;0.795;5.4;2.2
42;Lorenzo Musetti;267.6;0.648;0.694;0.535;0.785;3.5;2.1
43;Sebastian Korda;267.1;0.629;0.704;0.504;0.799;5.9;2.4
44;Andy Murray;266.8;0.599;0.742;0.494;0.794;6.6;2.7
45;Oscar Otte;266.4;0.566;0.763;0.488;0.805;8.3;4.1
46;Laslo Djere;266.4;0.612;0.727;0.491;0.81;6.2;3.8
47;Daniel Evans;265.6;0.62;0.717;0.514;0.786;4.3;2.4
48;Tommy Paul;265.5;0.619;0.71;0.514;0.797;4;2.5
49;Emil Ruusuvuori;265.3;0.668;0.694;0.508;0.777;3.7;3.1
50;Dominic Thiem;265.1;0.633;0.688;0.532;0.777;4.3;2.2
51;Mackenzie McDonald;264.7;0.65;0.688;0.505;0.772;5.3;2.1
