,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Unnamed: 0,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
0,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,0,John Isner,314.00000000000006,314.0,Serve Rating,0.0,<10%
1,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,1,John Isner,314.00000000000006,314.0,% 1st Serve,3.5375000000000183,<10%
2,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,2,John Isner,314.00000000000006,314.0,% 1st Serve Points Won,8.925000000000006,<10%
3,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,3,John Isner,314.00000000000006,314.0,% 2nd Serve Points Won,1.462500000000018,<10%
4,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,4,John Isner,314.00000000000006,314.0,% Service Games Won,11.16250000000002,<10%
5,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,5,John Isner,314.00000000000006,314.0,Avg. Aces/ Match,15.66249999999998,<10%
6,1,John Isner,314,"0,684","0,807","0,535","0,917","22,4","2,7",314.00000000000006,1,6,John Isner,314.00000000000006,314.0,Avg. Double Faults/Match,0.1000000000000155,<10%
7,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,7,Nick Kyrgios,308.1,308.1,Serve Rating,0.0,<10%
8,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,8,Nick Kyrgios,308.1,308.1,% 1st Serve,3.087500000000001,<10%
9,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,9,Nick Kyrgios,308.1,308.1,% 1st Serve Points Won,6.787499999999999,<10%
10,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,10,Nick Kyrgios,308.1,308.1,% 2nd Serve Points Won,4.162500000000001,<10%
11,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,11,Nick Kyrgios,308.1,308.1,% Service Games Won,12.51250000000001,<10%
12,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,12,Nick Kyrgios,308.1,308.1,Avg. Aces/ Match,8.349999999999994,<10%
13,2,Nick Kyrgios,"308,1","0,68","0,788","0,559","0,929","15,9","3,4",308.1,2,13,Nick Kyrgios,308.1,308.1,Avg. Double Faults/Match,-0.6874999999999738,<10%
14,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,14,Reilly Opelka,307.0999999999999,307.1,Serve Rating,0.0,<10%
15,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,15,Reilly Opelka,307.0999999999999,307.1,% 1st Serve,0.2874999999999906,<10%
16,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,16,Reilly Opelka,307.0999999999999,307.1,% 1st Serve Points Won,7.48749999999998,<10%
17,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,17,Reilly Opelka,307.0999999999999,307.1,% 2nd Serve Points Won,6.062499999999982,<10%
18,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,18,Reilly Opelka,307.0999999999999,307.1,% Service Games Won,10.412499999999984,<10%
19,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,19,Reilly Opelka,307.0999999999999,307.1,Avg. Aces/ Match,8.349999999999994,<10%
20,3,Reilly Opelka,"307,1","0,652","0,795","0,578","0,908","15,9","2,1",307.0999999999999,3,20,Reilly Opelka,307.0999999999999,307.1,Avg. Double Faults/Match,0.6124999999999843,<10%
21,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,21,Hubert Hurkacz,299.1,299.1,Serve Rating,0.0,<10%
22,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,22,Hubert Hurkacz,299.1,299.1,% 1st Serve,-1.5125000000000264,<10%
23,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,23,Hubert Hurkacz,299.1,299.1,% 1st Serve Points Won,6.187499999999989,<10%
24,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,24,Hubert Hurkacz,299.1,299.1,% 2nd Serve Points Won,3.5625,<10%
25,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,25,Hubert Hurkacz,299.1,299.1,% Service Games Won,10.11249999999999,<10%
26,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,26,Hubert Hurkacz,299.1,299.1,Avg. Aces/ Match,5.75000000000002,<10%
27,4,Hubert Hurkacz,"299,1","0,634","0,782","0,553","0,905","13,3","1,6",299.09999999999997,4,27,Hubert Hurkacz,299.1,299.1,Avg. Double Faults/Match,1.1124999999999845,<10%
28,5,Matteo Berrettini,292,"0,64","0,783","0,516","0,878","12,4","2,1",292.0,5,28,Matteo Berrettini,292.0,292.0,Serve Rating,0.0,<10%
