name,num_aces,num_double_faults,num_points_per_service
John Isner,895.0,0.0,6163
Felix Auger Aliassime,874.0,272.0,6266
Hubert Hurkacz,827.0,0.0,6205
Maxime Cressy,734.0,410.0,6227
Nick Kyrgios,726.0,0.0,6057
Alexander Bublik,715.0,363.0,6393
Taylor Harry Fritz,629.0,0.0,6208
Stefanos Tsitsipas,609.0,174.0,6155
Marin Cilic,588.0,171.0,6155
Daniil Medvedev,575.0,247.0,6358
Reilly Opelka,570.0,0.0,6192
Andrey Rublev,558.0,0.0,6181
Matteo Berrettini,498.0,0.0,6256
Denis Shapovalov,496.0,324.0,6255
Frances Tiafoe,487.0,0.0,6605
Karen Khachanov,468.0,0.0,634
Botic Van De Zandschulp,402.0,239.0,6434
Casper Ruud,399.0,0.0,6144
Brandon Nakashima,391.0,0.0,6219
Arthur Rinderknech,381.0,0.0,6376
Aslan Karatsev,0.0,229.0,6724
Holger Vitus Nodskov Rune,0.0,217.0,6318
Diego Sebastian Schwartzman,0.0,201.0,6729
Benoit Paire,0.0,198.0,6891
Fabio Fognini,0.0,185.0,6695
Emil Ruusuvuori,0.0,177.0,6247
Jannik Sinner,0.0,174.0,6308
Rafael Nadal,0.0,167.0,6148
Laslo Djere,0.0,166.0,6665
Nikoloz Basilashvili,0.0,163.0,6429
Carlos Alcaraz Garfia,0.0,162.0,6283
David Goffin,0.0,161.0,6615
Manuel Guinard,0.0,0.0,7
Hugo Gaston,0.0,0.0,6904
Marco Cecchinato,0.0,0.0,6861
Stefan Kozlov,0.0,0.0,6806
Pablo Cuevas,0.0,0.0,6748
Pablo Andujar,0.0,0.0,6741
Henri Laaksonen,0.0,0.0,6721
Chun Hsin Tseng,0.0,0.0,6701
Pedro Martinez Portero,0.0,0.0,6694
Tomas Martin Etcheverry,0.0,0.0,6692
Peter Gojowczyk,0.0,0.0,6692
Constant Lestienne,0.0,0.0,6676
Roberto Carballes Baena,0.0,0.0,6668
Alexei Popyrin,0.0,0.0,6649
Yoshihito Nishioka,0.0,0.0,6647
Gilles Simon,0.0,0.0,6631
Fernando Verdasco,0.0,0.0,6627
John Millman,0.0,0.0,6615
Ilya Ivashka,0.0,0.0,6602
Ugo Humbert,0.0,0.0,6602
Corentin Moutet,0.0,0.0,6597
Christian Garin,0.0,0.0,6592
Feliciano Lopez,0.0,0.0,6591
Ryan Peniston,0.0,0.0,6588
Jason Kubler,0.0,0.0,6582
Facundo Bagnis,0.0,0.0,6579
Radu Albot,0.0,0.0,6576
Dominik Koepfer,0.0,0.0,6574
Francisco Cerundolo,0.0,0.0,6573
Lucas Pouille,0.0,0.0,6565
Mackenzie Mcdonald,0.0,0.0,6564
