Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,0.9431763764989002,0.05682362350109973,0.0,0.0
Univ. of Illinois at Urbana-Champaign,0.9174674019667816,0.08253259803321844,0.0,0.0
Univ. of California - San Diego,0.9093778607758829,0.0,0.09062213922411708,0.0
Massachusetts Institute of Technology,0.7497478174357157,0.0,0.08022803318227413,0.17002414938201021
Georgia Institute of Technology,0.7259055019510532,0.0,0.07271301262671569,0.2013814854222311
Stanford University,0.0,0.7085473280692616,0.0,0.2914526719307384
University of Michigan,0.6937958797164673,0.0,0.0,0.3062041202835327
University of Washington,0.9425227476178815,0.05747725238211853,0.0,0.0
Univ. of California - Berkeley,0.6559059512793586,0.0,0.0530905103520497,0.2910035383685918
Cornell University,0.04939960336682377,0.6401272120399955,0.0,0.31047318459318074
University of Maryland - College Park,0.0,0.6722364412670769,0.0,0.32776355873292295
Northeastern University,0.0,0.18797421167971007,0.0,0.8120257883202899
University of Wisconsin - Madison,0.0,0.09907069287027101,0.0,0.9009293071297291
Columbia University,0.0,0.06760302732417044,0.03483599650956448,0.8975609761662651
Purdue University,0.0,0.028414930217097168,0.10302699411681134,0.8685580756660916
University of Texas at Austin,0.0,0.08966943757554847,0.030221706060647367,0.8801088563638042
University of Pennsylvania,0.0,0.05127355385475534,0.11304976338473582,0.8356766827605089
Princeton University,0.0,0.0,0.21689032420817742,0.7831096757918227
University of Massachusetts Amherst,0.0,0.0,0.271758077510573,0.728241922489427
New York University,0.0,0.0,0.10710760500591496,0.8928923949940851
University of Southern California,0.0,0.0,0.15522496740551453,0.8447750325944854
Univ. of California - Los Angeles,0.06464728299984304,0.18351850204894665,0.7518342149512103,0.0
Stony Brook University,0.12238244256489443,0.1469639751021183,0.7306535823329873,0.0
University of Chicago,0.0917099211417654,0.16186932203057736,0.7464207568276572,0.0
Univ. of California - Irvine,0.530001665143863,0.11893423740575812,0.0,0.35106409745037886
Univ. of California - Santa Barbara,0.249845390212166,0.1559417385883442,0.5942128711994898,0.0
Rutgers University,0.7113818218536517,0.11290717080315069,0.0,0.17571100734319753
Duke University,0.7537778023641616,0.24622219763583844,0.0,0.0
Univ. of California - Riverside,0.7186957984028365,0.2813042015971635,0.0,0.0
Northwestern University,0.6165981464093663,0.3834018535906337,0.0,0.0
Pennsylvania State University,0.675533260338694,0.2624012266900641,0.06206551297124194,0.0
University of Utah,0.5399688190000643,0.4600311809999358,0.0,0.0
George Mason University,0.0,0.5935033758981417,0.0,0.4064966241018583
Harvard University,0.1316644086297915,0.5438798764145919,0.3244557149556166,0.0
Ohio State University,0.41637865310157857,0.4401200001004922,0.14350134679792928,0.0
Texas A&M University,0.6149359285710262,0.3410759361128301,0.04398813531614379,0.0
Univ. of California - Santa Cruz,0.0,0.7109902724125257,0.16439219744580863,0.12461753014166568
