Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,4.124670073086108,7.796958447692294,2.3664652282586847,4.257725296087556
Univ. of Illinois at Urbana-Champaign,4.116173476427555,7.797066344273599,2.3738384683950233,4.258541349543418
Univ. of California - San Diego,4.262034004882743,7.70185032261566,2.3424783863999328,4.253098975773343
Massachusetts Institute of Technology,4.273673022721224,7.69633666617729,2.3570996479670185,4.244134469541325
Georgia Institute of Technology,4.3524378928331515,7.757934332583657,2.0788757134817564,4.360923805352059
Stanford University,4.436924387961279,7.682182894761448,2.0863936193789314,4.3542202017311284
University of Michigan,4.4530538763456935,7.697271568243425,2.0744202857984515,4.346937603197373
University of Washington,4.422277315323193,7.719484550777831,2.0674767744350193,4.361961279190431
Univ. of California - Berkeley,4.201380940844427,7.6583174575399635,2.2179742273665113,4.439316393252731
Cornell University,4.20170722071793,7.6571460476062425,2.2191776639125393,4.439273575642404
University of Maryland - College Park,4.200921880771693,7.6567557721775605,2.219738679107092,4.4396620923924335
Northeastern University,3.3998434082724183,7.98351690050276,2.1033437215792277,4.744556128838631
University of Wisconsin - Madison,3.592071986452014,7.670529116289512,2.2422727905992774,4.759687582301813
Columbia University,3.655853143998883,7.600850672329676,2.3033084819743066,4.698186835631054
Purdue University,3.791735419331172,7.513950111715608,2.3233641631985744,4.614210643157676
University of Texas at Austin,3.7436818358310715,7.592899537000806,2.2376463769729438,4.679641037398443
University of Pennsylvania,3.7886572358805135,7.408167155727099,2.363099114032338,4.721167015926744
Princeton University,3.7602957836295254,7.302513294619877,2.422392201557852,4.773505125670039
University of Massachusetts Amherst,3.9234825861336553,6.690678885756694,2.7618420447963903,4.9032997209203675
New York University,3.913489868805547,6.6562718244350725,2.778125194458346,4.9232356137102595
University of Southern California,3.865349122993487,6.67546782408521,2.7692038884417713,4.946213400447155
Univ. of California - Los Angeles,3.8245588413899214,6.000123231404081,2.518224030537922,6.343916830123502
Stony Brook University,3.9374002387155937,6.024443950287205,2.5204832964910766,6.147955974360089
University of Chicago,3.838385440701459,6.008196395847718,2.5041314086261957,6.329322306880448
Univ. of California - Irvine,4.1048148842948695,6.150078733535233,2.4895648470991114,5.796106573788277
Univ. of California - Santa Barbara,4.070221624561587,6.100722617351504,2.3830910737907947,6.007181947572713
Rutgers University,4.238593167125871,6.105939232827135,2.3642615787417984,5.817733693949714
Duke University,4.239485405793844,6.121285857970929,2.2925311291609627,5.8122994728679975
Univ. of California - Riverside,4.3767587587235255,6.245017906133221,2.2240231746327237,5.497748492020662
Northwestern University,4.670603165466718,6.124371949148414,2.217845891629547,5.427687392097896
Pennsylvania State University,4.688432285213847,6.1331514198436645,2.1243228925127133,5.454004004546086
University of Utah,4.5429826103467885,6.141252720129825,2.280790277621926,5.431171707750831
George Mason University,4.95952001223085,6.063026903400456,2.8805280225679053,4.8419489873350905
Harvard University,5.164764253157054,5.987958319416752,2.994508993861772,4.809270577012228
Ohio State University,5.047222806056879,5.9918103554901405,2.929767753669078,4.766567628192879
Texas A&M University,5.08744443765855,5.979776759751462,3.078355457198281,4.776954734579266
Univ. of California - Santa Cruz,5.529191969327777,5.858301718003417,2.780107161724908,4.784401236362349
Yale University,4.946603174985525,6.047245977428817,2.9850619147206454,4.802998191061102
Boston University,5.164716219266733,6.570157584140409,2.5278758769753367,4.4696962094473855
Brown University,5.427135707107065,5.848340021955636,2.738752090368176,4.854050995944792
North Carolina State University,5.125837283042889,6.3199190443274045,2.6548930308602547,4.6318965452926815
University at Buffalo,5.2577347131182846,6.518989588661681,2.5283095344521427,4.442500717732437
Rice University,4.841235686461877,6.820444907331704,2.2014225808429093,4.535499146147274
University of Colorado Boulder,5.078298583264775,6.868667208462324,1.8722292896402415,4.467090345100244
University of Illinois at Chicago,4.93133291376114,6.851116076750624,2.069794375654005,4.4933829953499345
University of North Carolina,4.879363178858329,6.848130490254168,2.1453652197689754,4.469522643298741
University of Virginia,5.129501511887913,6.858225019020464,1.8402686993081765,4.4749310281880375
Arizona State University,5.126046258692398,7.036515669422356,1.6935026973546548,4.337328173624884
University of Minnesota,5.150020260144435,6.995826343226449,1.6828907219221827,4.383355199741489
