,n1,n2,n3
0,75290728528533.66,75815550002090.42,75772252259178.83
1,11564417896344.766,11567088656985.72,11605796506020.156
2,22100076488216.727,22058782739606.098,21884970760284.56
3,40548014853371.42,40424119482184.32,40294816540638.766
4,45457194892142.18,45199480977046.07,45350140526735.65
5,105249488100659.42,106279921101526.52,105604828284643.33
6,23927077758183.277,24021657892445.14,23798194406817.305
7,12665892517457.184,12644256726405.805,12666629503297.307
8,32691595458220.24,32801803648501.625,32676609497699.684
9,53975467978768.58,53425340872035.74,53332822807594.08
10,40314904655586.86,40148840971098.47,40731721407248.12
11,40710715502683.81,40386291014197.59,40524090725605.6
12,55592163704074.29,55773031058383.99,54427210635411.08
13,40196803576563.52,40111438485810.65,40056117335614.63
14,706942117605045.4,674690697065476.6,714051816146349.0
15,33782534687347.152,34031838644533.24,33821143349370.605
16,45743282395500.47,45975901260176.89,46107517897386.84
17,14331817691884.875,14321230564175.365,14294269496209.154
18,5971298094532.48,5976745787311.568,5974256502154.81
19,39455698419180.34,39324471013647.87,39416823587439.5
20,15506622541281.055,15543032096975.502,15532628803032.828
21,24810605727880.902,24845531262209.66,25008943081038.86
22,34382398381080.082,34436632628281.68,34497888248998.535
23,23944638498222.65,23897770057479.777,23912985951190.977
24,12319013646063.508,12324442250352.297,12219577379450.434
25,45700915161992.08,45767553184926.88,45797563750232.195
26,65738725626412.35,65395701015499.766,64771337258571.33
27,45022998641780.27,44905011048639.5,44913261560304.836
28,44084307386039.35,44066735830092.3,44257058885015.73
29,11225918200535.03,11240243176867.555,11114128570769.709
30,38330885758130.57,38267984133559.93,38305753551966.52
31,33088480177074.395,33092432789048.582,32721048727968.65
32,23203808016766.375,23359145277412.15,23390694918139.89
33,165470890058535.03,164620531370389.0,166444014827948.94
34,55676509322665.516,55841210325399.74,56186104288891.99
35,124207783269900.8,130715866662584.38,132177718158340.02
36,84565036828041.02,84541941910514.69,84401721869398.81
37,82157128469330.56,82765674895927.53,82239652095467.78
38,49905105476052.58,49933887248680.15,49774898315183.82
39,46881724951470.75,46902831178681.734,47366185568274.484
40,40211339434940.65,39975989373341.26,40021155367185.62
41,20744469950146.402,20739408471697.773,20695968141698.863
42,968519185749456.8,810296264622747.1,850594565952435.5
43,16806736998567.566,16850985523129.486,16771625298814.924
44,451525627764400.4,437589890222080.9,431155241171933.44
45,34141291195100.445,34165526545980.277,34110861970841.758
46,66450541895774.195,66803462737632.695,66361793415371.266
47,19839060589268.113,19880172051259.46,19947771721754.11
48,24785631719509.785,24697883703269.23,24958457572543.863
49,18190687557197.94,18231044488321.902,18316028902164.562
50,16354691346791.102,16361622276319.281,16407898276167.223
51,54810927312154.6,54195887668443.97,54869378950967.914
52,47411932804255.17,46964180686573.21,46898726219382.39
53,71990114216634.5,71856021482917.69,73186600733119.25
54,155599109063680.1,161588620282427.03,173913795537280.34
55,62760489319123.375,63032806246780.766,62121867563848.11
56,36199550981160.14,36406667900146.484,36358735009128.664
57,33482510382482.805,33549770253579.82,33551231732775.656
58,35925379828003.67,35980697718318.41,35901837674067.27
59,25975320883493.74,25976328156379.63,25873224413701.61
60,49848544958342.69,49824873626053.39,49817568155169.65
61,13185821725006.186,13137995687564.574,13273318358350.47
62,6469741227354.18,6486672404311.8955,6465338337660.027
63,29935907556965.934,29932099001815.43,29705156610659.86
64,41670057237230.44,41177316716035.72,41487675452404.98
65,33526142404117.05,33289381483433.66,33608933950294.918
66,22391422031720.01,22353237732119.99,22310702965500.074
67,48184146039360.03,48270040718175.4,48011093475876.04
68,38943861329297.93,38894158104993.984,39027213441433.164
69,36039035461062.9,36015950182845.14,36090020201629.96
70,100256195743447.12,101659470091154.03,95445488507053.62
71,64501827205541.164,64661103438100.52,64400939023123.65
72,42159969372856.31,42083877254975.445,41151331086379.38
73,23562303287327.79,23684639387039.953,23705538612366.56
74,19458033345031.023,19453320595222.71,19464383610316.152
75,25143508370995.086,25171139962215.69,25160717290135.848
76,33702399434386.04,33637319940324.363,33421476309432.51
77,21368503717664.305,21374077562396.12,21356646975511.074
78,46012612581574.27,45833301461449.9,46196310805269.22
79,72197052303439.03,73290957025101.34,72193389895259.4
80,26600740733625.402,26691260376928.09,26638926303177.758
81,12132316901396.436,12117823123348.904,12097847387319.455
82,34823862526752.348,35074460761381.75,34859302738115.47
83,30706910657921.344,30582870265157.71,30618742196230.68
84,67299255258066.85,67869906262020.38,68242860609516.68
85,9662138570159.027,9683464920101.67,9683708242013.613
86,16622310317534.107,16706886371532.043,16638219526226.064
87,57435917431185.77,57493764314660.125,57472918016693.79
88,23237942333691.67,23390616741532.254,23243708593590.543
89,25247111465656.49,25163404209852.25,25189511558544.766
90,55668749303672.57,55510909217286.15,55520173690118.414
91,14317782770174.77,14317022929973.318,14207649240051.59
92,50364567296908.33,50712825942069.5,50373998824307.9
93,14905249381330.12,14910676777125.54,14944138222148.377
94,32799895870745.062,32914717685483.945,32944270617074.895
95,19645916624517.82,19707099645116.188,19701123834447.66
96,29946085001026.152,30227469186684.21,30038578563709.2
97,12147845244898.965,12139173886867.648,12117264660699.934
98,47024447644286.47,46997953918875.41,46925564496838.37
99,9710575965253.793,9721943199119.393,9709843953868.02
100,911511971774167.6,832066447254602.1,810174406361490.6
101,29661604464634.12,29700031279301.16,29981407176918.79
102,58620408685143.97,58248498199189.35,59411615338531.445
103,6720068520741.913,6702637206325.105,6671832527381.124
104,18979201431551.047,18913967884823.14,18863724899607.81
105,13375358931074.041,13393514933893.709,13318971977015.027
106,49695997740932.54,50311900551842.0,50689602974351.53
107,57102595240765.44,56817086122143.2,57019771358136.74
108,39950238002394.195,40070171810207.09,39877471032340.64
109,14842621031381.281,14787750795355.936,14793205374127.053
110,33093461094133.523,33237758895480.668,32993753299382.973
111,141733813740532.22,142127605683885.97,143893077505590.66
112,17685407162310.72,17674286131644.164,17681287496166.145
113,51389187784189.664,51429639861738.62,52304123396965.25
114,48211133177696.53,48173635121598.92,48294248651017.07
115,17425664554020.902,17445102509557.451,17380158424383.48
116,15948906077912.682,15939606628840.523,15963630464367.506
117,26093177658346.547,26160410795726.684,26191799367641.13
118,43921083256855.016,44091540978044.766,43952602408041.41
119,53599215616153.09,53196367828415.89,53642207188896.47
120,10163100059516.672,10191094580276.916,10163447910249.771
121,14338014746538.383,14340316532200.713,14342562735860.035
122,58025341050774.07,57688114558054.06,58480797626962.0
123,22232270010413.496,22214220575224.93,22127669854076.105
124,66022929420814.484,67695899946800.336,64245124721715.45
125,19442723350316.51,19430071881395.758,19355014812457.69
126,19775011682438.176,19814724135623.29,19864117043288.965
127,72814081295785.53,72399247920632.33,72513706690426.1
128,18256281016444.19,18240654164596.125,18319358730797.137
129,20720840414131.56,20792324990956.94,20946158493649.19
130,19281363192702.47,19348800256957.09,19234964343954.363
131,108785597178930.64,108073697142163.31,109258259843472.95
132,64442636576877.07,64555948165683.57,64658302142153.02
133,15929471350641.004,15935669258971.602,15900524257890.176
134,10099034769096.193,10101717925290.324,10123284721273.055
135,24077284119090.63,24010215110443.07,24355777451895.7
136,9421808192258.467,9440618761386.518,9524925765699.703
137,29593775373680.89,29564658074697.78,29846951574445.695
138,25779611813087.867,25836421876993.445,26017777405894.695
139,39741223670473.89,39531331576746.0,39618242170724.68
140,32702665894647.867,32677650469847.19,32592442788667.992
141,37317589608043.71,37185505180914.05,37543254300972.164
142,40657683875810.734,40453385230502.76,40702634812890.68
143,20169596580214.08,20248723015053.945,20318047066776.01
144,21969974036024.35,21858381805314.19,21608272885609.51
145,55247154195324.75,54719786488572.664,55354102216684.664
146,27180820770326.797,27133976024000.1,27092072179461.457
147,20059168681678.504,20154987166628.445,20098432465565.027
148,29629840754562.824,29803421916097.277,29663875910762.59
149,39893539648694.234,40109894537516.664,39491622343317.67
150,27941654239612.574,27868843897001.742,27564097223295.855
151,23898405484285.54,23896534939666.137,23866858002629.87
152,67702669898694.8,68011019749164.88,67798291777871.1
153,12468974145275.715,12559444779029.08,12271090882040.506
154,59084878103596.17,58633005647057.58,57921128787943.86
155,36500217127821.12,36619025200271.66,36365111530798.14
156,32042173343662.504,32066753413346.453,31950101116432.863
157,22910007377663.066,22867989462837.12,22909871808308.973
158,29946417559764.37,29877779840292.72,29878953200098.52
159,7995576924998.533,7972492280352.909,8014320371883.208
160,8410709185200.942,8424237986379.339,8404166252694.509
161,8246535293402.288,8264324350213.07,8247144392642.101
162,359355467311714.44,355096926525027.2,346395477949114.44
163,307086767648413.9,292354784866074.44,295591347541555.8
164,139223546314820.06,138517990759834.2,141936977094664.4
165,11007720719386.25,11132051626184.32,11063055107276.328
166,17852736089016.047,17821905161246.38,17866757657042.637
167,203066862638857.62,203680223583055.2,205317269766109.16
168,32538930575738.21,32590178366778.848,32328089169371.926
169,22984597539528.69,23004886953971.016,23018227973041.332
170,50977451813697.766,51382639871356.57,50996585156479.336
171,15414019336644.615,15491329040341.414,15507263488075.969
172,11217958517086.96,11246245317852.955,11203661847969.678
173,42732468665861.734,42654280889032.27,42647437473525.59
174,32812109385119.727,32827447889420.957,33070127980022.184
175,172577672979612.0,178350603327278.88,188121057522999.97
176,45540637222452.74,45633805521805.984,45186661481534.055
177,58780966673981.336,58540520179476.11,58138400118404.79
178,32630672873396.152,32744381446240.047,32808332286198.555
179,26299499382867.19,26432335986797.973,26546325513985.98
180,20117136919056.066,20237502375385.574,20191384924572.414
181,12412809803400.564,12365347403372.738,12377756844962.52
182,53121178913494.04,53180947277688.0,53293138123510.445
183,19661558344825.3,19768785320968.215,19817108287907.06
184,247132073575603.75,263365963020957.94,272087940729476.8
185,27898534244235.45,27937058786733.95,28000660309443.14
186,106567197995025.47,107034519232058.12,105428066547899.22
187,58783305623285.27,58350689425193.81,58629840799591.43
188,48531556036714.79,48664651023645.46,48655484480981.65
189,112055368613995.84,111751964044775.53,112530535663383.5
190,97688991632830.22,96315200336293.11,96598418046631.5
191,24213872841367.902,24172795999940.492,24110295254495.875
192,37507919733431.65,37571634092800.62,37410408376349.06
193,17323309982385.688,17296529845723.43,17226040936193.078
194,28268513909877.227,28303290179540.99,28238942765961.176
195,18861078379390.293,18942607638215.812,18896876301521.82
196,48643143215475.86,48975166674231.53,48540898823207.75
197,28607936727833.59,28533022908146.586,28534864990913.895
198,38331848757379.25,38343619899084.26,38290661205746.02
199,45800444351624.66,45627183015882.21,45287600880749.49
