count,mean,std,min,25%,50%,75%,max,feature,strata,batch,qoi,weights,data,group
40.0,0.1307784375,0.10411423659961376,-0.047287499999999996,0.07145,0.11096249999999999,0.22219375000000002,0.42015,X,0-20%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,0.2692215625,0.10141110275862479,-0.05265,0.227228125,0.28055625,0.33788749999999995,0.413125,Y,0-20%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.016134375,0.11758729513499093,-0.2581,-0.110559375,-0.00785625,0.065384375,0.18076250000000002,X,20-40%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,0.21613437500000005,0.12828638656211133,-0.0532625,0.129678125,0.22150625000000002,0.332725,0.41738749999999997,Y,20-40%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.0008987499999999961,0.1404263492857304,-0.2558375,-0.091140625,-0.009775000000000002,0.07134375,0.3485250000000001,X,40-60%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,0.0008987499999999982,0.15323616542523755,-0.37102500000000005,-0.101728125,0.0053750000000000004,0.10561250000000001,0.27265,Y,40-60%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.0311190625,0.12929743652233014,-0.29435,-0.11589375,-0.03084375,0.066653125,0.23013750000000002,X,60-80%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.1688809375,0.13614272479395628,-0.3776375,-0.29525,-0.142475,-0.08427499999999999,0.1087875,Y,60-80%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.08262625,0.10571869349290197,-0.3735875,-0.15415,-0.0939625,0.013500000000000002,0.060899999999999996,X,80-100%,NONE,rank,equal weights,Standard normal 2 vars,NONE
40.0,-0.31737374999999995,0.09122836856356269,-0.41629999999999995,-0.37507500000000005,-0.33658125,-0.30846874999999996,-0.058912500000000007,Y,80-100%,NONE,rank,equal weights,Standard normal 2 vars,NONE
20.0,0.1524425,0.11587283782687223,-0.027149999999999997,0.0803875,0.11567499999999999,0.24187500000000003,0.42724999999999996,X,0-20%,0,rank,equal weights,Standard normal 2 vars,NONE
20.0,0.24755749999999996,0.11919031141634925,-0.07225,0.20951250000000002,0.29717499999999997,0.321425,0.37215000000000004,Y,0-20%,0,rank,equal weights,Standard normal 2 vars,NONE
20.0,-0.015025000000000005,0.1187285853267199,-0.2091,-0.10111250000000001,-0.056825,0.066025,0.19675,X,20-40%,0,rank,equal weights,Standard normal 2 vars,NONE
20.0,0.21502499999999997,0.12333246947302964,-0.061750000000000006,0.1114125,0.24,0.3150375,0.3798,Y,20-40%,0,rank,equal weights,Standard normal 2 vars,NONE
