Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,0.9282913165266107,0.8063492063492064,0.9274881516587677,0.8768115942028986,0.8825301204819277
Univ. of Illinois at Urbana-Champaign,0.5739495798319327,0.861904761904762,0.6857819905213269,0.39855072463768115,0.5813253012048193
Univ. of California - San Diego,0.3708683473389356,0.5761904761904761,0.4061611374407582,0.6231884057971014,0.5873493975903614
Massachusetts Institute of Technology,0.3218487394957983,0.5444444444444445,0.6952606635071089,0.4492753623188406,0.45481927710843373
Georgia Institute of Technology,0.3274509803921568,0.48095238095238096,0.25450236966824646,0.6159420289855072,0.7198795180722891
Stanford University,0.442296918767507,0.2904761904761905,0.5578199052132701,0.7101449275362318,0.2981927710843374
University of Michigan,0.3540616246498599,0.5761904761904761,0.3682464454976303,0.30434782608695654,0.47891566265060237
University of Washington,0.32044817927170866,0.353968253968254,0.5056872037914691,0.6014492753623188,0.3644578313253012
Univ. of California - Berkeley,0.25322128851540615,0.4492063492063492,0.681042654028436,0.34057971014492755,0.42469879518072284
Cornell University,0.5165266106442576,0.3142857142857143,0.5341232227488152,0.3695652173913043,0.3825301204819277
University of Maryland - College Park,0.36946778711484596,0.22698412698412695,0.19289099526066347,0.6884057971014492,0.4006024096385542
Northeastern University,0.19999999999999998,0.3222222222222222,0.4772511848341231,0.26811594202898553,0.3644578313253012
University of Wisconsin - Madison,0.13557422969187674,0.40158730158730155,0.3777251184834123,0.19565217391304351,0.3162650602409639
Columbia University,0.2504201680672269,0.25873015873015875,0.3445497630331754,0.2391304347826087,0.22590361445783133
Purdue University,0.12436974789915967,0.39365079365079364,0.3208530805687204,0.1811594202898551,0.32831325301204817
University of Texas at Austin,0.2210084033613445,0.3380952380952381,0.590995260663507,0.10144927536231885,0.177710843373494
University of Pennsylvania,0.22941176470588234,0.26666666666666666,0.27819905213270146,0.2246376811594203,0.32228915662650603
Princeton University,0.14537815126050418,0.24285714285714283,0.2308056872037915,0.2246376811594203,0.23192771084337352
University of Massachusetts Amherst,0.3316526610644257,0.22698412698412695,0.050710900473933646,0.16666666666666669,0.2620481927710844
New York University,0.21120448179271709,0.13174603174603172,0.37298578199052135,0.2028985507246377,0.25602409638554213
University of Southern California,0.2322128851540616,0.21904761904761905,0.12180094786729856,0.11594202898550723,0.24397590361445784
Univ. of California - Los Angeles,0.31484593837535013,0.18730158730158725,0.4014218009478673,0.014492753623188387,0.1355421686746988
Stony Brook University,0.14537815126050418,0.16349206349206347,0.17393364928909952,0.1739130434782608,0.24397590361445784
University of Chicago,0.05294117647058824,0.3380952380952381,0.11232227488151658,0.10869565217391305,0.15963855421686748
Univ. of California - Irvine,0.09075630252100839,0.25873015873015875,0.07914691943127963,0.13043478260869562,0.32831325301204817
Univ. of California - Santa Barbara,0.15098039215686274,0.22698412698412695,0.2071090047393365,0.06521739130434784,0.10542168674698796
Rutgers University,0.26582633053221283,0.0841269841269841,0.08862559241706161,0.15942028985507245,0.177710843373494
Duke University,0.1257703081232493,0.17142857142857143,0.0933649289099526,0.08695652173913043,0.1716867469879518
Univ. of California - Riverside,0.02913165266106442,0.38571428571428573,0.041232227488151654,0.02898550724637683,0.177710843373494
Northwestern University,0.03753501400560223,0.16349206349206347,0.07914691943127963,0.16666666666666669,0.15963855421686748
Pennsylvania State University,0.13137254901960782,0.25873015873015875,0.008056872037914692,0.02898550724637683,0.25
University of Utah,0.031932773109243695,0.12380952380952381,0.04597156398104264,0.19565217391304351,0.2620481927710844
George Mason University,0.057142857142857134,0.1,0.022274881516587672,0.19565217391304351,0.21987951807228914
Harvard University,0.09355742296918768,0.0841269841269841,0.11232227488151658,0.12318840579710144,0.06325301204819278
Ohio State University,0.07955182072829131,0.20317460317460317,0.022274881516587672,0.02898550724637683,0.16566265060240967
Texas A&M University,0.08795518207282912,0.1,0.003317535545023703,0.1811594202898551,0.1716867469879518
Univ. of California - Santa Cruz,0.09775910364145657,0.09206349206349204,0.0933649289099526,0.09420289855072464,0.25602409638554213
Yale University,0.017927170868347345,0.10793650793650794,0.2687203791469194,0.10869565217391305,0.12951807228915663
Boston University,0.10476190476190475,0.1,0.18815165876777248,0.007246376811594207,0.1174698795180723
Brown University,0.07535014005602239,0.03650793650793652,0.08862559241706161,0.2173913043478261,0.1174698795180723
North Carolina State University,0.01568627450980392,0.22698412698412695,0.03649289099526065,0.10144927536231885,0.20180722891566263
University at Buffalo,0.10756302521008404,0.12380952380952381,0.055450236966824634,0.014492753623188387,0.1536144578313253
Rice University,0.07955182072829131,0.09206349206349204,0.07914691943127963,0.043478260869565216,0.06325301204819278
University of Colorado Boulder,0.023529411764705882,0.05238095238095236,0.03649289099526065,0.19565217391304351,0.2620481927710844
University of Illinois at Chicago,0.16358543417366947,0.03650793650793652,0.0933649289099526,0.043478260869565216,0.15963855421686748
University of North Carolina,0.14257703081232492,0.03650793650793652,0.003317535545023703,0.12318840579710144,0.11144578313253012
University of Virginia,0.07254901960784313,0.1158730158730159,0.03649289099526065,0.021739130434782622,0.1174698795180723
Arizona State University,0.11456582633053222,0.0761904761904762,0.0014218009478672994,0.043478260869565216,0.18373493975903618
University of Minnesota,0.04733893557422969,0.0841269841269841,0.015639810426540286,0.13043478260869562,0.12349397590361447
Virginia Tech,0.0165266106442577,0.1158730158730159,0.008056872037914692,0.10144927536231885,0.2620481927710844
Univ. of California - Davis,0.010924369747899162,0.0761904761904762,0.04597156398104264,0.05797101449275363,0.0993975903614458
Johns Hopkins University,0.1607843137254902,0.01904761904761905,0.1834123222748815,0.007246376811594207,0.09337349397590364
Oregon State University,0.06974789915966387,0.004761904761904773,0.08862559241706161,0.050724637681159424,0.06325301204819278
Indiana University,0.022689075630252097,0.060317460317460325,0.01279620853080568,0.09420289855072464,0.1897590361445783
University of Central Florida,0.04313725490196077,0.020634920634920617,0.07251184834123223,0.05797101449275363,0.1355421686746988
University of Rochester,0.07955182072829131,0.004761904761904773,0.003317535545023703,0.007246376811594207,0.05120481927710843
Michigan State University,0.08515406162464983,0.0111111111111111,0.020379146919431275,0.021739130434782622,0.05722891566265062
Rochester Institute of Technology,0.024929971988795527,0.003174603174603191,0.01090047393364929,0.06521739130434784,0.177710843373494
University of Pittsburgh,0.04313725490196077,0.02857142857142858,0.015639810426540286,0.0072463768115941934,0.08734939759036145
University of Texas at Dallas,0.10476190476190475,0.003174603174603191,0.022274881516587672,0.0144927536231884,0.10542168674698796
Washington University in St. Louis,0.020728291316526606,0.003174603174603191,0.0014218009478672994,0.03623188405797104,0.03313253012048195
University of Notre Dame,0.019327731092436976,0.004761904761904773,0.07251184834123223,0.014492753623188387,0.03313253012048195
Univ. of California - Merced,0.00868347338935574,0.004761904761904773,0.01753554502369667,0.007246376811594207,0.00903614457831324
University of Delaware,0.018487394957983197,0.003174603174603191,0.006161137440758302,0.05797101449275363,0.04518072289156627
University of Florida,0.024089635854341734,0.004761904761904773,0.0014218009478672994,0.050724637681159424,0.05120481927710843
University of Texas at Arlington,0.010924369747899162,0.020634920634920617,0.07251184834123223,0.0072463768115941934,0.027108433734939763
University of Connecticut,0.022689075630252097,0.003174603174603191,0.027014218009478674,0.014492753623188387,0.021084337349397603
Binghamton University,0.012885154061624646,0.02857142857142858,0.07251184834123223,0.0289855072463768,0.00903614457831324
Clemson University,0.043697478991596636,0.01904761904761905,0.07251184834123223,0.10869565217391305,0.04518072289156627
TTI Chicago,0.03473389355742296,0.1380952380952381,0.050710900473933646,0.0,0.039156626506024084
Vanderbilt University,0.032492997198879554,0.0111111111111111,0.015639810426540286,0.043478260869565216,0.05120481927710843
Worcester Polytechnic Institute,0.00868347338935574,0.026984126984127,0.07251184834123223,0.043478260869565216,0.021084337349397603
California Institute of Technology,0.021288515406162466,0.04285714285714287,0.08862559241706161,0.0,0.039156626506024084
College of William and Mary,0.043697478991596636,0.020634920634920617,0.020379146919431275,0.0072463768115941934,0.021084337349397575
Dartmouth College,0.032492997198879554,0.050793650793650794,0.027014218009478674,0.07246376811594205,0.00903614457831324
Florida State University,0.05070028011204482,0.004761904761904773,0.041232227488151654,0.0072463768115941934,0.00903614457831324
Iowa State University,0.019887955182072828,0.0111111111111111,0.01090047393364929,0.021739130434782608,0.021084337349397603
Stevens Institute of Technology,0.01428571428571429,0.0111111111111111,0.006161137440758302,0.0289855072463768,0.021084337349397575
CUNY,0.031092436974789917,0.026984126984127,0.03649289099526065,0.0144927536231884,0.08132530120481929
Emory University,0.013725490196078424,0.03492063492063492,0.07251184834123223,0.021739130434782608,0.021084337349397575
Georgetown University,0.02829131652661064,0.026984126984127,0.09810426540284359,0.05072463768115941,0.015060240963855415
NJIT,0.03529411764705882,0.004761904761904773,0.01090047393364929,0.0289855072463768,0.015060240963855442
Tufts University,0.03529411764705882,0.026984126984127,0.020379146919431275,0.02898550724637683,0.015060240963855415
University of Arizona,0.00868347338935574,0.026984126984127,0.020379146919431275,0.0144927536231884,0.003012048192771094
University of Oregon,0.010924369747899162,0.026984126984127,0.025118483412322277,0.03623188405797101,0.02710843373493975
