Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,5.279686998546009,4.269811312675162,-0.43622748184848703,7.585382496090276,1.9025351254305516
Univ. of Illinois at Urbana-Champaign,7.232107585754699,3.3100727519482174,1.7123164793446985,8.189858263405087,0.9721115003793344
Univ. of California - San Diego,4.759253766659334,4.525637257247582,-1.008938958514964,7.424254673918233,2.1505469408055564
Massachusetts Institute of Technology,6.704531352114339,3.56940993496346,1.1317444764252116,8.026518944645531,1.2235273044384023
Georgia Institute of Technology,0.6374466092317501,6.551766921511712,-5.544787399836135,6.148129764903735,4.114789062764874
Stanford University,4.308895122237624,4.747017097247218,-1.5045367575664468,7.284822172060178,2.3651647978703796
University of Michigan,6.899023114476723,3.4738048971422977,1.3457732078692288,8.08673422718283,1.1308424947384026
University of Washington,4.857864062936342,4.477164041772512,-0.9004231202957467,7.45478474254058,2.103554325622863
Univ. of California - Berkeley,6.802876665847327,3.521066975216648,1.239968714233889,8.05696697380997,1.1766609663605578
Cornell University,5.266966699990775,4.2760641462640745,-0.45022555215386095,7.581444250263516,1.908596968033038
University of Maryland - College Park,0.8791290434429371,6.432964675170716,-5.278827627667747,6.222955433012032,3.999615596543917
Northeastern University,6.4701035930878,3.684646048286899,0.8737681216928292,7.953939347582349,1.335243564139354
University of Wisconsin - Madison,7.814079380815185,3.023996700182355,2.352748153776873,8.370038624992919,0.6947735585520185
Columbia University,6.118673321989742,3.8573963177673747,0.4870361891906647,7.845135392035381,1.5027172267968947
Purdue University,7.996316355223296,2.93441566796238,2.5532910867063525,8.426459785300361,0.6079287529511959
University of Texas at Austin,7.292666104506434,3.2803043987525022,1.7789581858577854,8.20860737787855,0.9432524128887252
University of Pennsylvania,5.7729925278984515,4.02732035460947,0.10663127668811967,7.7381114932795025,1.6674509832713742
Princeton University,5.984213462806543,3.923491867350026,0.33906964941761686,7.803506182076564,1.5667939070084653
University of Massachusetts Amherst,2.689040390778281,5.543278445208166,-3.2871081584667614,6.783309875912314,3.137104574153689
New York University,5.383867143120834,4.218600163465997,-0.321582296293216,7.617637007870883,1.8528882059047653
University of Southern California,5.10007835054272,4.358100355752292,-0.6338780693160411,7.529775074190788,1.9881274053217837
Univ. of California - Los Angeles,6.073878971608744,3.8794155822870326,0.43774218377134666,7.8312669153888415,1.524063919275104
Stony Brook University,5.049259344752652,4.383081120549625,-0.6898019151919712,7.514041344624324,2.0123451399115986
University of Chicago,15.186862983553667,-0.6001940965145707,10.466138163403286,10.652676420716517,-2.8187173825497034
Univ. of California - Irvine,-477.89760116269827,241.7820963981262,-532.1493488583883,-142.00787826127362,232.16007642503655
Univ. of California - Santa Barbara,7.481539902324506,3.187460946852582,1.986804620375155,8.267083320311109,0.8532448372698269
Rutgers University,3.245709962901029,5.269640040937192,-2.674520350593724,6.955656586940783,2.871824375489819
Duke University,5.894046568457983,3.967814615211955,0.23984536463934703,7.775590218167565,1.609762829406158
Univ. of California - Riverside,5.026654726552646,4.3941927242067305,-0.7146771988511063,7.507042881270268,2.0231173428613047
Northwestern University,2.9053002116626434,5.436973025874649,-3.049124736629313,6.850264620205027,3.0340462229877527
Pennsylvania State University,12.954105405767258,0.4973478768675115,8.009096969518062,9.961407408853683,-1.7546995100713563
University of Utah,-26.76546806776996,20.022037653202837,-35.70036311650975,-2.335901792930052,17.17361428607225
George Mason University,-9.538235763817433,11.553760251794488,-16.742631274700997,2.997705388773511,8.963997959111303
Harvard University,5.425977125561099,4.197900436058751,-0.2752423073222161,7.630674395467571,1.8328207456609995
Ohio State University,3.7871831156418603,5.003471640701919,-2.0786554636470305,7.123298437076826,2.6137860117572913
Texas A&M University,-3.7469930802077904,8.706997134051472,-10.369650177701423,4.7906929693265266,6.204188394237288
Univ. of California - Santa Cruz,5.134909138195482,5.565979751339134,0.060854583662418804,6.129594615128754,1.0797171190806587
Yale University,6.359992731026425,3.73877252132632,0.7525964697989327,7.919848666368331,1.387716759775504
Boston University,6.4397391428230435,4.6937189665497385,1.5021405811917736,6.687651003004337,0.6497778934150951
