player_name,serve__pct_1st_serve,serve__pct_1st_serve_points_won,serve__pct_2nd_serve_points_won,serve__pct_service_games_won,serve__avg_aces_match,serve__avg_double_faultsmatch
John Isner,90965077893366.53,44353696707830.76,76800568380224.77,48623869679914.67,100856747979349.7,-73450762188333.14
Nick Kyrgios,103430968717431.84,52595453099569.29,86434946586674.08,55887864956364.8,113592572553457.12,-82123313624813.38
Reilly Opelka,58195841268864.195,31370322009770.785,53289805214572.86,32163541489195.844,63984512228082.7,-46482001120679.875
Hubert Hurkacz,75560362652519.52,37885882408450.63,64676141239964.555,43554925247712.38,96747903537449.27,-58580207941350.12
Matteo Berrettini,131940832447940.06,67768933463662.09,112968586085780.34,76712288184477.14,171490995718087.4,-103059921981249.33
Nicolas Jarry,91830589601848.1,41527232265026.445,69180781989737.35,47418713685248.875,108872030845097.12,-64501557456033.29
Novak Djokovic,167679085628282.8,85589042261229.28,144039129069567.25,88962974219231.69,201219297489236.5,-119199842753009.2
Maxime Cressy,155105213822355.84,78273966020478.08,139497164898425.67,86272288742282.97,189721785639248.34,-108477560951102.4
Ben Shelton,216048249552504.1,91134438611849.06,173198327136170.5,100734551434494.39,231331901277495.38,-138796648037714.5
Stefanos Tsitsipas,177988243204969.53,77080307727612.08,144966167609608.66,85173590988503.22,195871005977772.22,-115695919763389.33
Felix Auger-Aliassime,144573103102729.6,61562256576390.586,118266252742179.62,69428874288072.016,154075258522053.6,-102318539496369.2
Casper Ruud,182403427302025.78,86034008247073.52,152329084457527.78,90408562548180.38,166053526812243.3,-133255765784116.88
Daniil Medvedev,119827072141661.95,57650002250551.15,103651376591801.45,56650546918712.97,111170656085496.4,-89843929974798.8
Taylor Fritz,120930139089714.75,64623979679127.53,99300346836864.14,63313040197309.18,107516000347100.06,-103954892095582.0
Brandon Nakashima,128732892097974.45,58932736195101.945,102266446356288.92,57225678990892.93,96617279915145.66,-89814173585881.33
Marin Cilic,185189508433063.06,75328144073576.88,136461599535790.67,74394339680391.75,117134980241588.52,-106399330567448.69
Arthur Rinderknech,132228054103917.81,51437633422419.82,109715685169100.94,56844340967138.7,97479097068145.47,-88559386951841.8
Thiago Monteiro,294016558417144.25,112611371660644.66,254674554359629.2,140609115310746.47,239746267801381.66,-224689270302077.25
Alexander Zverev,92432560309002.0,27923805446076.05,68359723408690.46,38112575655014.21,39680617886609.3,-45655766231036.94
Andrey Rublev,103373278237401.69,30902670375881.79,78630195822402.33,43684617122301.89,51952187802234.445,-50665184100035.234
Denis Shapovalov,104141226139726.77,37148108825030.26,80345435353035.05,44093700169799.07,64669205531511.11,-51693006349743.984
Carlos Alcaraz,141819187721629.66,47463434878800.58,104776267323827.25,55072696388689.93,80189337770487.28,-65469993864852.94
Pablo Carreno Busta,76091321146667.7,25193458454072.184,56041421742001.195,30054582917850.09,42036466608707.375,-35281458862625.92
Rafael Nadal,87847104386018.31,26677823642507.586,60223536353883.85,29270996222952.74,45052287805199.99,-37446641610791.93
Borna Coric,147631374216802.1,45175370311205.1,96848079903635.7,53022081909658.81,77840701243329.27,-65611684202730.91
Steve Johnson,128741861614291.95,39280217662820.56,86410774199712.39,47865751220913.984,70248884005960.586,-54834730267699.53
Lorenzo Sonego,94004924071776.73,27657897209420.285,58294041471926.1,32056897563558.02,47225311534588.1,-36214516269329.414
Karen Khachanov,197819265666925.2,56427343599764.125,118196953938741.94,62387088770621.484,89959107316751.05,-73106646614219.94
Jack Draper,127481044411831.62,40699617125202.26,76770047588975.8,46978011666505.57,62807489496361.73,-50153204052698.31
Roberto Bautista Agut,41994619933472.805,14037019884240.096,26692173176434.336,16267911192537.65,21595306773163.26,-19851280768492.895
Grigor Dimitrov,70398339544140.72,22973308864149.66,46872631007700.26,29248293227089.805,37061741400249.46,-28744629972839.5
Benjamin Bonzi,82435965965689.45,27851047956447.4,53347641780214.88,37704674287206.555,45398985977006.16,-31383161653076.395
Holger Rune,159455180744373.0,55835529076464.586,108093607255535.36,68548854642486.97,80842845203725.94,-54443191069394.67
Jannik Sinner,166965841664271.72,70497600680582.33,112640525095131.05,85936560533073.48,93829726698352.03,-62288661466812.2
Jan-Lennard Struff,96925628725980.3,44463312021050.04,61162181970668.54,54261468429046.58,62585312859306.625,-32465514492987.227
Cameron Norrie,165609014609301.56,76792068895764.6,105938333101815.61,93394704979494.67,103078397024777.64,-52647391306452.07
Frances Tiafoe,153629278522629.56,71598835884825.2,90674628406006.06,92432760995568.48,99141289020781.12,-49819180584013.3
Tallon Griekspoor,86287047816685.14,44238352220365.45,57586518479673.664,56663976895620.6,58990467527379.68,-27801257166749.86
Miomir Kecmanovic,162531883709734.16,93469261464903.66,122036182182960.31,123156932958569.73,105044337529024.77,-57483013156174.65
Alexander Bublik,99023873623515.7,56446121194957.04,73126742829129.52,68485731859116.89,64333058931543.055,-34747093728070.53
Adrian Mannarino,112935123196487.22,66934652403154.09,89354987871478.8,82275591210587.69,81366843444580.97,-42436878429947.695
Lorenzo Musetti,113343098321852.9,65779886418438.11,110193725309090.27,95633834147294.28,92351890650500.81,-44617547523869.99
Sebastian Korda,101556338020573.53,62544265820251.266,100518674178167.72,84902000345803.0,86217682507196.39,-40191498768362.336
Andy Murray,39262442281807.74,25215365408359.094,38160251275489.84,31451476024449.48,33920097945155.17,-14826481866994.48
Oscar Otte,35943903045323.05,22963115074956.71,33590890300786.5,27207108375560.43,29752647014488.22,-13070004780721.512
Laslo Djere,65124636387956.51,41595582920965.7,56128895218023.125,50663050981125.83,50844282443484.5,-23463325296758.67
Daniel Evans,41062145673832.375,29842423525662.46,47427800464518.12,44026227659372.76,41017341380170.766,-17685748186653.883
Tommy Paul,78408238850411.23,53395416779056.65,84657870425221.36,76902094786863.14,65716735608362.23,-30185374172542.574
Emil Ruusuvuori,38001744413133.164,23258550893294.203,31877982200014.63,28658376549610.098,26952231896179.312,-16936353274616.955
