Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,0.8931888544891641,0.7335004177109441,0.8722873534547269,0.8028222730739893,0.7894736842105263
Univ. of Illinois at Urbana-Champaign,0.5388471177944861,0.7890559732664996,0.630581192317286,0.32456140350877194,0.4882688649334179
Univ. of California - San Diego,0.335765885301489,0.5033416875522139,0.3509603392367173,0.5491990846681922,0.49429296131896006
Massachusetts Institute of Technology,0.28674627745835174,0.4715956558061821,0.640059865303068,0.37528604118993136,0.36176284083703236
Georgia Institute of Technology,0.29234851835471026,0.40810359231411864,0.19930157146420552,0.541952707856598,0.6268230818008877
Stanford University,0.4071944567300604,0.21762740183792814,0.5026191070092292,0.6361556064073226,0.20513633481293597
University of Michigan,0.3189591626124133,0.5033416875522139,0.3130456472935894,0.23035850495804733,0.385859226379201
University of Washington,0.2853457172342621,0.28111946532999166,0.45048640558742825,0.5274599542334096,0.2714013950538998
Univ. of California - Berkeley,0.21811882647795955,0.3763575605680869,0.6258418558243951,0.26659038901601834,0.3316423589093215
Cornell University,0.48142414860681104,0.24143692564745192,0.4789224245447743,0.2955758962623951,0.2894736842105263
University of Maryland - College Park,0.33436532507739936,0.1541353383458646,0.13769019705662255,0.61441647597254,0.30754597336715284
Northeastern University,0.1648975379625534,0.24937343358395983,0.4220503866300822,0.19412662090007632,0.2714013950538998
University of Wisconsin - Madison,0.10047176765443018,0.3287385129490392,0.3225243202793714,0.1216628527841343,0.22320862396956248
Columbia University,0.2153177060297803,0.1858813700918964,0.28934896482913447,0.1651411136536995,0.13284717818642994
Purdue University,0.0892672858617131,0.3208020050125313,0.26565228236467947,0.10717009916094589,0.2352568167406468
University of Texas at Austin,0.18590594132389793,0.26524644945697573,0.5357944624594662,0.027459954233409634,0.0846544071020926
University of Pennsylvania,0.19430930266843577,0.1938178780284043,0.22299825392866052,0.15064836003051107,0.2292327203551046
Princeton University,0.11027568922305762,0.17000835421888047,0.17560488899975057,0.15064836003051107,0.13887127457197213
University of Massachusetts Amherst,0.29655019902697916,0.1541353383458646,0.004489897730107273,0.09267734553775747,0.16899175649968295
New York University,0.1761020197552705,0.058897243107769365,0.3177849837864804,0.12890922959572848,0.16296766011414077
University of Southern California,0.19711042311661503,0.1461988304093567,0.06660014966325764,0.04195270785659802,0.15091946734305645
Univ. of California - Los Angeles,0.2797434763379036,0.11445279866332489,0.34622100274382633,0.059496567505720827,0.042485732403297394
Stony Brook University,0.11027568922305762,0.09064327485380111,0.1187328510850586,0.0999237223493516,0.15091946734305645
University of Chicago,0.01783871443314168,0.26524644945697573,0.05712147667747566,0.03470633104500384,0.06658211794546609
Univ. of California - Irvine,0.055653840483561826,0.1858813700918964,0.023946121227238715,0.05644546147978641,0.2352568167406468
Univ. of California - Santa Barbara,0.11587793011941618,0.1541353383458646,0.15190820653529558,0.008771929824561375,0.012365250475586564
Rutgers University,0.23072386849476628,0.011278195488721748,0.03342479421302069,0.08543096872616324,0.0846544071020926
Duke University,0.09066784608580274,0.09857978279030907,0.03816413070591168,0.012967200610221219,0.07863031071655041
Univ. of California - Riverside,0.005970809376382141,0.3128654970760234,0.013968570715889264,0.045003813882532384,0.0846544071020926
Northwestern University,0.0024325519681556718,0.09064327485380111,0.023946121227238715,0.09267734553775747,0.06658211794546609
Pennsylvania State University,0.09627008698216126,0.1858813700918964,0.04714392616612623,0.045003813882532384,0.15694356372859863
University of Utah,0.0031696889282028656,0.050960735171261456,0.009229234222998275,0.1216628527841343,0.16899175649968295
George Mason University,0.022040395105410573,0.027151211361737648,0.03292591668745325,0.1216628527841343,0.12682308180088775
Harvard University,0.058454960931741115,0.011278195488721748,0.05712147667747566,0.04919908466819223,0.029803424223208613
Ohio State University,0.04444935869084475,0.13032581453634082,0.03292591668745325,0.045003813882532384,0.07260621433100828
Texas A&M University,0.052852720035382564,0.027151211361737648,0.051883262659017215,0.10717009916094589,0.07863031071655041
Univ. of California - Santa Cruz,0.06265664160401001,0.019214703425229684,0.03816413070591168,0.020213577421815426,0.16296766011414077
Yale University,0.017175291169099216,0.035087719298245584,0.21351958094287848,0.03470633104500384,0.03646163601775523
Boston University,0.06965944272445819,0.027151211361737648,0.13295086056373157,0.066742944317315,0.024413443246670913
Brown University,0.04024767801857583,0.03634085213032584,0.03342479421302069,0.1434019832189169,0.024413443246670913
North Carolina State University,0.05078873654725048,0.1541353383458646,0.018707907208780267,0.027459954233409634,0.10875079264426124
University at Buffalo,0.07246056317263748,0.050960735171261456,0.0002494387627837158,0.059496567505720827,0.0605580215599239
Rice University,0.04444935869084475,0.019214703425229684,0.023946121227238715,0.030511060259343997,0.029803424223208613
University of Colorado Boulder,0.011573050272740679,0.020467836257309996,0.018707907208780267,0.1216628527841343,0.16899175649968295
University of Illinois at Chicago,0.1284829721362229,0.03634085213032584,0.03816413070591168,0.030511060259343997,0.06658211794546609
University of North Carolina,0.10747456877487836,0.03634085213032584,0.051883262659017215,0.04919908466819223,0.018389346861128725
University of Virginia,0.03744655757039657,0.04302422723475355,0.018707907208780267,0.05225019069412659,0.024413443246670913
Arizona State University,0.07946336429308566,0.00334168755221384,0.05662259915190822,0.030511060259343997,0.09067850348763479
University of Minnesota,0.01223647353678313,0.011278195488721748,0.0708406086305812,0.05644546147978641,0.030437539632213073
Virginia Tech,0.01857585139318886,0.04302422723475355,0.04714392616612623,0.027459954233409634,0.16899175649968295
Univ. of California - Davis,0.024178092289547398,0.00334168755221384,0.009229234222998275,0.016018306636155583,0.006341154090044404
Johns Hopkins University,0.12568185168804363,0.0918964076858814,0.12821152407084058,0.066742944317315,0.0003170577045022438
Oregon State University,0.03464543712221731,0.06808688387635758,0.03342479421302069,0.02326468344774979,0.029803424223208613
Indiana University,0.05779153766769866,0.012531328320802032,0.04240458967323524,0.020213577421815426,0.09670259987317692
University of Central Florida,0.00803479286451421,0.05221386800334174,0.12771264654527315,0.016018306636155583,0.042485732403297394
University of Rochester,0.04444935869084475,0.06808688387635758,0.051883262659017215,0.066742944317315,0.04185161699429296
Michigan State University,0.050051599587203274,0.08395989974937346,0.07557994512347219,0.05225019069412659,0.035827520608750774
Rochester Institute of Technology,0.010172490048651034,0.07602339181286555,0.06610127213769021,0.008771929824561375,0.0846544071020926
University of Pittsburgh,0.00803479286451421,0.044277360066833776,0.0708406086305812,0.0812356979405034,0.005707038681039944
University of Texas at Dallas,0.06965944272445819,0.07602339181286555,0.03292591668745325,0.08848207475209761,0.012365250475586564
Washington University in St. Louis,0.014374170720919954,0.07602339181286555,0.05662259915190822,0.03775743707093818,0.05992390615091944
University of Notre Dame,0.015774730945009585,0.06808688387635758,0.12771264654527315,0.059496567505720827,0.05992390615091944
Univ. of California - Merced,0.0437859354268023,0.06808688387635758,0.03766525318034425,0.066742944317315,0.10209258084971463
University of Delaware,0.05358985699542976,0.07602339181286555,0.06136193564479922,0.016018306636155583,0.04787571337983512
University of Florida,0.059192097891788295,0.06808688387635758,0.05662259915190822,0.02326468344774979,0.04185161699429296
University of Texas at Arlington,0.024178092289547398,0.05221386800334174,0.12771264654527315,0.0812356979405034,0.06594800253646163
University of Connecticut,0.05779153766769866,0.07602339181286555,0.028186580194562244,0.059496567505720827,0.07197209892200379
Binghamton University,0.047987616099071206,0.044277360066833776,0.12771264654527315,0.10297482837528601,0.10209258084971463
Clemson University,0.0787999410290432,0.0918964076858814,0.12771264654527315,0.03470633104500384,0.04787571337983512
TTI Chicago,0.00036856848002360387,0.21094402673350046,0.004489897730107273,0.07398932112890921,0.13221306277742548
Vanderbilt University,0.06759545923632612,0.08395989974937346,0.0708406086305812,0.030511060259343997,0.04185161699429296
Worcester Polytechnic Institute,0.0437859354268023,0.09983291562238936,0.12771264654527315,0.030511060259343997,0.07197209892200379
California Institute of Technology,0.056390977443609026,0.11570593149540523,0.03342479421302069,0.07398932112890921,0.13221306277742548
College of William and Mary,0.0787999410290432,0.05221386800334174,0.07557994512347219,0.0812356979405034,0.11414077362079897
Dartmouth College,0.06759545923632612,0.12364243943191315,0.028186580194562244,0.001525553012967168,0.10209258084971463
Florida State University,0.08580274214949138,0.06808688387635758,0.013968570715889264,0.0812356979405034,0.10209258084971463
Iowa State University,0.05499041721951939,0.08395989974937346,0.06610127213769021,0.09572845156369182,0.07197209892200379
Stevens Institute of Technology,0.04938817632316085,0.08395989974937346,0.06136193564479922,0.10297482837528601,0.11414077362079897
CUNY,0.06619489901223648,0.09983291562238936,0.018707907208780267,0.08848207475209761,0.011731135066582105
Emory University,0.021376971841368136,0.10776942355889728,0.12771264654527315,0.09572845156369182,0.11414077362079897
Georgetown University,0.0633937785640572,0.09983291562238936,0.04290346719880267,0.12471395881006862,0.10811667723525681
NJIT,0.07039657968450538,0.06808688387635758,0.06610127213769021,0.10297482837528601,0.07799619530754595
Tufts University,0.07039657968450538,0.09983291562238936,0.07557994512347219,0.045003813882532384,0.10811667723525681
University of Arizona,0.0437859354268023,0.09983291562238936,0.07557994512347219,0.08848207475209761,0.0900443880786303
University of Oregon,0.024178092289547398,0.09983291562238936,0.0803192816163632,0.11022120518688022,0.12016487000634114
Colorado School of Mines,0.07599882058086392,0.09983291562238936,0.07557994512347219,0.07398932112890921,0.14426125554850983
Illinois Institute of Technology,0.06479433878814683,0.06808688387635758,0.12771264654527315,0.11746758199847442,0.10811667723525681
Syracuse University,0.06619489901223648,0.08395989974937346,0.07557994512347219,0.11022120518688022,0.09606848446417247
Temple University,0.02837977296181632,0.11570593149540523,0.12771264654527315,0.09572845156369182,0.10811667723525681
Tulane University,0.05358985699542976,0.10776942355889728,0.0708406086305812,0.08848207475209761,0.13823715916296764
University of Georgia,0.06759545923632612,0.08395989974937346,0.12771264654527315,0.11022120518688022,0.12016487000634114
University of Houston,0.06059265811587793,0.11570593149540523,0.06610127213769021,0.0812356979405034,0.12618896639188332
University of Nebraska,0.08160106147722247,0.10776942355889728,0.06136193564479922,0.05225019069412659,0.10811667723525681
University of Tennessee,0.08020050125313283,0.08395989974937346,0.12771264654527315,0.08848207475209761,0.12618896639188332
Washington State University,0.06619489901223648,0.06808688387635758,0.12771264654527315,0.11746758199847442,0.10209258084971463
Brigham Young University,0.0633937785640572,0.12364243943191315,0.12771264654527315,0.0812356979405034,0.0900443880786303
George Washington University,0.08580274214949138,0.06808688387635758,0.07557994512347219,0.10297482837528601,0.13221306277742548
Lehigh University,0.0633937785640572,0.12364243943191315,0.12771264654527315,0.059496567505720827,0.12016487000634114
UNC - Charlotte,0.07739938080495357,0.10776942355889728,0.12771264654527315,0.045003813882532384,0.09606848446417247
University of Massachusetts Lowell,0.06759545923632612,0.09983291562238936,0.12771264654527315,0.09572845156369182,0.07799619530754595
University of South Carolina,0.06759545923632612,0.11570593149540523,0.07557994512347219,0.0812356979405034,0.13221306277742548
Wayne State University,0.06759545923632612,0.09983291562238936,0.12771264654527315,0.10297482837528601,0.12016487000634114
Augusta University,0.08860386259767064,0.10776942355889728,0.051883262659017215,0.08848207475209761,0.12618896639188332
Brandeis University,0.046587055874981576,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.15028535193405199
Case Western Reserve University,0.07739938080495357,0.10776942355889728,0.12771264654527315,0.10297482837528601,0.15028535193405199
Drexel University,0.07319770013268465,0.12364243943191315,0.04240458967323524,0.10297482837528601,0.12016487000634114
Florida International University,0.0787999410290432,0.11570593149540523,0.06136193564479922,0.09572845156369182,0.0900443880786303
Portland State University,0.0830016217013121,0.10776942355889728,0.04714392616612623,0.10297482837528601,0.15028535193405199
Rensselaer Polytechnic Institute,0.06619489901223648,0.12364243943191315,0.07557994512347219,0.08848207475209761,0.13823715916296764
Univ. of Maryland - Baltimore County,0.061993218339967564,0.12364243943191315,0.12771264654527315,0.09572845156369182,0.10209258084971463
University of Iowa,0.08440218192540173,0.09983291562238936,0.04714392616612623,0.10297482837528601,0.12618896639188332
University of Louisiana - Lafayette,0.08160106147722247,0.11570593149540523,0.12771264654527315,0.08848207475209761,0.13823715916296764
University of New Hampshire,0.06619489901223648,0.11570593149540523,0.12771264654527315,0.10297482837528601,0.16233354470513633
University of North Texas,0.06899601946041575,0.10776942355889728,0.12771264654527315,0.10297482837528601,0.10811667723525681
Auburn University,0.07459826035677429,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.14426125554850983
Boston College,0.07599882058086392,0.1315789473684211,0.03292591668745325,0.10297482837528601,0.15630944831959415
Colorado State University,0.08720330237358101,0.10776942355889728,0.12771264654527315,0.10297482837528601,0.16233354470513633
DePaul University,0.08580274214949138,0.12364243943191315,0.06136193564479922,0.08848207475209761,0.12016487000634114
Kent State University,0.08860386259767064,0.10776942355889728,0.07557994512347219,0.09572845156369182,0.15630944831959415
Michigan Technological University,0.08860386259767064,0.11570593149540523,0.04714392616612623,0.09572845156369182,0.14426125554850983
University of Arkansas,0.08020050125313283,0.11570593149540523,0.06136193564479922,0.12471395881006862,0.17438173747622066
University of Kansas,0.08720330237358101,0.0918964076858814,0.12771264654527315,0.11022120518688022,0.13823715916296764
University of Kentucky,0.07179713990859501,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.16233354470513633
University of Memphis,0.08160106147722247,0.12364243943191315,0.12771264654527315,0.0812356979405034,0.16233354470513633
University of Nevada,0.08860386259767064,0.11570593149540523,0.12771264654527315,0.066742944317315,0.13221306277742548
University of South Florida,0.08860386259767064,0.10776942355889728,0.07557994512347219,0.09572845156369182,0.15028535193405199
University of Texas at San Antonio,0.09000442282176029,0.0918964076858814,0.12771264654527315,0.10297482837528601,0.15028535193405199
Virginia Commonwealth University,0.08720330237358101,0.11570593149540523,0.051883262659017215,0.09572845156369182,0.15028535193405199
Boise State University,0.08720330237358101,0.12364243943191315,0.12771264654527315,0.11022120518688022,0.1683576410906785
Cleveland State University,0.08720330237358101,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.1683576410906785
Georgia State University,0.08580274214949138,0.12364243943191315,0.12771264654527315,0.11022120518688022,0.15630944831959415
IUPUI,0.08720330237358101,0.12364243943191315,0.12771264654527315,0.08848207475209761,0.13823715916296764
Kansas State University,0.08720330237358101,0.11570593149540523,0.06610127213769021,0.11022120518688022,0.17438173747622066
Louisiana State University,0.09000442282176029,0.11570593149540523,0.07557994512347219,0.11746758199847442,0.16233354470513633
New Mexico State University,0.08440218192540173,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.14426125554850983
Northern Arizona University,0.09140498304584992,0.10776942355889728,0.12771264654527315,0.11746758199847442,0.1683576410906785
Old Dominion University,0.08860386259767064,0.12364243943191315,0.12771264654527315,0.11022120518688022,0.16233354470513633
Texas State University,0.09140498304584992,0.09983291562238936,0.07557994512347219,0.11746758199847442,0.13823715916296764
Texas Tech University,0.08860386259767064,0.11570593149540523,0.06136193564479922,0.11746758199847442,0.15630944831959415
UCCS,0.08160106147722247,0.12364243943191315,0.12771264654527315,0.11022120518688022,0.1683576410906785
University of Alabama - Birmingham,0.09000442282176029,0.10776942355889728,0.12771264654527315,0.19717772692601065,0.17438173747622066
University of Hawaii at Manoa,0.09140498304584992,0.12364243943191315,0.06136193564479922,0.11746758199847442,0.15028535193405199
University of Massachusetts Boston,0.09000442282176029,0.11570593149540523,0.12771264654527315,0.11022120518688022,0.1683576410906785
University of Nebraska - Omaha,0.08580274214949138,0.12364243943191315,0.12771264654527315,0.10297482837528601,0.1683576410906785
University of New Mexico,0.09280554326993956,0.12364243943191315,0.06136193564479922,0.08848207475209761,0.16233354470513633
University of Vermont,0.09000442282176029,0.11570593149540523,0.12771264654527315,0.11022120518688022,0.1683576410906785
West Virginia University,0.07179713990859501,0.1315789473684211,0.12771264654527315,0.19717772692601065,0.1683576410906785
Florida Atlantic University,0.09140498304584992,0.12364243943191315,0.051883262659017215,0.12471395881006862,0.19245402663284716
Mississippi State University,0.08860386259767064,0.12364243943191315,0.12771264654527315,0.12471395881006862,0.18040583386176284
Naval Postgraduate School,0.10681114551083591,0.11570593149540523,0.07557994512347219,0.11022120518688022,0.16233354470513633
OHSU,0.08860386259767064,0.21094402673350046,0.12771264654527315,0.19717772692601065,0.19245402663284716
Ohio University,0.09140498304584992,0.12364243943191315,0.12771264654527315,0.11746758199847442,0.186429930247305
Oklahoma State University,0.09000442282176029,0.12364243943191315,0.12771264654527315,0.12471395881006862,0.186429930247305
Saint Louis University,0.09140498304584992,0.12364243943191315,0.0708406086305812,0.11022120518688022,0.1683576410906785
The University of Alabama,0.09000442282176029,0.12364243943191315,0.12771264654527315,0.10297482837528601,0.17438173747622066
Towson University,0.09000442282176029,0.21094402673350046,0.06610127213769021,0.11746758199847442,0.186429930247305
UNC - Greensboro,0.09000442282176029,0.1315789473684211,0.12771264654527315,0.11022120518688022,0.18040583386176284
University at Albany - SUNY,0.09000442282176029,0.1315789473684211,0.12771264654527315,0.11022120518688022,0.186429930247305
