Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,3.6832926708180835,7.42189819602729,2.5428526454467946,6.462909650668628,-1.3380889407979115
Univ. of Illinois at Urbana-Champaign,3.652524606917261,7.62672932128096,2.5554280268985963,6.030063813176781,-1.1959392397955892
Univ. of California - San Diego,3.5890009391974083,8.028596961256948,2.540396342499877,5.705155871518322,-1.2596139686549463
Massachusetts Institute of Technology,3.5746147291085073,10.45889115905133,2.8347013892010793,1.058092430884436,-0.14876513589909024
Georgia Institute of Technology,3.6205936094631532,7.703356320906597,2.5291579303714347,6.102609834585763,-1.2756127268303352
Stanford University,3.5993396760654903,8.848483914034599,2.6579178133332917,4.070922858181479,-0.8568902768786242
University of Michigan,3.6362911613965174,8.337668424467605,2.631827268690916,4.792523018015835,-0.9476544461168332
University of Washington,3.600550156468689,8.575892561200057,2.625362139247448,4.585327118539791,-0.9766397413998982
Univ. of California - Berkeley,3.6848401674698117,6.746878762998832,2.3094635141687423,7.623844544392888,-1.491145364106452
Cornell University,3.6844072579599185,8.153230437901891,2.6409112872368983,5.044914178165158,-0.9979513028448448
University of Maryland - College Park,3.6010340180135714,8.760405889528705,2.6466073584929877,4.220827943996962,-0.8835663275422121
Northeastern University,3.564650903074053,10.168389824696128,2.797131191882876,1.6981683675292913,-0.334358031639411
University of Wisconsin - Madison,4.412457138805149,6.8187583996378285,3.036486308056472,3.869302700522995,0.3401045654411696
Columbia University,3.7281240406357306,9.25570493515373,2.822653718882103,3.515583584163179,-0.9609048508059761
Purdue University,4.3978322148674085,6.896548509731731,3.0583489462744513,3.9153918462413673,0.22991353855288565
University of Texas at Austin,4.525027252115898,5.555802263419974,2.7745755342473863,4.335100586429696,1.1901768332792282
University of Pennsylvania,3.8900734169181383,8.63717203344616,2.915898359512049,3.323039961125184,-0.347608869482102
Princeton University,3.3872434740202895,9.992598921257771,2.632543625929367,3.294631704492329,-1.1315679856296885
University of Massachusetts Amherst,3.5710123597328867,9.375008885246348,2.70487321153292,3.1631575053561214,-0.6638739316110409
New York University,3.8568578995411222,8.46876155426111,2.90234554149834,3.3998314266434386,-0.2996153543006983
University of Southern California,3.5349882890246764,9.555626984195174,2.664907098660553,3.0759353059446184,-0.6985715902504204
Univ. of California - Los Angeles,2.4846265287088976,10.274097764795634,1.9424065603452085,4.006167325002574,-1.1046344398534416
Stony Brook University,3.974530262311916,8.036655768134725,2.9468865718216257,3.5870519860845818,-0.0804792054661192
University of Chicago,4.4602764870603995,6.462536486978268,3.187257460068741,3.7824864674261462,0.644044192026282
Univ. of California - Irvine,3.854296987309773,8.608231653085525,2.86530739521136,3.5720530261713,-0.5842037807550469
Univ. of California - Santa Barbara,4.0198415742648645,7.540930392580125,2.9362412362881827,3.561620598191718,0.25566578493120407
Rutgers University,4.104044070192436,8.035305270469543,2.897149453824028,3.6125965238129387,-0.20819928502552187
Duke University,3.539586068521409,9.453738178404965,2.686183621748283,3.1397412639172266,-0.6817156381237659
Univ. of California - Riverside,4.884372581709712,5.10261987444871,3.439045583116677,4.361545454686581,1.0097840799029196
Northwestern University,3.642114392603366,9.178084983706107,2.7399848700521403,3.1103527822837265,-0.5112449080487806
Pennsylvania State University,4.394451385804771,6.52008975191358,3.263228643643746,4.46008444315915,0.024246641467076557
University of Utah,3.5700162264606217,8.984103679212478,2.7043401500304753,3.3557438902029952,-0.4207655446596519
George Mason University,3.7251399054303995,8.500693365372317,2.741413885471001,3.6959788114269974,-0.35167443650744445
Harvard University,3.5641759376771125,9.606924166631789,2.6844905584504293,3.634739431624552,-1.1939705017479714
Ohio State University,4.257383544990105,7.046693556759405,3.132028449353374,3.973771144302214,0.10825932368084068
Texas A&M University,3.6729842537054527,8.96237311712678,2.6585938960566935,3.7106475828517835,-0.7032172356522324
Univ. of California - Santa Cruz,3.9572793395502828,7.868273019207919,2.9227525237420213,3.1222189929140463,0.4243755621873362
Yale University,3.668753759352489,9.517289584843056,2.4671348395903685,2.8950735736810955,-0.5327771522745515
Boston University,3.530133397532298,9.25808753337767,2.594086335865331,3.5672027939123314,-0.8148996405699904
Brown University,3.9044642477730553,8.212372405036476,2.8748435248114426,3.9621527105020657,-0.5139000519505856
