Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary,Faculty
Carnegie Mellon University,0.9039615846338536,0.7711850172167634,0.8942300458888137,0.8401579633463692,0.8421622999936254
Univ. of Illinois at Urbana-Champaign,0.5496198479391756,0.8267405727723188,0.6525238847513728,0.36189709378115176,0.540957480716517
Univ. of California - San Diego,0.3465386154461785,0.5410262870580331,0.37290303167080413,0.586534774940572,0.546981577102059
Massachusetts Institute of Technology,0.2975190076030412,0.5092802553120014,0.6620025577371549,0.4126217314623112,0.41445145662013133
Georgia Institute of Technology,0.3031212484993997,0.4457881918199379,0.22124426389829233,0.5792883981289778,0.6795116975839868
Stanford University,0.4179671868747499,0.25531200134374743,0.524561799443316,0.6734912966797024,0.25782495059603494
University of Michigan,0.3297318927571028,0.5410262870580331,0.3349883397276762,0.26769419523042715,0.4385478421623
University of Washington,0.29611844737895154,0.3188040648358109,0.47242909802151506,0.5647956445057895,0.3240900108369988
Univ. of California - Berkeley,0.228891556622649,0.41404216007390615,0.6477845482584819,0.30392607928839815,0.38433097469242045
Cornell University,0.49219687875150053,0.27912152515327115,0.5008651169788612,0.33291158653477493,0.3421622999936253
University of Maryland - College Park,0.34513805522208885,0.19181993785168386,0.15963288949070936,0.6517521662449198,0.3602345891502518
Northeastern University,0.17567026810724287,0.28705803308977906,0.443993079064169,0.23146231117245614,0.3240900108369988
University of Wisconsin - Madison,0.11124449779911963,0.3664231124548585,0.3444670127134582,0.15899854305651412,0.27589723975266145
Columbia University,0.22609043617446975,0.22356596959771566,0.3112916572632213,0.2024768039260793,0.1855357939695289
Purdue University,0.10004001600640255,0.35848660451835057,0.2875949747987663,0.1445057894333257,0.28794543252374577
University of Texas at Austin,0.1966786714685874,0.302931048962795,0.557737154893553,0.06479564450578945,0.13734302288519157
University of Pennsylvania,0.20508203281312523,0.23150247753422357,0.24494094636274732,0.1879840503028909,0.2819213361382036
Princeton University,0.12104841936774707,0.20769295372469973,0.19754758143383738,0.1879840503028909,0.1915598903550711
University of Massachusetts Amherst,0.3073229291716686,0.19181993785168386,0.017452794703979535,0.1300130358101373,0.22168037228278192
New York University,0.18687474989995997,0.09658184261358863,0.3397276762205672,0.1662449198681083,0.21565627589723974
University of Southern California,0.2078831532613045,0.18388342991517595,0.08854284209734445,0.07928839812897784,0.20360808312615541
Univ. of California - Los Angeles,0.290516206482593,0.15213739816914415,0.36816369517791314,0.02216087723334101,0.09517434818639636
Stony Brook University,0.12104841936774707,0.12832787435962037,0.1406755435191454,0.1372594126217314,0.20360808312615541
University of Chicago,0.02861144457783113,0.302931048962795,0.07906416911156247,0.07204202131738366,0.11927073372856506
Univ. of California - Irvine,0.06642657062825127,0.22356596959771566,0.04588881366132552,0.09378115175216623,0.28794543252374577
Univ. of California - Santa Barbara,0.12665066026410562,0.19181993785168386,0.17385089896938238,0.028563760447818443,0.06505386625868553
Rutgers University,0.24149659863945575,0.04896279499454101,0.0553674866471075,0.12276665899854305,0.13734302288519157
Duke University,0.10144057623049219,0.13626438229612833,0.06010682313999849,0.05030289088260104,0.13131892649964938
Univ. of California - Riverside,0.004801920768307308,0.35055009658184266,0.007974121718197544,0.007668123610152566,0.13734302288519157
Northwestern University,0.013205282112845121,0.12832787435962037,0.04588881366132552,0.1300130358101373,0.11927073372856506
Pennsylvania State University,0.10704281712685071,0.22356596959771566,0.02520123373203942,0.007668123610152566,0.2096321795116976
University of Utah,0.0076030412164865835,0.08864533467708072,0.012713458211088532,0.15899854305651412,0.22168037228278192
George Mason University,0.03281312525010002,0.06483581086755691,0.010983224253366439,0.15899854305651412,0.17951169758398672
Harvard University,0.06922769107643056,0.04896279499454101,0.07906416911156247,0.08653477494057205,0.022885191559890355
Ohio State University,0.0552220888355342,0.16801041404216008,0.010983224253366439,0.007668123610152566,0.12529483011410725
Texas A&M University,0.06362545018007201,0.06483581086755691,0.029940570224930407,0.1445057894333257,0.13131892649964938
Univ. of California - Santa Cruz,0.07342937174869946,0.056899302931048945,0.06010682313999849,0.057549267694195244,0.21565627589723974
Yale University,0.006402561024409767,0.07277231880406484,0.2354622733769653,0.07204202131738366,0.0891502518008542
Boston University,0.08043217286914764,0.06483581086755691,0.15489355299781837,0.029407254044935188,0.07710205902976988
Brown University,0.05102040816326528,0.0013437473754934204,0.0553674866471075,0.1807376734912967,0.07710205902976988
North Carolina State University,0.04001600640256103,0.19181993785168386,0.0032347852253065412,0.06479564450578945,0.1614394084273602
University at Buffalo,0.08323329331732693,0.08864533467708072,0.022192131196870524,0.02216087723334101,0.11324663734302287
Rice University,0.0552220888355342,0.056899302931048945,0.04588881366132552,0.006824630013035821,0.022885191559890355
University of Colorado Boulder,0.0008003201280512295,0.017216763248509265,0.0032347852253065412,0.15899854305651412,0.22168037228278192
University of Illinois at Chicago,0.13925570228091236,0.0013437473754934204,0.06010682313999849,0.006824630013035821,0.11927073372856506
University of North Carolina,0.11824729891956781,0.0013437473754934204,0.029940570224930407,0.08653477494057205,0.0710779626442277
University of Virginia,0.04821928771508602,0.08070882674057281,0.0032347852253065412,0.014914500421746774,0.07710205902976988
