Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,4.124670073086106,7.796958447692294,2.3664652282586847,4.257725296087556
Univ. of Illinois at Urbana-Champaign,4.116173476427555,7.797066344273599,2.373838468395027,4.25854134954342
Univ. of California - San Diego,4.262034004882742,7.701850322615661,2.342478386399931,4.253098975773344
Massachusetts Institute of Technology,4.273673022721223,7.696336666177288,2.357099647967017,4.244134469541325
Georgia Institute of Technology,4.352437892833151,7.757934332583657,2.0788757134817564,4.36092380535206
Stanford University,4.43692438796128,7.682182894761448,2.0863936193789296,4.35422020173113
University of Michigan,4.453053876345694,7.697271568243425,2.0744202857984497,4.346937603197374
University of Washington,4.422277315323194,7.719484550777831,2.067476774435021,4.361961279190432
Univ. of California - Berkeley,4.201380940844427,7.658317457539964,2.2179742273665113,4.43931639325273
Cornell University,4.20170722071793,7.657146047606243,2.2191776639125393,4.439273575642404
University of Maryland - College Park,4.200921880771692,7.65675577217756,2.2197386791070914,4.439662092392435
Northeastern University,3.399843408272421,7.983516900502758,2.1033437215792277,4.744556128838632
University of Wisconsin - Madison,3.592071986452015,7.670529116289509,2.2422727905992756,4.759687582301813
Columbia University,3.655853143998882,7.600850672329674,2.303308481974303,4.698186835631054
Purdue University,3.791735419331172,7.513950111715606,2.323364163198576,4.614210643157677
University of Texas at Austin,3.7436818358310697,7.592899537000804,2.2376463769729384,4.679641037398442
University of Pennsylvania,3.7886572358805153,7.4081671557271,2.3630991140323356,4.721167015926743
Princeton University,3.7602957836295263,7.302513294619881,2.4223922015578503,4.773505125670038
University of Massachusetts Amherst,3.923482586133657,6.690678885756695,2.7618420447963885,4.903299720920367
New York University,3.913489868805549,6.6562718244350725,2.778125194458344,4.923235613710259
University of Southern California,3.8653491229934893,6.675467824085211,2.769203888441771,4.946213400447154
Univ. of California - Los Angeles,3.8245588413899223,6.000123231404082,2.51822403053792,6.3439168301235
Stony Brook University,3.9374002387155973,6.024443950287206,2.5204832964910766,6.1479559743600865
University of Chicago,3.838385440701459,6.008196395847721,2.504131408626194,6.329322306880447
Univ. of California - Irvine,4.104814884294875,6.150078733535234,2.489564847099111,5.7961065737882755
Univ. of California - Santa Barbara,4.07022162456159,6.100722617351505,2.383091073790791,6.007181947572711
Rutgers University,4.238593167125874,6.105939232827135,2.364261578741796,5.817733693949712
Duke University,4.239485405793846,6.121285857970929,2.2925311291609587,5.812299472867995
Univ. of California - Riverside,4.376758758723529,6.245017906133222,2.224023174632722,5.497748492020661
Northwestern University,4.670603165466723,6.124371949148414,2.2178458916295454,5.427687392097895
Pennsylvania State University,4.688432285213851,6.1331514198436645,2.1243228925127116,5.454004004546084
University of Utah,4.542982610346791,6.141252720129824,2.280790277621924,5.43117170775083
George Mason University,4.959520012230852,6.063026903400456,2.8805280225679026,4.841948987335089
Harvard University,5.16476425315706,5.9879583194167525,2.994508993861767,4.809270577012227
Ohio State University,5.047222806056881,5.9918103554901405,2.929767753669077,4.766567628192878
Texas A&M University,5.0874444376585535,5.979776759751462,3.078355457198278,4.776954734579264
Univ. of California - Santa Cruz,5.529191969327781,5.858301718003416,2.7801071617249073,4.784401236362347
Yale University,4.946603174985529,6.047245977428816,2.9850619147206445,4.8029981910611
Boston University,5.164716219266735,6.570157584140409,2.527875876975335,4.4696962094473855
Brown University,5.427135707107066,5.848340021955636,2.738752090368174,4.854050995944794
North Carolina State University,5.12583728304289,6.3199190443274045,2.654893030860252,4.6318965452926815
University at Buffalo,5.257734713118286,6.518989588661681,2.5283095344521405,4.442500717732442
Rice University,4.8412356864618795,6.820444907331704,2.201422580842908,4.5354991461472745
University of Colorado Boulder,5.078298583264777,6.868667208462324,1.8722292896402415,4.467090345100244
University of Illinois at Chicago,4.931332913761142,6.851116076750622,2.069794375654005,4.4933829953499345
University of North Carolina,4.8793631788583305,6.84813049025417,2.1453652197689745,4.469522643298741
University of Virginia,5.129501511887915,6.8582250190204626,1.840268699308176,4.474931028188036
Arizona State University,5.126046258692398,7.0365156694223545,1.6935026973546548,4.3373281736248845
University of Minnesota,5.150020260144436,6.995826343226449,1.6828907219221818,4.383355199741489
Virginia Tech,5.107130783536026,6.971023537048013,1.7971155352556183,4.412006343751859
Univ. of California - Davis,4.492362661544621,7.839241130287317,1.7422649912044665,4.0787326481981045
Johns Hopkins University,4.584150788289529,7.932932614707865,1.56274580951118,4.030709487535616
Oregon State University,4.577261254657557,7.836248434859774,1.5629642647954236,4.120211757573993
Indiana University,4.644024903101605,7.755652476250656,1.4544343120390024,4.1825885018874125
University of Central Florida,4.703940668732839,7.686736635317112,1.4211748091356018,4.262165928137302
University of Rochester,4.67956861950787,7.742881332553113,1.3746755574520844,4.244584489303501
Michigan State University,4.552309289804255,7.730195074225727,1.3736451180734486,4.430366925192823
Rochester Institute of Technology,4.5968971396464005,7.649673373025926,1.4502904038940252,4.381157383254443
University of Pittsburgh,4.518596136524277,7.87356514245268,1.4857404402632306,4.215749946025754
University of Texas at Dallas,4.599236799228774,7.82502903189759,1.4546283716593515,4.194169102313901
Washington University in St. Louis,5.119859247547523,5.633932707021503,1.4657783685225672,6.124744142931983
University of Notre Dame,5.43791768290264,6.039007035872781,1.6211614668355987,5.318034451501528
Univ. of California - Merced,5.836673883556224,6.024485005487528,2.689870246911912,4.857988709328974
University of Delaware,5.9172064774961095,5.99185986878014,2.658976574104197,4.8329180966714915
University of Florida,5.354070897278323,6.073413164931517,1.6802310632060327,5.306188830755233
University of Texas at Arlington,5.92862949491442,6.227768855404505,2.6420704106176505,4.5741669747954985
University of Connecticut,6.065508405569745,6.292625010140522,2.681994853066836,4.481179290060353
Binghamton University,7.0058837816225115,6.259749401227785,2.806584018208892,4.112704521957485
Clemson University,9.263220806479369,5.917249081371029,2.4097908233171306,3.8701207410863687
TTI Chicago,9.072038638582223,5.958813998197599,2.4248982967879864,3.8480496359152356
Vanderbilt University,7.187033261991562,6.124668316389269,2.6601603818102637,4.208463692736714
Worcester Polytechnic Institute,7.315062010841971,6.194458847026277,2.6586383303302035,4.115126098185414
California Institute of Technology,9.43540684254196,5.9288449631733995,2.3354694284307858,3.8551456521572516
College of William and Mary,9.214245655135992,5.905186580121808,2.3314852684982936,3.9119254109059853
Dartmouth College,9.213918504054126,5.899591585493572,2.3271344816777972,3.916174096928481
Florida State University,9.178806963488713,6.1497566855626165,2.206672637930587,3.7886476587114273
Iowa State University,9.312928147842971,6.07157801688971,2.2136257218430893,3.8181700088138113
Stevens Institute of Technology,9.191444770715767,5.93768940245071,2.4418766367079154,3.8567411515931576
