Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,4.011237111082714,5.912024173113591,2.144789590789671,3.794135692188493
Univ. of Illinois at Urbana-Champaign,2.874042427250444,5.127402349248344,1.5917951857553354,2.1352280662171057
Univ. of California - San Diego,2.1399477372678777,3.786677933337498,1.0976095648175404,2.386995710717376
Massachusetts Institute of Technology,1.9339739962586797,3.535910130798934,1.3456109253164543,1.9216217970259653
Georgia Institute of Technology,1.8600386613440836,3.1772781116995015,0.7735496301419083,2.174203793843047
Stanford University,2.06587725336124,2.341684849276363,1.1496758388884394,2.2956425651605423
University of Michigan,1.882738324165473,3.4133471428861957,0.9339685893105101,1.4117949060205353
University of Washington,1.7736176683714988,2.584247022507935,1.074551102650001,2.0690430213295317
Univ. of California - Berkeley,1.557678488653358,2.8797463819317772,1.1947577055078882,1.4533111455589025
Cornell University,2.0620277583248336,2.3150498943738236,1.0597128302040475,1.5110050472746095
University of Maryland - College Park,1.682388319558211,1.7375183294752055,0.5527644507194351,1.9835211627976612
Northeastern University,1.1971208972308074,2.0560488074206065,0.8760323662016699,1.05936536156324
University of Wisconsin - Madison,0.949543143917547,2.2747306405263954,0.7536110572318949,0.8013980985167927
Columbia University,1.2581075032100029,1.6867729035547798,0.6991368016827556,0.9174644040197731
Purdue University,0.8798382214920832,2.188908143257952,0.6696430119096736,0.7280438017572622
University of Texas at Austin,1.18381466403043,2.0011160886290633,0.9134051435549613,0.399355509680052
University of Pennsylvania,1.182240101607797,1.6865114316795684,0.6050557097730378,0.8550649973965287
Princeton University,0.8762208263748368,1.4802391671140314,0.502439345436122,0.797610850469902
University of Massachusetts Amherst,1.2728346271828026,1.3735243956752226,0.11272325721758925,0.5992372518139856
New York University,1.00524469008081,0.8604561342836567,0.633506801084502,0.6933120500768002
University of Southern California,1.0368842542325374,1.2835602116275597,0.2878463761215894,0.3924352732670677
Univ. of California - Los Angeles,1.1656408046569284,1.1116409970986763,0.6331582482283165,-0.1307094971779647
Stony Brook University,0.7838872670236948,0.9816337108399036,0.3687485509453677,0.5717373259280736
University of Chicago,0.43477391373493357,1.681259327910578,0.2601323847620024,0.3528728093577632
Univ. of California - Irvine,0.5925236288066246,1.3783832769965267,0.17809955780026437,0.42429339609058686
Univ. of California - Santa Barbara,0.7962116233432455,1.2619659175387183,0.41596216625429394,0.15710307627715325
Rutgers University,0.9931069446848413,0.47798511526020765,0.1877258107902477,0.4884347291967642
Duke University,0.6634723753068602,0.9380902514683926,0.19535234615792046,0.23263755918735796
Univ. of California - Riverside,0.26535672942630634,1.675248299097738,0.06355578488450184,-0.03907037399440874
Northwestern University,0.2996988157322204,0.8747505599170832,0.1577689801269552,0.4870165054579595
Pennsylvania State University,0.6686445210745802,1.2631707407930823,-0.049390569977925985,-0.03976905427428695
University of Utah,0.25423852927994245,0.6496758688499815,0.06871686686207357,0.5384493617281976
George Mason University,0.36962543941679055,0.5151736510512621,-0.0019624022376117933,0.530062260481072
Harvard University,0.5111508100033165,0.42887957378738895,0.2141108965382203,0.33404517450130866
Ohio State University,0.4610973214985504,0.988129614828199,-0.0013566230897195386,-0.04227616741776957
Texas A&M University,0.49012479025712685,0.518058733849297,-0.0661901965040575,0.4967466774962797
Univ. of California - Santa Cruz,0.517637160474534,0.4682249155885648,0.17537215493825453,0.23239707113440727
Yale University,0.16819059839231187,0.5567222539108483,0.4161432360785813,0.2831400182310636
Boston University,0.5209564589759286,0.4936187381868773,0.31385811344363046,-0.16054868674517978
Brown University,0.42900074064446714,0.10112679250595255,0.16150047132204712,0.5649871701230965
North Carolina State University,-0.09070850413933274,1.0521867747435885,0.03990825535859288,0.25455458702827083
University at Buffalo,0.5248519622124629,0.6088740053653219,0.08630295037635977,-0.11881785960308744
Rice University,0.4277607114250102,0.4389001382011912,0.1364294694602481,0.021465500318181147
University of Colorado Boulder,0.18070786979958897,0.19741391330283964,0.03463702799528409,0.4851204070244015
University of Illinois at Chicago,0.6447664689943546,0.09152662090381769,0.16064274712259796,0.01909701540719244
University of North Carolina,0.5991821586535275,0.09281983042317932,-0.0645419832127836,0.30288202979619044
University of Virginia,0.39524870253546285,0.5498614477421023,0.03526882299155934,-0.08038955308629511
Arizona State University,0.5151142674911129,0.33537845588750825,-0.07926334179926908,0.018575822815755094
University of Minnesota,0.29480542750458216,0.384877666911156,-0.12893610299570657,0.32073603684561636
Virginia Tech,0.1422980052686032,0.5469421249308333,-0.04833767856123772,0.23422260408241752
Univ. of California - Davis,0.09758049659071721,0.3162268398709226,0.05356051634680445,0.0708821325632252
Johns Hopkins University,0.5738498961946663,-0.3557272272866507,0.26422630431116517,-0.15109383873045706
Oregon State University,0.3431519876726563,-0.1506846067192459,0.13473001361517686,0.038619209899075385
Indiana University,-0.1506737612274034,0.20913855070135276,-0.03398838643967797,0.17931775068772057
University of Central Florida,0.22828983705302824,-0.03439956075585582,-0.20656345613715377,0.05898158726367442
University of Rochester,0.34559079406235393,-0.14578502591181852,-0.060382248984307774,-0.14386444621335137
Michigan State University,0.35176835125629213,-0.26458187138903533,-0.12789099748463495,-0.0795371417768331
Rochester Institute of Technology,0.14537228544800312,-0.20362047384762935,-0.10079988335802129,0.0788035092745866
University of Pittsburgh,0.22011956909594427,0.013935084169024115,-0.1142039032171166,-0.21125440992980776
University of Texas at Dallas,0.408512173555852,-0.20477953900143123,-0.010161669848503113,-0.2511866460244503
