university_name,teaching,research,citations,income,international
University of Oxford,212.44976190476189,247.01547619047616,197.5405952380952,5.7594047619047615,46.090714285714284
California Institute of Technology,220.12238095238095,242.61547619047616,196.50071428571425,11.943809523809524,35.07357142857143
University of Cambridge,218.83095238095237,248.17392857142852,191.3790476190476,4.021071428571428,45.96738095238095
Stanford University,222.0954761904762,244.73309523809522,202.6660714285714,5.956547619047619,32.547380952380955
Massachusetts Institute of Technology,215.44309523809525,235.92797619047616,201.94821428571427,13.486309523809522,40.93440476190476
Princeton University,220.16666666666669,245.9622619047619,202.14166666666665,5.4901190476190465,34.451190476190476
Harvard University,216.54011904761904,249.53845238095235,199.90630952380948,0.5302380952380952,29.04142857142857
Yale University,225.53678571428566,246.6445238095238,203.11749999999998,2.2415476190476182,22.797857142857143
The University of Chicago,219.75309523809523,240.18369047619043,201.7322619047619,2.4457142857142857,30.507619047619045
Imperial College London,205.24249999999998,229.2178571428571,201.49154761904762,9.034880952380952,49.6122619047619
University of Pennsylvania,217.3578571428571,241.4147619047619,208.49821428571428,9.949880952380951,20.728333333333328
Johns Hopkins University,198.9335714285714,239.99916666666664,204.5615476190476,13.480714285714285,27.011666666666667
University of California,206.85595238095235,240.84749999999997,213.81440476190474,0.4257142857142857,24.68869047619047
ETH Zurich,202.3853571428571,245.64619047619044,184.6988095238095,3.75845238095238,50.313333333333325
UCL,191.94761904761904,238.84238095238095,205.48964285714285,-0.3289285714285714,49.60214285714286
Columbia University,215.412619047619,223.85238095238097,213.93999999999997,0.0626190476190476,34.303690476190475
University of California,208.58190476190475,242.22857142857137,211.39619047619044,2.1503571428571426,20.88488095238095
University of Toronto,191.92380952380947,250.30785714285713,201.6992857142857,2.0147619047619045,40.66
Cornell University,201.33892857142857,241.8342857142857,216.17488095238093,-2.041785714285714,30.66666666666666
Duke University,211.06214285714287,215.10535714285712,222.335,18.835119047619045,19.93738095238095
University of Michigan-Ann Arbor,204.46476190476193,249.46749999999997,213.600119047619,2.7310714285714286,17.542380952380952
Northwestern University,185.01047619047617,236.85940476190476,223.75869047619048,10.44142857142857,20.572976190476187
Tsinghua University,232.05547619047618,280.40690476190474,139.8960714285714,17.63261904761905,4.53547619047619
Peking University,241.99345238095236,267.02238095238096,137.7117857142857,13.604285714285714,17.48488095238095
National University of Singapore,198.87273809523808,268.15940476190474,152.04892857142855,4.781785714285713,53.20726190476191
University of Washington,185.17547619047616,242.53988095238094,230.55273809523806,1.0269047619047618,17.91
Carnegie Mellon University,158.99464285714285,243.07249999999993,233.32023809523807,2.0398809523809525,37.59928571428571
London School of Economics and Political Science,173.41119047619046,243.2967857142857,213.22035714285713,-2.958095238095238,50.89321428571428
New York University,202.79714285714286,226.48619047619047,227.44821428571427,-1.7269047619047615,22.86916666666666
University of Edinburgh,170.48690476190473,220.04011904761904,231.9330952380952,-1.7288095238095238,55.11214285714284
University of California,156.07202380952378,242.37071428571429,239.58880952380952,16.74535714285714,23.917142857142853
LMU Munich,180.39845238095236,237.2382142857143,207.75119047619043,21.920833333333334,28.37309523809524
University of Melbourne,171.6067857142857,225.93511904761905,209.05857142857144,12.677499999999998,55.43892857142856
