university_name,teaching,research,citations,income,international
University of Oxford,30.0,30.0,30.000000000000455,2.499999999999986,7.500000000000114
Stanford University,29.999999999999773,29.999999999999545,30.00000000000091,2.5000000000000213,7.500000000000114
Harvard University,29.999999999999147,30.000000000000227,30.000000000000227,2.5000000000000213,7.5
California Institute of Technology,30.000000000000114,30.00000000000034,29.999999999999773,2.5000000000000497,7.499999999999943
Massachusetts Institute of Technology,30.000000000000114,29.999999999999773,30.00000000000034,2.5000000000000213,7.499999999999886
University of Cambridge,29.999999999999773,30.000000000000227,30.000000000000114,2.499999999999943,7.4999999999998295
University of California Berkeley,30.000000000000114,29.999999999999773,29.999999999999943,2.5,7.500000000000014
Yale University,29.999999999999773,29.999999999999943,29.999999999999943,2.4999999999999716,7.5
Princeton University,30.00000000000034,29.999999999999716,29.99999999999983,2.500000000000057,7.499999999999911
The University of Chicago,29.99999999999966,30.0,30.00000000000034,2.499999999999872,7.4999999999999005
Imperial College London,29.999999999999773,30.00000000000034,29.999999999999773,2.500000000000057,7.499999999999886
Johns Hopkins University,30.000000000000114,30.00000000000003,29.999999999999886,2.499999999999936,7.5000000000000995
University of Pennsylvania,30.000000000000114,30.000000000000142,29.999999999999602,2.499999999999929,7.500000000000014
ETH Zurich,30.000000000000227,30.000000000000455,29.999999999999773,2.4999999999998863,7.499999999999972
University of California Los Angeles,29.99999999999997,30.00000000000003,29.9999999999998,2.4999999999999787,7.499999999999908
UCL,30.000000000000284,29.999999999999858,30.000000000000014,2.5000000000000355,7.5
Columbia University,30.000000000000057,29.999999999999943,30.000000000000057,2.499999999999993,7.499999999999886
University of Toronto,29.99999999999997,29.99999999999997,30.00000000000003,2.4999999999999716,7.5
Cornell University,29.999999999999943,29.999999999999943,29.99999999999997,2.5000000000000284,7.500000000000028
Duke University,30.000000000000057,30.000000000000057,29.99999999999998,2.4999999999999574,7.499999999999929
Tsinghua University,29.999999999999943,30.000000000000114,30.000000000000014,2.5,7.500000000000014
University of Michigan-Ann Arbor,29.999999999999886,29.999999999999915,30.000000000000043,2.5,7.500000000000007
Peking University,30.00000000000017,29.999999999999773,30.0,2.5000000000000284,7.500000000000043
Northwestern University,30.0,30.000000000000114,29.99999999999997,2.5,7.499999999999993
National University of Singapore,30.000000000000114,29.999999999999943,30.000000000000057,2.500000000000057,7.499999999999986
New York University,30.000000000000284,29.99999999999997,29.999999999999954,2.500000000000014,7.499999999999972
London School of Economics and Political Science,30.000000000000227,29.999999999999773,29.999999999999986,2.5000000000000213,7.500000000000071
Carnegie Mellon University,30.000000000000185,29.9999999999998,30.000000000000114,2.5000000000000284,7.50000000000005
University of Washington,29.999999999999886,30.0,29.999999999999943,2.500000000000007,7.500000000000085
University of Edinburgh,30.0,29.9999999999998,30.000000000000078,2.5000000000000213,7.5000000000000355
University of Melbourne,29.999999999999943,30.000000000000057,29.999999999999844,2.499999999999968,7.500000000000057
LMU Munich,29.9999999999998,30.000000000000256,29.999999999999915,2.499999999999993,7.500000000000057
University of California San Diego,29.99999999999997,29.99999999999997,30.0,2.5,7.5
University of British Columbia,30.000000000000114,30.0,29.99999999999997,2.500000000000057,7.5
King’s College London,30.0000000000002,29.999999999999943,30.000000000000142,2.499999999999986,7.499999999999943
Karolinska Institute,29.999999999999545,30.000000000000227,29.999999999999886,2.5000000000000604,7.500000000000057
The University of Tokyo,30.000000000000085,29.999999999999915,29.99999999999997,2.499999999999986,7.500000000000028
Georgia Institute of Technology,29.99999999999997,30.000000000000043,29.999999999999986,2.499999999999943,7.499999999999957
University of Hong Kong,30.00000000000007,29.999999999999886,30.00000000000003,2.5,7.5
McGill University,30.00000000000003,29.999999999999858,30.000000000000043,2.5000000000000995,7.499999999999993
Technical University of Munich,29.999999999999943,30.00000000000003,30.000000000000064,2.4999999999999964,7.499999999999986
Heidelberg University,30.000000000000057,29.999999999999858,30.000000000000043,2.5000000000000284,7.500000000000028
École Polytechnique Fédérale de Lausanne,30.000000000000178,29.99999999999993,29.999999999999897,2.5000000000000355,7.499999999999986
University of Texas at Austin,29.999999999999886,30.0,30.000000000000128,2.4999999999999716,7.499999999999993
KU Leuven,29.999999999999886,29.999999999999773,29.999999999999986,2.500000000000014,7.500000000000014
Paris Sciences et Lettres – PSL Research University Paris,30.00000000000017,29.999999999999886,29.99999999999998,2.5,7.5
Nanyang Technological University Singapore,29.999999999999886,30.000000000000057,29.999999999999993,2.500000000000014,7.5
University of Illinois at Urbana-Champaign,30.0,29.999999999999915,30.000000000000064,2.4999999999999716,7.500000000000014
University of Wisconsin-Madison,30.000000000000114,29.99999999999997,30.00000000000003,2.4999999999999503,7.500000000000028
Washington University in St Louis,29.999999999999943,29.999999999999943,30.000000000000014,2.5000000000000284,7.5
University of Manchester,30.0,29.999999999999915,30.00000000000005,2.5000000000000426,7.499999999999993
University of Sydney,30.000000000000114,29.999999999999915,29.999999999999964,2.4999999999999574,7.500000000000011
University of Southern California,30.00000000000003,29.999999999999886,30.000000000000114,2.499999999999986,7.499999999999986
Boston University,29.9999999999998,30.000000000000142,30.000000000000057,2.4999999999999716,7.499999999999936
Kyoto University,29.999999999999773,30.000000000000114,30.000000000000032,2.5,7.499999999999915
Chinese University of Hong Kong,29.999999999999886,29.999999999999943,30.00000000000006,2.5000000000000853,7.499999999999972
The Hong Kong University of Science and Technology,29.999999999999858,30.000000000000085,30.00000000000003,2.4999999999999645,7.499999999999957
University of North Carolina at Chapel Hill,30.00000000000003,30.0,30.000000000000057,2.5000000000000107,7.5
Australian National University,29.99999999999983,30.00000000000017,30.0000000000001,2.4999999999999645,7.499999999999943
Seoul National University,30.00000000000003,29.999999999999943,30.000000000000057,2.500000000000014,7.499999999999979
Brown University,29.99999999999983,29.99999999999997,30.000000000000085,2.500000000000007,7.499999999999957
The University of Queensland,29.999999999999886,30.000000000000114,30.000000000000057,2.4999999999999574,7.499999999999943
Wageningen University & Research,30.000000000000057,29.99999999999997,30.000000000000057,2.4999999999999467,7.499999999999936
University of California Davis,30.000000000000078,30.000000000000043,29.999999999999872,2.5000000000000213,7.500000000000028
Monash University,30.0,29.999999999999943,29.999999999999993,2.500000000000007,7.500000000000014
University of Amsterdam,30.0,29.999999999999986,30.0,2.499999999999954,7.500000000000057
UNSW Sydney,30.000000000000128,29.999999999999943,30.0,2.4999999999999787,7.50000000000005
University of California Santa Barbara,30.000000000000085,29.999999999999886,30.00000000000007,2.500000000000014,7.5
McMaster University,29.999999999999986,30.000000000000057,30.000000000000057,2.499999999999929,7.499999999999986
Fudan University,29.99999999999983,30.000000000000114,30.000000000000014,2.500000000000213,7.499999999999893
Leiden University,29.99999999999983,30.000000000000178,29.999999999999858,2.499999999999943,7.500000000000128
Erasmus University Rotterdam,29.999999999999886,30.000000000000114,30.000000000000057,2.5,7.500000000000028
University of Montreal,29.999999999999858,30.00000000000003,30.00000000000004,2.4999999999999787,7.5
University of Zurich,30.000000000000057,29.999999999999915,30.00000000000003,2.5000000000000036,7.5
Charité - Universitätsmedizin Berlin,29.999999999999943,29.999999999999986,30.00000000000003,2.4999999999999716,7.500000000000007
Utrecht University,30.000000000000057,30.0,30.000000000000085,2.5,7.4999999999998295
University of Warwick,29.999999999999886,30.000000000000057,30.0,2.5,7.499999999999915
Delft University of Technology,29.999999999999943,30.0,30.0,2.4999999999999964,7.5
University of Tübingen,30.000000000000057,30.000000000000057,29.99999999999997,2.4999999999999574,7.499999999999989
University of Groningen,30.000000000000085,29.999999999999943,29.999999999999943,2.5,7.500000000000043
Humboldt University of Berlin,30.00000000000003,30.00000000000003,29.99999999999995,2.5,7.499999999999993
Ohio State University (Main campus),29.9999999999998,30.000000000000057,30.00000000000003,2.4999999999999716,7.500000000000014
University of Freiburg,29.999999999999943,30.0,30.00000000000003,2.5,7.499999999999986
University of Copenhagen,30.000000000000078,29.999999999999943,29.999999999999986,2.5,7.5
Emory University,30.000000000000043,29.999999999999815,29.99999999999993,2.4999999999999574,7.499999999999929
University of Minnesota,30.0,29.99999999999997,29.99999999999997,2.5000000000000284,7.500000000000007
École Polytechnique,30.000000000000057,30.00000000000003,29.999999999999986,2.499999999999943,7.500000000000039
University of Science and Technology of China,30.0,30.0,29.999999999999943,2.5000000000000497,7.5
Sorbonne University,30.0,29.999999999999943,30.00000000000003,2.5000000000000355,7.500000000000014
University of Maryland College Park,29.999999999999922,30.000000000000085,29.99999999999997,2.5000000000000213,7.500000000000021
University of Bristol,30.000000000000057,29.999999999999943,30.0,2.5000000000000293,7.500000000000025
University of Basel,29.99999999999983,30.000000000000057,29.99999999999998,2.500000000000025,7.500000000000007
University of Glasgow,30.0,29.99999999999997,30.000000000000036,2.499999999999986,7.499999999999975
Purdue University West Lafayette,30.000000000000355,29.999999999999773,30.00000000000002,2.4999999999999076,7.500000000000014
Zhejiang University,29.99999999999997,30.0000000000002,29.99999999999998,2.500000000000014,7.500000000000014
Korea Advanced Institute of Science and Technology (KAIST),29.999999999999716,30.00000000000017,30.000000000000004,2.5,7.500000000000021
National Taiwan University (NTU),29.999999999999922,29.99999999999998,30.000000000000007,2.5000000000000426,7.499999999999972
University of California Irvine,30.000000000000018,29.999999999999986,30.000000000000014,2.5,7.5
University of Helsinki,30.000000000000057,30.0,30.000000000000043,2.5000000000000107,7.499999999999943
