,n1,n2,n3
0,32785728768666.977,32727368952788.914,32850349443396.617
1,68559433633992.055,68527885816418.62,70564393702394.53
2,17021606744073.346,16871614493845.012,16599087594414.479
3,19880107189268.535,20092645236241.438,20443142698496.508
4,38137748500263.805,38120315360735.03,38253375226372.64
5,10072051194929.654,10056041857370.213,10007751614408.062
6,24895535272389.617,24905481005698.46,24868465242877.61
7,25642625811915.484,25679926163847.2,25879528298060.125
8,16446930061630.996,16422738069303.176,16772539190998.623
9,47329097303358.16,47280674153160.31,47071612444159.375
10,29060888407458.465,28962665390672.555,29067150488694.69
11,21889030041627.44,21643020277508.582,21459797562739.22
12,43113061984488.195,43602194941127.48,44090723138390.984
13,10645119477389.4,10608803860317.598,10573387461542.676
14,47289932507873.97,47283405431979.91,47686439131638.125
15,15381794849277.52,15303874475690.611,15075035124176.074
16,52732818870286.53,52440102411355.18,55300089140785.72
17,31524193873702.184,31505313811068.04,31500349023594.926
18,46031511795305.41,45981741356962.336,46180723172353.97
19,32618511946806.473,32703168373773.965,32722009291909.246
20,30290993786286.945,30439670981392.465,30861116654448.305
21,48996247209015.83,49258930029381.35,49141224566326.68
22,23511906970260.727,23504769958033.426,23507784030752.47
23,43748978270026.53,44021473887992.36,43699358416645.28
24,68856150189835.836,70404006271417.81,77719710515838.69
25,18740547738839.836,18719518892632.51,18741673909875.074
26,47317513816044.09,47007066506001.08,45510162604737.61
27,31755280982375.05,31636832659960.293,31508775513752.164
28,46573942070955.09,46616574701769.88,46384160117220.29
29,22340078663442.438,22095960004867.918,22643937438566.72
30,52185038476332.01,52251446049304.086,52215226859387.27
31,73226169926301.95,71428975389956.47,69727985439817.77
32,81124098568033.0,80827569819054.5,79949244577893.06
33,45108989005440.25,44767288965125.734,44332872980431.81
34,15109666590935.613,15165042431070.055,15005154327239.71
35,56248640614855.58,56622965788583.234,56972603605475.336
36,33706830667768.727,33873117748415.383,33888419769798.29
37,19945701355232.12,19985438070975.76,20421114602459.24
38,22261224369994.246,22288348993576.152,22165135182354.86
39,26317013212757.895,26086478033877.84,25825292796597.316
40,53001470698508.55,52817527313218.56,53254950502834.02
41,43882116858914.45,45493507725251.56,44513451940304.83
42,36713271681067.664,36386120601792.25,35287919270298.66
43,41733971224544.6,41713809211019.92,41515160985561.72
44,59618543620968.07,59583342837326.36,59525820030092.65
45,55585645607370.97,55431737079270.31,55556055088912.53
46,24449036657236.504,24566256761819.008,24916051752491.74
47,33222934597396.766,33090234669634.777,32684441448260.55
48,27180769613759.53,27245466066949.426,27727204473426.137
49,57788941336958.234,57510073524682.64,56028179222205.164
50,31765167870119.004,31895431182091.035,31986753886895.473
51,29630181937808.18,29599343175023.992,29725109293836.215
52,12725364096130.506,12698225832922.264,12742470984802.0
53,43400438419691.36,43429601810613.305,43669352787344.93
54,44056546200207.13,43523190434578.44,44574696884248.33
55,50094962397085.21,49890484363659.336,49684448096945.56
56,44898970664308.26,46000350030205.3,45894870240126.68
57,74352498162897.2,74163905554790.58,74765692734931.7
58,9509239262482.766,9528788492328.648,9497105817363.797
59,24151013358221.67,24178977923309.258,24090580725798.168
60,12328347990754.062,12307603336226.621,12245584559227.07
61,48211868409794.836,48181006527092.9,50386208421886.19
62,22133532360855.516,22301641956623.035,22133575689221.973
63,154632839221413.4,153761970494637.7,153711271982185.78
64,46454634707024.76,46330595762104.47,46153864515946.37
65,21406848384189.855,21281163769372.645,20771610175344.176
66,14422495170538.537,14441243924758.277,14508407856380.018
67,27436214268540.016,27350527890981.473,27502538884174.156
68,22879495882103.234,22913391233334.55,22965449865122.87
69,38753466648488.72,38736091668211.99,38199535620186.1
