Institution,fidelity
Carnegie Mellon University,0.0
Univ. of Illinois at Urbana-Champaign,0.0
Univ. of California - San Diego,0.0
Massachusetts Institute of Technology,0.0
Georgia Institute of Technology,0.0
Stanford University,0.0
University of Michigan,0.0
University of Washington,0.0
Univ. of California - Berkeley,0.0
Cornell University,0.0
University of Maryland - College Park,0.0
Northeastern University,0.0
University of Wisconsin - Madison,0.0
Columbia University,0.0
Purdue University,0.0
University of Texas at Austin,0.0
University of Pennsylvania,0.0
Princeton University,0.0
University of Massachusetts Amherst,0.0
New York University,0.0
University of Southern California,0.0
Univ. of California - Los Angeles,0.0
Stony Brook University,0.0
University of Chicago,0.0
Univ. of California - Irvine,0.0
Univ. of California - Santa Barbara,0.0
Rutgers University,0.0
Duke University,0.0
Univ. of California - Riverside,0.0
Northwestern University,0.0
Pennsylvania State University,0.0
University of Utah,0.0
George Mason University,0.0
Harvard University,0.0
Ohio State University,0.0
Texas A&M University,0.0
Univ. of California - Santa Cruz,0.0
Yale University,0.0
Boston University,0.0
Brown University,0.0
North Carolina State University,0.0
University at Buffalo,0.0
Rice University,0.0
University of Colorado Boulder,0.0
University of Illinois at Chicago,0.0
University of North Carolina,0.0
University of Virginia,0.0
Arizona State University,0.0
University of Minnesota,0.0
Virginia Tech,0.0
Univ. of California - Davis,0.0
Johns Hopkins University,0.0
Oregon State University,0.0
Indiana University,0.0
University of Central Florida,0.0
University of Rochester,0.0
Michigan State University,0.0
Rochester Institute of Technology,0.0
University of Pittsburgh,0.0
University of Texas at Dallas,0.0
Washington University in St. Louis,0.0
University of Notre Dame,0.0
Univ. of California - Merced,-0.09277410891540061
University of Delaware,-0.06853980329981546
University of Florida,0.0
University of Texas at Arlington,-0.10151438989343298
University of Connecticut,-0.08426365169538208
Binghamton University,-0.10610105366426015
Clemson University,-0.04619542617891348
TTI Chicago,-0.08414651373776327
Vanderbilt University,-0.06600089985037516
Worcester Polytechnic Institute,-0.06545325283025161
California Institute of Technology,-0.08209714432192272
College of William and Mary,0.0
Dartmouth College,0.0
Florida State University,0.0
Iowa State University,-0.09378623707765787
Stevens Institute of Technology,-0.09830693666661872
CUNY,0.0
Emory University,0.0
Georgetown University,0.0
NJIT,0.0
Tufts University,0.0
University of Arizona,0.0
University of Oregon,0.0
Colorado School of Mines,0.0
Illinois Institute of Technology,0.0
Syracuse University,-0.09128468919620047
Temple University,-0.08568009842124757
Tulane University,0.0
University of Georgia,0.0
University of Houston,0.0
University of Nebraska,0.0
University of Tennessee,-0.07717972122580474
Washington State University,-0.09139339461387253
Brigham Young University,0.0
George Washington University,-0.0848712264947955
Lehigh University,-0.06292892179774712
UNC - Charlotte,-0.058586084170082264
University of Massachusetts Lowell,-0.08045433556638826
University of South Carolina,-0.07301202208442281
Wayne State University,0.0
Augusta University,-0.07029366152004335
Brandeis University,0.0
Case Western Reserve University,-0.07558870746931778
Drexel University,0.0
Florida International University,0.0
Portland State University,0.0
Rensselaer Polytechnic Institute,0.0
Univ. of Maryland - Baltimore County,0.0
University of Iowa,0.0
University of Louisiana - Lafayette,-0.06752615009908491
University of New Hampshire,0.0
University of North Texas,-0.07913916590618353
Auburn University,-0.07109177458491533
Boston College,-0.07538629482651937
Colorado State University,-0.07050198021924436
DePaul University,-0.06655000229062824
Kent State University,-0.07035404074100926
Michigan Technological University,-0.07044430330115392
University of Arkansas,-0.0697420104166735
University of Kansas,-0.07559459654904432
University of Kentucky,-0.0721840422386657
University of Memphis,-0.06323068480168703
University of Nevada,-0.05776448678932944
University of South Florida,-0.07035404074100926
University of Texas at San Antonio,-0.07337756170829923
Virginia Commonwealth University,-0.07084694302448735
Boise State University,0.0
Cleveland State University,-0.05196474425815456
Georgia State University,-0.053558309885011056
IUPUI,-0.05085906748868455
Kansas State University,-0.07172988948126235
Louisiana State University,-0.096996280460516
New Mexico State University,0.0
Northern Arizona University,-0.05367982083191839
Old Dominion University,-0.052379844789256357
Texas State University,-0.07178157127288154
Texas Tech University,-0.09688256816826406
UCCS,-0.05524966908662184
University of Alabama - Birmingham,-0.008520942971978585
University of Hawaii at Manoa,0.0
University of Massachusetts Boston,-0.05350324990909646
University of Nebraska - Omaha,-0.053377516711628235
University of New Mexico,-0.06305187037245608
University of Vermont,-0.05350324990909646
West Virginia University,-0.008791824305932838
Florida Atlantic University,0.0
Mississippi State University,-0.278061778497415
Naval Postgraduate School,-0.09428409944007769
OHSU,0.0
Ohio University,0.0
Oklahoma State University,0.0
Saint Louis University,0.0
The University of Alabama,-0.05162450566041551
Towson University,-0.06647241646563062
UNC - Greensboro,0.0
University at Albany - SUNY,0.0
University of Cincinnati,-0.0914626799618062
University of Colorado - Denver,-0.27947780198917116
University of Denver,0.0
University of Michigan-Dearborn,-0.0512355084094945
University of Missouri,-0.09402243816151905
University of Nevada Las Vegas,0.0
University of New Orleans,0.0
University of Oklahoma,-0.3028255201321537
University of Southern Mississippi,0.0
University of Texas - El Paso,-0.3002438533816947
University of Wisconsin - Milwaukee,0.0
University of Wyoming,0.0
Utah State University,-0.28224894841603565
Western Michigan University,0.0
Wichita State University,-0.052379844789256357
Air Force Institute of Technology,0.0
Florida Institute of Technology,0.0
Indiana State University,0.0
Missouri S&T,-1.3515596807289754e-05
Missouri University of Technology,0.0
Montana State University,0.0
New Mexico Tech,-0.007416901883181411
Nova Southeastern University,0.0
Oakland University,0.0
SIU Carbondale,0.0
Southern Methodist University,0.0
University of Alabama - Huntsville,0.0
University of Louisville,0.0
University of Miami,0.0
University of Missouri - Kansas City,0.0
University of Tulsa,0.0
