university_name,fidelity
University of Oxford,-0.2606495075584405
Stanford University,-0.2606495075584405
Harvard University,-0.19464146329539744
California Institute of Technology,-0.2606495075584405
Massachusetts Institute of Technology,-0.2606495075584405
University of Cambridge,0.0
University of California Berkeley,-0.2606495075584405
Yale University,-0.19464146329539744
Princeton University,-0.19464146329539744
The University of Chicago,-0.19464146329539744
Imperial College London,0.0
Johns Hopkins University,-0.2606495075584405
University of Pennsylvania,-0.2606495075584405
ETH Zurich,0.0
University of California Los Angeles,-0.19464146329540455
UCL,0.0
Columbia University,-0.19464146329539744
University of Toronto,-0.2606495075584405
Cornell University,-0.19464146329539744
Duke University,-0.2606495075584405
Tsinghua University,-0.2606495075584405
University of Michigan-Ann Arbor,-0.19464146329539744
Peking University,-0.2606495075584405
Northwestern University,-0.2606495075584405
National University of Singapore,0.0
New York University,-0.19464146329539744
London School of Economics and Political Science,0.0
Carnegie Mellon University,-0.26064950755845473
University of Washington,-0.19464146329539744
University of Edinburgh,0.0
University of Melbourne,0.0
LMU Munich,-0.2606495075584405
University of California San Diego,-0.2606495075584405
University of British Columbia,0.0
King’s College London,0.0
Karolinska Institute,0.0
The University of Tokyo,-0.26064950755845473
Georgia Institute of Technology,-0.2606495075584405
University of Hong Kong,0.0
McGill University,0.0
Technical University of Munich,-0.2606495075584405
Heidelberg University,-0.2606495075584405
École Polytechnique Fédérale de Lausanne,0.0
University of Texas at Austin,-0.19464146329539744
KU Leuven,-0.2606495075584405
Paris Sciences et Lettres – PSL Research University Paris,-0.2606495075584405
Nanyang Technological University Singapore,0.0
University of Illinois at Urbana-Champaign,-0.19464146329541876
University of Wisconsin-Madison,-0.19464146329539744
Washington University in St Louis,-0.19464146329539744
University of Manchester,0.0
University of Sydney,0.0
University of Southern California,-0.19464146329539744
Boston University,-0.19464146329539744
Kyoto University,-0.26064950755845473
Chinese University of Hong Kong,0.0
The Hong Kong University of Science and Technology,0.0
University of North Carolina at Chapel Hill,-0.19464146329539744
Australian National University,0.0
Seoul National University,-0.2606495075584405
Brown University,-0.19464146329539744
The University of Queensland,0.0
Wageningen University & Research,-0.2606495075584405
University of California Davis,-0.19464146329539744
Monash University,0.0
University of Amsterdam,0.0
UNSW Sydney,0.0
University of California Santa Barbara,-0.2606495075584405
McMaster University,-0.2606495075584405
Fudan University,-0.19464146329540455
Leiden University,0.0
Erasmus University Rotterdam,0.0
University of Montreal,0.0
University of Zurich,0.0
Charité - Universitätsmedizin Berlin,-0.2606495075584405
Utrecht University,-0.2606495075584405
University of Warwick,0.0
Delft University of Technology,0.0
University of Tübingen,-0.2606495075584405
University of Groningen,0.0
Humboldt University of Berlin,-0.2606495075584405
Ohio State University (Main campus),-0.19464146329539744
University of Freiburg,-0.2606495075584405
University of Copenhagen,0.0
Emory University,-0.1946414632954081
University of Minnesota,-0.2606495075584405
École Polytechnique,0.0
University of Science and Technology of China,-0.2606495075584405
Sorbonne University,-0.2606495075584405
University of Maryland College Park,-0.19464146329540455
University of Bristol,0.0
University of Basel,0.0
University of Glasgow,0.0
Purdue University West Lafayette,-0.2606495075584476
Zhejiang University,-0.2606495075584405
Korea Advanced Institute of Science and Technology (KAIST),-0.2606495075584476
National Taiwan University (NTU),-0.2606495075584405
University of California Irvine,0.0
University of Helsinki,-0.19464146329539744
Shanghai Jiao Tong University,-0.2606495075584476
Dartmouth College,-0.19464146329539744
Sungkyunkwan University (SKKU),-0.2606495075584405
Ghent University,-0.2606495075584405
Lund University,0.0
Michigan State University,-0.2606495075584476
Aarhus University,0.0
University of Birmingham,0.0
RWTH Aachen University,-0.2606495075584405
University of Bern,0.0
Queen Mary University of London,0.0
Nanjing University,-0.2606495075584476
Uppsala University,-0.2606495075584405
Vanderbilt University,-0.19464146329539744
University of Bonn,-0.2606495075584476
Penn State (Main campus),-0.19464146329539744
Vrije Universiteit Amsterdam,0.0
University of Virginia (Main campus),-0.19464146329539744
University of Adelaide,0.0
Free University of Berlin,0.0
Georgetown University,-0.19464146329539744
Case Western Reserve University,-0.19464146329539744
Maastricht University,0.0
University of Sheffield,0.0
University of Arizona,-0.19464146329539744
Rice University,0.0
City University of Hong Kong,0.0
University of Oslo,0.0
University of Southampton,0.0
Hong Kong Polytechnic University,0.0
University of Göttingen,-0.2606495075584405
University of Alberta,0.0
University of Colorado Boulder,-0.19464146329539744
University of Pittsburgh-Pittsburgh campus,-0.194641463295401
University of York,0.0
University of Hamburg,-0.2606495075584405
Lancaster University,0.0
University of Paris,-0.2606495075584405
Radboud University Nijmegen,0.0
The University of Western Australia,0.0
Indiana University,-0.19464146329539744
University of Mannheim,-0.2606495075584405
Technical University of Berlin,-0.2606495075584405
Ulm University,-0.2606495075584405
University of Würzburg,-0.2606495075584476
University of Cologne,-0.2606495075584405
University of Ottawa,0.0
University of Auckland,0.0
University of Rochester,0.0
Durham University,0.0
University of Geneva,0.0
Pohang University of Science and Technology (POSTECH),-0.2606495075584405
University of Florida,-0.19464146329539744
Pompeu Fabra University,-0.2606495075584405
TU Dresden,-0.2606495075584405
University of Cape Town,0.0
Trinity College Dublin,0.0
Tufts University,-0.19464146329539744
Bielefeld University,-0.2606495075584405
University of Nottingham,0.0
University of Leeds,0.0
University of Sussex,0.0
University of Technology Sydney,0.0
University of Liverpool,0.0
Université Catholique de Louvain,0.0
University of Vienna,0.0
Rutgers the State University of New Jersey,-0.19464146329539744
University of Bologna,-0.194641463295401
Korea University,-0.2606495075584405
University of Alabama at Birmingham,-0.2606495075584405
University of Antwerp,-0.2606495075584405
University of Leicester,0.0
University of Notre Dame,-0.2606495075584405
Sant’Anna School of Advanced Studies – Pisa,-0.2606495075584405
University of Exeter,0.0
Lomonosov Moscow State University,-0.2606495075584405
Northeastern University,0.0
Ulsan National Institute of Science and Technology (UNIST),-0.2606495075584476
University of Aberdeen,0.0
Newcastle University,0.0
Paris-Saclay University,-0.2606495075584405
Scuola Normale Superiore di Pisa,-0.2606495075584405
Autonomous University of Barcelona,0.0
Stockholm University,0.0
Arizona State University (Tempe),-0.2606495075584405
University of Canberra,0.0
Queensland University of Technology,0.0
Eindhoven University of Technology,0.0
George Washington University,-0.2606495075584476
Technical University of Denmark,0.0
Yonsei University (Seoul campus),-0.2606495075584476
Cardiff University,0.0
University of Gothenburg,0.0
University of Lausanne,0.0
Tel Aviv University,-0.19464146329539744
Macquarie University,0.0
University of Münster,-0.19464146329540455
Texas A&M University,-0.19464146329539744
University of Barcelona,-0.19464146329539744
University of Erlangen-Nuremberg,-0.2606495075584476
University of Calgary,0.0
University of East Anglia,0.0
Queen’s University Belfast,0.0
Aalborg University,0.0
Aalto University,0.0
University of Bath,0.0
University of Bergen,0.0
Brandeis University,-0.2606495075584405
University of California Santa Cruz,-0.2606495075584405
Chalmers University of Technology,0.0
Copenhagen Business School,0.0
Curtin University,0.0
University of Duisburg-Essen,-0.2606495075584405
University of Dundee,0.0
Griffith University,0.0
University of Hawai’i at Mānoa,0.0
Hebrew University of Jerusalem,-0.2606495075584405
University of Hohenheim,-0.19464146329539744
Howard University,-0.2606495075584405
