Institution,max_sensitivity
Carnegie Mellon University,
Univ. of Illinois at Urbana-Champaign,
Univ. of California - San Diego,
Massachusetts Institute of Technology,
Georgia Institute of Technology,
Stanford University,
University of Michigan,
University of Washington,
Univ. of California - Berkeley,
Cornell University,
University of Maryland - College Park,
Northeastern University,
University of Wisconsin - Madison,0.9999999999999999
Columbia University,
Purdue University,0.9999999999999999
University of Texas at Austin,
University of Pennsylvania,
Princeton University,
University of Massachusetts Amherst,
New York University,
University of Southern California,
Univ. of California - Los Angeles,
Stony Brook University,
University of Chicago,
Univ. of California - Irvine,
Univ. of California - Santa Barbara,
Rutgers University,
Duke University,0.7999999999999999
Univ. of California - Riverside,
Northwestern University,
Pennsylvania State University,
University of Utah,0.9999999999999999
George Mason University,0.9999999999999999
Harvard University,0.7999999999999999
Ohio State University,0.7999999999999999
Texas A&M University,0.7999999999999999
Univ. of California - Santa Cruz,
Yale University,
Boston University,
Brown University,
North Carolina State University,
University at Buffalo,0.7999999999999999
Rice University,0.9999999999999999
University of Colorado Boulder,0.7999999999999999
University of Illinois at Chicago,
University of North Carolina,
University of Virginia,0.9999999999999999
Arizona State University,0.7999999999999999
University of Minnesota,0.7999999999999999
Virginia Tech,0.9999999999999999
Univ. of California - Davis,0.9999999999999999
Johns Hopkins University,
Oregon State University,0.7999999999999999
Indiana University,0.9999999999999999
University of Central Florida,0.7999999999999999
University of Rochester,0.7999999999999999
Michigan State University,0.7999999999999999
Rochester Institute of Technology,0.7999999999999999
University of Pittsburgh,0.9999999999999999
University of Texas at Dallas,0.7999999999999999
Washington University in St. Louis,0.7999999999999999
University of Notre Dame,0.9999999999999999
Univ. of California - Merced,0.9999999999999999
University of Delaware,0.7999999999999999
University of Florida,0.7999999999999999
University of Texas at Arlington,0.9999999999999999
University of Connecticut,0.9999999999999999
Binghamton University,0.7999999999999999
Clemson University,0.7999999999999999
TTI Chicago,
Vanderbilt University,0.7999999999999999
Worcester Polytechnic Institute,0.9999999999999999
California Institute of Technology,0.6
College of William and Mary,0.7999999999999999
Dartmouth College,0.6
Florida State University,0.6
Iowa State University,0.9999999999999999
Stevens Institute of Technology,0.9999999999999999
CUNY,0.19999999999999998
Emory University,0.7999999999999999
Georgetown University,0.7999999999999999
NJIT,0.9999999999999999
Tufts University,0.7999999999999999
University of Arizona,0.9999999999999999
University of Oregon,0.7999999999999999
Colorado School of Mines,0.7999999999999999
Illinois Institute of Technology,0.9999999999999999
Syracuse University,0.9999999999999999
Temple University,0.9999999999999999
Tulane University,0.9999999999999999
