Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Carnegie Mellon University,-0.0054438468002212075,-0.008084631986278778,-0.004134192711096128,-0.006604871782233211
Univ. of Illinois at Urbana-Champaign,-0.006206793902768277,-0.006865027063670593,-0.004040458435441798,-0.004672243765365783
Univ. of California - San Diego,-0.00708941339513034,-0.006624419157508471,-0.0005804469100336618,-0.0047346873029488045
Massachusetts Institute of Technology,-0.007152963691968818,-0.008426922164680332,-0.002532784140457391,-0.004467740684932107
Georgia Institute of Technology,-0.0049883513620653875,-0.008649009176106642,-0.0023864330075111396,-0.007641755411686601
Stanford University,-0.004969553586888341,-0.008830312862789945,-0.0032465512472133963,-0.0040140569857815105
University of Michigan,-0.006158523495872989,-0.009213305003295787,-0.0017970996671483872,-0.005065790073604993
University of Washington,-0.005023840150187111,-0.0074513965854033585,-0.0009911533117959532,-0.004564472547959362
Univ. of California - Berkeley,-0.005432501042009021,-0.007606339337585947,-0.0025584369482320457,-0.004725968724987495
Cornell University,-0.004877987046392977,-0.0075904280565548005,-0.0020297021322605063,-0.0030430807757647555
University of Maryland - College Park,-0.004849615471788302,-0.005654229537036403,0.00043153155400319377,-0.0036445337471976806
Northeastern University,-0.004773416468277649,-0.006689916359089709,-0.004061450229488244,-0.004956335012987514
University of Wisconsin - Madison,-0.006863418446559644,-0.008856013189386641,-0.003991197244792354,-0.004292811587644812
Columbia University,-0.004843713539576353,-0.007568634711679632,-0.0037617240460526705,-0.0035383541287012984
Purdue University,-0.006889038235438683,-0.008321296682522973,-0.001294334229563095,-0.005586392450650399
University of Texas at Austin,-0.00491017213739096,-0.008525024094101706,-0.0011853995185969086,-0.004111009687247648
University of Pennsylvania,-0.0036258732920664933,-0.009212674347197098,-0.0011711728036317237,-0.001134454737028224
Princeton University,-0.004559264951283356,-0.007429993730317364,-0.001941860812304872,-0.0033567799771435907
University of Massachusetts Amherst,-0.003573886340311513,-0.0062105495844985035,-0.0025132767016775924,-0.0018849904347423784
New York University,-0.004757231468783066,-0.007256245248300333,-0.0015293685864685342,-0.005015076025413327
University of Southern California,-0.0050543805521037774,-0.0074771029662250455,-0.0012127887982653655,-0.0044099625765221945
Univ. of California - Los Angeles,-0.0047033617804555835,-0.006514194765966383,-0.003269628932964281,-0.0007109819334658034
Stony Brook University,-0.005789797294216092,-0.0037877532073070158,-0.0016734534912258194,-0.005105779002887376
University of Chicago,-0.005647262753154846,-0.005290583955948615,-0.0025958453171637777,-0.004577837577998231
Univ. of California - Irvine,-0.005773887799218825,-0.006064879501259866,0.0003872332179758809,-0.003919392936420543
Univ. of California - Santa Barbara,-0.007069351086035711,-0.0053661080342822555,-0.0036757747548235675,-0.004549931316567972
Rutgers University,-0.0050647363127211305,-0.00818338951011981,-0.001181217860382666,-0.0032977317320302306
Duke University,-0.005575610140895754,-0.005880016222435227,-0.0019103146739916513,-0.0036282242111034414
Univ. of California - Riverside,0.0009617365162769885,-0.006334273187286137,-0.0019311248426944825,-0.0009773779379868273
Northwestern University,-0.003032522152898583,-0.00447196937558812,4.638712641024711e-06,-0.004927967733226069
Pennsylvania State University,-0.004497291057170914,-0.007328209543110178,0.0012265513486369492,-0.00020904924972966544
University of Utah,-0.002595480361963585,-0.005111230758320135,0.0009184565706685656,-0.0030897130462552887
George Mason University,-0.0030047570744467433,-0.006494737547364013,-0.0013727381976599172,-0.0013723507685094376
Harvard University,-0.0004881358446583422,-0.0005558383549627609,0.0007617906295982215,-0.004421664486378623
Ohio State University,-0.002091465536190417,-0.005803280786751036,0.0010309668825610155,-0.0007801556618491135
Texas A&M University,-0.004206874064624695,-0.002989800952280202,0.0007941396865781114,-0.0021836939798907853
Univ. of California - Santa Cruz,-0.0018113383600645958,-0.007179919869590517,-0.002349541571483673,-0.005013154864600279
Yale University,-0.0005920882144946004,-0.006321431876070694,-0.0024791531737178014,-0.004396476011692288
Boston University,-0.004960605005964465,-0.004509116219283198,-0.0015518565553017877,-6.270952046350653e-05
Brown University,-0.002630341970803279,-0.006798798243989809,-0.0010099580671599285,-0.0025951282034996294
North Carolina State University,-0.0008022636904487765,-0.00554281503777261,0.00018383030147319562,-0.002981692975435332
University at Buffalo,-0.004858356987478103,-0.003525788009629299,0.00012508689686964572,0.0006198263342292961
Rice University,-0.003532921827754522,-0.007396321686442912,-0.0022630619195541583,-0.0014610450186532827
University of Colorado Boulder,-0.0012058073160731064,-0.0009889247517303385,-0.0008814678675671114,-0.004547270868482425
University of Illinois at Chicago,-0.004308788315349738,-0.0025949087170010574,-0.0006797722169299583,0.0006884465528840457
University of North Carolina,-0.0016893725217580022,-0.00021110292244205483,0.0007259462020039669,-0.0025070057025727635
University of Virginia,-0.004486472456509428,-0.006349777998546917,-0.0020795232478799525,-0.0004334250156706551
Arizona State University,-0.004356616897755601,-0.004027794267139365,-0.000198286210667546,-0.0018987929318659666
University of Minnesota,-0.0025439687818672057,-0.0020318956862525202,-0.0023688188661006434,-0.0006621872727163294
Virginia Tech,-0.0004669335775884238,-0.005531611460331166,0.0007957504190779916,-0.0032052027803749976
Univ. of California - Davis,-0.0023538978126513167,-0.005045585826255991,-0.0018928741913267198,-0.000768974393494183
Johns Hopkins University,-0.0009210054962677417,0.0006550895640209381,-0.0019256509137167174,0.00037419725854093236
Oregon State University,-0.0027606795400521764,-0.0017151901024092106,-0.002747193201637484,-0.003607668368066049
Indiana University,-0.0019921649638638427,0.00035524601862495193,-0.0016684491296993821,-0.0007871940545147667
University of Central Florida,3.6859684043800906e-05,-0.0009274257384181858,0.0022916157044668333,0.002582023242647514
University of Rochester,-7.995248076803283e-06,-0.0016057463308428858,-0.00024278692607486142,-0.004035346690210902
