,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,fidelity_0,fidelity_1,fidelity_2
0,ATP,86,rank,,,27.387376228968304,27.427300453186035,27.338098526000977,27.396729707717896,,,,,,,,,,0.06733369388858762,0.06733369388858762,0.06733369388858762
1,ATP,86,rank,coalition_size,1.0,5.156870047251384,5.16597580909729,5.152693271636963,5.1519410610198975,0.931782945736434,0.931782945736434,0.931782945736434,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9617019111785293,0.9617019111785293,0.9617019111785293,14.791842437353527,14.791842437353527,14.791842437353527
2,ATP,86,rank,coalition_size,2.0,13.710753997166952,13.68972635269165,13.69878602027893,13.743749618530273,0.9542635658914729,0.9542635658914729,0.9542635658914729,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9770326401461387,0.9770326401461387,0.9770326401461387,11.180178474851271,11.180178474851271,11.180178474851271
3,ATP,86,rank,coalition_size,3.0,22.30439782142639,22.270163536071777,22.357619762420654,22.285410165786743,0.9627906976744187,0.9627906976744187,0.9627906976744187,0.9612403100775193,0.9612403100775193,0.9612403100775193,0.9860082234772751,0.9860082234772751,0.9860082234772751,7.4679195961781115,7.4679195961781115,7.4679195961781115
4,ATP,86,rank,coalition_size,4.0,26.601693232854206,26.61928367614746,26.577720403671265,26.608075618743896,0.9790697674418604,0.9790697674418604,0.9790697674418604,0.9767441860465116,0.9767441860465116,0.9767441860465116,0.9912436043968941,0.9912436043968941,0.9912436043968941,3.748490174869299,3.748490174869299,3.748490174869299
5,ATP,86,rank,coalition_size,5.0,27.476534684499104,27.413821935653687,27.431981325149536,27.583800792694092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
6,ATP,86,rank,sample_size,8.0,4.103827238082886,4.068767786026001,4.122202396392822,4.120511531829834,0.8945736434108528,0.8945736434108528,0.9116279069767441,0.9147286821705425,0.9224806201550387,0.9147286821705425,0.9444514939079756,0.9475501579314163,0.945482283868828,1.2556201550387596,1.2969476744186057,1.2559350775193798
7,ATP,86,rank,sample_size,17.0,6.788402636845906,6.787508249282837,6.757428407669067,6.820271253585815,0.9403100775193798,0.907751937984496,0.9224806201550387,0.945736434108527,0.9534883720930233,0.9302325581395348,0.9634421963028673,0.9644664672180788,0.9663926679591275,0.8610009119927042,0.7217282261741904,0.8416552667578664
8,ATP,86,rank,sample_size,25.0,9.205795923868815,9.252857446670532,9.186559915542603,9.17797040939331,0.9434108527131783,0.9193798449612403,0.9248062015503876,0.9302325581395349,0.9612403100775193,0.9147286821705425,0.9714153322748755,0.9729767327207172,0.9729473371050203,0.7240232558139539,0.5132403100775201,0.6203953488372091
9,ATP,86,rank,sample_size,34.0,11.932898918787638,11.97507905960083,11.979928731918335,11.84368896484375,0.9302325581395349,0.9310077519379846,0.9387596899224808,0.945736434108527,0.9534883720930233,0.945736434108527,0.9780649480084195,0.9776420564922159,0.9779780768618032,0.6239683082535342,0.4052382580939345,0.48765959872321113
10,ATP,86,rank,sample_size,43.0,14.623443762461344,14.57117772102356,14.7148916721344,14.584261894226074,0.958139534883721,0.9480620155038759,0.9480620155038759,0.9534883720930233,0.9534883720930233,0.9302325581395349,0.9829522420730256,0.9821928046340616,0.9824660122774436,0.46626104200468665,0.36594555615648167,0.42855146926266485
11,ATP,86,rank,sample_size,51.0,16.989298502604168,16.91478967666626,16.970588207244873,17.082517623901367,0.9651162790697675,0.9666666666666666,0.954263565891473,0.9689922480620154,0.9689922480620156,0.9224806201550387,0.984633847267424,0.9852698730562868,0.985593822059838,0.40482976136191,0.3323605411156703,0.35013299893600813
