,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4
0,CSRank,100,rank_score,,,1.0418101787567138,3.4678499698638916,0.4267234802246094,0.4403343200683594,0.44191575050354004,0.43222737312316895,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
1,CSRank,100,rank_score,coalition_size,1.0,0.2105545997619629,0.21145224571228027,0.21026277542114258,0.20934700965881348,0.20821762084960938,0.21349334716796875,0.9250000000000002,0.9250000000000002,0.9250000000000002,0.9250000000000002,0.9250000000000002,0.9466666666666665,0.9466666666666665,0.9466666666666665,0.9466666666666665,0.9466666666666665,0.9221876089785119,0.9221876089785119,0.9221876089785119,0.9221876089785119,0.9221876089785119,1.0,1.0,1.0,1.0,1.0
2,CSRank,100,rank_score,coalition_size,2.0,0.333545446395874,0.33266544342041016,0.34056544303894043,0.33780574798583984,0.33128833770751953,0.32540225982666016,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.9540000000000001,0.98,0.98,0.98,0.98,0.98,0.9483730444645811,0.9483730444645811,0.9483730444645811,0.9483730444645811,0.9483730444645811,1.0,1.0,1.0,1.0,1.0
3,CSRank,100,rank_score,coalition_size,3.0,0.4213609218597412,0.4236791133880615,0.42732715606689453,0.4117591381072998,0.4024314880371094,0.4416077136993408,0.9710000000000001,0.9710000000000001,0.9710000000000001,0.9710000000000001,0.9710000000000001,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9745556764365184,0.9745556764365184,0.9745556764365184,0.9745556764365184,0.9745556764365184,1.0,1.0,1.0,1.0,1.0
4,CSRank,100,rank_score,coalition_size,4.0,0.44565911293029786,0.4391322135925293,0.4538545608520508,0.4558751583099365,0.43927001953125,0.44016361236572266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CSRank,100,rank_score,sample_size,20.0,0.18900904655456544,0.19019079208374023,0.17653775215148926,0.1962871551513672,0.18987202644348145,0.19215750694274902,0.936,0.914,0.926,0.9209999999999999,0.9410000000000001,0.9666666666666666,0.9666666666666667,0.9533333333333335,0.9466666666666665,0.9333333333333332,0.9584766076141373,0.9407617388780642,0.9461022682998121,0.94700848348517,0.9463220679175004,1.0,1.0,1.0,1.0,1.0
6,CSRank,100,rank_score,sample_size,50.0,0.25269222259521484,0.26037120819091797,0.25971031188964844,0.24840378761291504,0.24346685409545898,0.2515089511871338,0.9390000000000001,0.9590000000000002,0.9550000000000002,0.95,0.9570000000000001,0.9866666666666667,0.9666666666666667,0.96,0.9866666666666666,0.96,0.962824594089751,0.9605752351568779,0.9630520055981165,0.9633908200927449,0.9655509646202215,1.0,1.0,1.0,1.0,1.0
7,CSRank,100,rank_score,sample_size,100.0,0.31462869644165037,0.3080112934112549,0.31800389289855957,0.3098413944244385,0.3205733299255371,0.3167135715484619,0.986,0.977,0.9719999999999999,0.982,0.9730000000000003,1.0,1.0,0.9866666666666667,0.9933333333333333,0.9866666666666666,0.9789331870872259,0.9749026411228539,0.9814858360407618,0.9783123070637814,0.9800605077383723,1.0,1.0,1.0,1.0,1.0
8,CSRank,100,rank_score,n_jobs,1.0,3.2541245937347414,3.2499823570251465,3.2662689685821533,3.2645680904388428,3.2494874000549316,3.240316152572632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,CSRank,100,rank_score,n_jobs,2.0,2.1632733821868895,2.838604211807251,1.9235525131225586,1.9941737651824951,2.1061387062072754,1.9538977146148682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,CSRank,100,rank_score,n_jobs,4.0,1.2905741214752198,2.1832120418548584,1.0706045627593994,1.0793306827545166,1.0697510242462158,1.0499722957611084,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,CSRank,100,rank_score,n_jobs,8.0,0.8113913059234619,1.5454857349395752,0.6288533210754395,0.623305082321167,0.6280643939971924,0.6312479972839355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,CSRank,100,rank_score,n_jobs,16.0,0.5309256076812744,0.9110562801361084,0.42533206939697266,0.4183652400970459,0.44864916801452637,0.45122528076171875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,CSRank,100,rank_score,n_jobs,32.0,0.5974400520324707,1.4016809463500977,0.4329710006713867,0.39338254928588867,0.3977646827697754,0.3614010810852051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,CSRank,100,rank_score,n_jobs,48.0,0.6165899753570556,1.409022331237793,0.42827320098876953,0.4644019603729248,0.39188075065612793,0.3893716335296631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
