,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4
0,Synthetic_2,100,rank,,,16.38916325569153,17.04845881462097,16.20992159843445,16.205570936203003,16.25255560874939,16.22930932044983,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
1,Synthetic_2,100,rank,coalition_size,1.0,12.23080916404724,12.255409479141235,12.228578090667725,12.22619342803955,12.272552490234375,12.17131233215332,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.98,0.98,0.98,0.98,0.98,0.9696296857773374,0.9696296857773374,0.9696296857773374,0.9696296857773374,0.9696296857773374,0.9185379841666667,0.9185379841666667,0.9185379841666667,0.9185379841666667,0.9185379841666667
2,Synthetic_2,100,rank,coalition_size,2.0,16.306529188156127,16.334892988204956,16.224246978759766,16.275955200195312,16.32519030570984,16.372360467910767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,Synthetic_2,100,rank,sample_size,20.0,0.36364336013793946,0.3692941665649414,0.3583486080169678,0.37551307678222656,0.3565499782562256,0.35851097106933594,0.9666666666666667,0.94,0.97,0.9633333333333333,0.9233333333333335,0.9933333333333333,0.9533333333333333,0.9733333333333334,0.9866666666666666,0.96,0.9069694521227696,0.9287436145867197,0.9226732066830933,0.9402414233676896,0.916164725554199,0.9681505,0.97418925,0.9703235416666667,0.9757953333333333,0.966288125
4,Synthetic_2,100,rank,sample_size,50.0,0.6021542549133301,0.6091318130493164,0.6041224002838135,0.6085340976715088,0.5973572731018066,0.5916256904602051,0.9666666666666666,0.9633333333333333,0.9466666666666668,0.99,0.9933333333333334,0.9866666666666666,0.9733333333333333,0.9666666666666667,0.9933333333333334,0.9933333333333334,0.9512282451022626,0.9536694212760853,0.939335982720648,0.9555827432009455,0.959614282018222,0.9835740333333334,0.9815392166666667,0.9733893333333333,0.98175385,0.9828798
5,Synthetic_2,100,rank,sample_size,100.0,0.9985760688781739,0.999753475189209,1.0009992122650146,0.9914026260375977,0.9991674423217773,1.0015575885772705,0.9866666666666666,0.9866666666666667,0.95,0.9766666666666667,1.0,0.9866666666666666,0.9866666666666667,0.9733333333333333,0.9866666666666666,1.0,0.9671775866524748,0.9610471199567663,0.9560584024479363,0.9635260024353387,0.9664461807656474,0.9875116583333333,0.9845154916666666,0.9782557333333334,0.9866703916666667,0.986434525
6,Synthetic_2,100,rank,sample_size,500.0,4.247945642471313,4.251146078109741,4.24160623550415,4.235612630844116,4.241098880767822,4.270264387130737,0.9966666666666666,1.0,0.9966666666666667,0.9933333333333334,0.9933333333333334,0.9933333333333334,1.0,1.0,0.9933333333333334,0.9933333333333334,0.9892564332809249,0.991045917291669,0.987251775188371,0.9879097013064115,0.9861280114047161,0.9960321033333334,0.996748915,0.9949382,0.99657216,0.9946556183333334
7,Synthetic_2,100,rank,sample_size,1000.0,8.28317928314209,8.253708839416504,8.283183336257935,8.295199394226074,8.293323993682861,8.290480852127075,1.0,0.9966666666666666,0.9966666666666666,0.9966666666666667,1.0,1.0,0.9933333333333334,0.9933333333333334,1.0,1.0,0.989806876134941,0.992631257945404,0.9901818759144255,0.9945956266006621,0.9949733018610316,0.9948685375,0.9981753483333333,0.9966669666666667,0.9987405191666666,0.9980563291666666
8,Synthetic_2,100,rank,sample_size,1500.0,12.330798053741455,12.355668306350708,12.32281494140625,12.338400840759277,12.33139443397522,12.30571174621582,0.9966666666666667,0.9966666666666666,1.0,0.9966666666666667,0.9966666666666666,1.0,0.9933333333333334,1.0,1.0,0.9933333333333334,0.9959705840439852,0.9957115642108237,0.9948080442721551,0.9959667575863562,0.9952677376148015,0.9983030594444444,0.9990715138888889,0.998294625,0.9987738438888889,0.99720383
9,Synthetic_2,100,rank,n_jobs,1.0,157.93923172950744,157.0931031703949,158.33398246765137,158.79547762870789,158.43399596214294,157.03959941864014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,Synthetic_2,100,rank,n_jobs,2.0,82.57747254371642,82.78783416748047,82.36396193504333,82.46355247497559,82.54338574409485,82.72862839698792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Synthetic_2,100,rank,n_jobs,4.0,41.481229829788205,42.11891198158264,41.26125764846802,41.30323648452759,41.282163858413696,41.4405791759491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Synthetic_2,100,rank,n_jobs,8.0,21.29781565666199,21.946923971176147,21.075881719589233,21.10400676727295,21.188873529434204,21.173392295837402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Synthetic_2,100,rank,n_jobs,16.0,12.207894468307495,12.541363716125488,12.036309480667114,12.129222631454468,12.115519046783447,12.217057466506958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,Synthetic_2,100,rank,n_jobs,32.0,12.12418599128723,12.813596725463867,11.990684270858765,11.855638027191162,11.966479301452637,11.994531631469727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,Synthetic_2,100,rank,n_jobs,48.0,11.947227001190186,12.639764308929443,11.570831060409546,11.836678504943848,11.822408676147461,11.86645245552063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,Synthetic_1,100,rank,,,16.897444677352905,19.798990964889526,16.143763542175293,16.120422840118408,16.230190753936768,16.19385528564453,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
17,Synthetic_1,100,rank,coalition_size,1.0,12.138480854034423,12.136884927749634,12.11985158920288,12.149465084075928,12.128417015075684,12.157785654067993,0.99,0.99,0.99,0.99,0.99,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.962896727313927,0.962896727313927,0.962896727313927,0.962896727313927,0.962896727313927,0.9377310591666667,0.9377310591666667,0.9377310591666667,0.9377310591666667,0.9377310591666667
18,Synthetic_1,100,rank,coalition_size,2.0,16.228433752059935,16.20133948326111,16.23094892501831,16.213178634643555,16.23702597618103,16.25967574119568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,Synthetic_1,100,rank,sample_size,20.0,0.3678308963775635,0.3683156967163086,0.3695247173309326,0.35641026496887207,0.36747002601623535,0.37743377685546875,0.9133333333333333,0.9433333333333332,0.8933333333333333,0.9533333333333335,0.93,0.94,0.9533333333333335,0.9266666666666665,0.9733333333333333,0.9533333333333333,0.8938654480091741,0.9141605863392215,0.8943265340175793,0.9384367536728498,0.8903035510842316,0.96501475,0.9590948333333333,0.962984625,0.9748174166666667,0.9504049166666667
20,Synthetic_1,100,rank,sample_size,50.0,0.6003036499023438,0.5988199710845947,0.5981676578521729,0.6064870357513428,0.5982558727264404,0.599787712097168,0.9266666666666667,0.95,0.9733333333333334,0.9533333333333335,0.9466666666666668,0.96,0.9666666666666666,0.9733333333333333,0.98,0.9733333333333334,0.9299423783758578,0.9355126097171325,0.9236688656086304,0.9531334103605461,0.942879822664341,0.9771173833333333,0.9774861333333333,0.9823057666666667,0.9799091666666666,0.978317
21,Synthetic_1,100,rank,sample_size,100.0,0.9941038131713867,0.9996519088745117,0.9921340942382812,1.00441575050354,0.9818620681762695,0.992455244064331,0.94,0.9933333333333333,0.9533333333333335,0.9633333333333334,0.9833333333333334,0.9666666666666666,0.9933333333333334,0.96,0.98,0.9933333333333334,0.9474038907137815,0.9484553129637415,0.9480314652317225,0.959663598659468,0.9632955567255458,0.9847377916666666,0.9855074416666667,0.9875273,0.985909875,0.985853325
22,Synthetic_1,100,rank,sample_size,500.0,4.2183277130126955,4.196949243545532,4.214832305908203,4.225517988204956,4.213394641876221,4.2409443855285645,0.9566666666666667,0.9666666666666667,0.9733333333333334,0.9933333333333334,0.9833333333333334,0.9733333333333333,0.98,0.9733333333333333,0.9933333333333333,0.9866666666666666,0.9818950270190377,0.9799471152928614,0.9817479367920601,0.9818244148491402,0.9834897486047436,0.9922779233333333,0.99400067,0.9927345266666666,0.994188235,0.99393593
23,Synthetic_1,100,rank,sample_size,1000.0,8.196995496749878,8.194013833999634,8.172296524047852,8.210391759872437,8.214361906051636,8.193913459777832,0.98,0.9833333333333333,0.9833333333333334,0.99,0.9933333333333334,0.9866666666666666,0.9866666666666666,0.9933333333333334,0.9933333333333333,0.9866666666666666,0.9895271041497337,0.989910143373031,0.991270881139473,0.9905990731857449,0.9865717513912406,0.9971982966666667,0.9954986508333333,0.9971070841666667,0.99692166,0.9958072366666667
24,Synthetic_1,100,rank,sample_size,1500.0,12.216288709640503,12.238514423370361,12.217617511749268,12.238256931304932,12.18058466911316,12.206470012664795,0.9933333333333333,1.0,0.9866666666666667,0.9966666666666666,0.9966666666666667,0.9933333333333333,1.0,0.9866666666666667,0.9933333333333333,1.0,0.9925441442328956,0.9955844012517574,0.9924564132836025,0.9938826867492783,0.9957323880730723,0.9975311483333333,0.99805197,0.9986554938888889,0.9973528283333334,0.9982313194444444
25,Synthetic_1,100,rank,n_jobs,1.0,156.5082854747772,155.59153294563293,157.55418586730957,156.61830759048462,156.34612441062927,156.4312765598297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,Synthetic_1,100,rank,n_jobs,2.0,81.13012204170226,81.31100583076477,80.89899253845215,81.1008312702179,81.08796525001526,81.25181531906128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,Synthetic_1,100,rank,n_jobs,4.0,40.554391622543335,41.07490301132202,40.32984972000122,40.40084218978882,40.37428903579712,40.592074155807495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,Synthetic_1,100,rank,n_jobs,8.0,20.91115379333496,21.593759059906006,20.738548755645752,20.6775062084198,20.75858473777771,20.787370204925537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,Synthetic_1,100,rank,n_jobs,16.0,12.01332426071167,12.428490400314331,12.0059175491333,12.007693767547607,11.866830825805664,11.757688760757446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30,Synthetic_1,100,rank,n_jobs,32.0,11.91839666366577,12.515191078186035,11.78801679611206,11.718263387680054,11.782282590866089,11.78822946548462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,Synthetic_1,100,rank,n_jobs,48.0,11.818900203704834,12.522263526916504,11.694790124893188,11.66200304031372,11.64552354812622,11.569920778274536,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
