,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4
0,Synthetic_2,100,rank_score,,,1.2338207244873047,5.351860523223877,0.19605708122253418,0.20839595794677734,0.21072816848754883,0.20206189155578613,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
1,Synthetic_2,100,rank_score,coalition_size,1.0,0.16321635246276855,0.1499190330505371,0.1653892993927002,0.17866206169128418,0.1704237461090088,0.1516876220703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.0,1.0
2,Synthetic_2,100,rank_score,coalition_size,2.0,0.21082286834716796,0.2067584991455078,0.20874691009521484,0.20721077919006348,0.21934771537780762,0.2120504379272461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999997,0.9999999999999997,1.0,1.0,1.0,1.0,1.0,1.0
3,Synthetic_2,100,rank_score,sample_size,20.0,0.1291292667388916,0.1272280216217041,0.12806367874145508,0.12590265274047852,0.13620638847351074,0.12824559211730957,0.9033333333333333,0.9400000000000002,0.92,0.9633333333333333,0.87,0.9466666666666665,0.9466666666666665,0.9466666666666665,0.96,0.9533333333333333,0.8865377882472185,0.8906971594575661,0.9055002663093759,0.8891565665338461,0.8698320868184947,1.0,1.0,1.0,1.0,1.0
4,Synthetic_2,100,rank_score,sample_size,50.0,0.1337350368499756,0.13004398345947266,0.12763261795043945,0.14832687377929688,0.12689971923828125,0.1357719898223877,0.9633333333333333,0.9466666666666668,0.8833333333333333,0.98,0.9466666666666665,0.9866666666666666,0.9466666666666668,0.9533333333333333,0.9933333333333333,0.98,0.9391761281231567,0.9352921234302439,0.892823922423854,0.9515091085496189,0.9266542462063999,1.0,1.0,1.0,1.0,1.0
5,Synthetic_2,100,rank_score,sample_size,100.0,0.12217035293579101,0.12664508819580078,0.11452746391296387,0.11615586280822754,0.12657642364501953,0.12694692611694336,0.9533333333333333,0.9766666666666666,0.9400000000000002,0.98,0.97,0.98,0.9866666666666666,0.9799999999999999,0.9933333333333333,0.9866666666666666,0.9513236006276868,0.9615646176106253,0.9327355858875707,0.9652234115600148,0.941746463351261,1.0,1.0,1.0,1.0,1.0
6,Synthetic_2,100,rank_score,sample_size,250.0,0.13640360832214354,0.1370069980621338,0.136199951171875,0.13893342018127441,0.12520718574523926,0.1446704864501953,0.9866666666666666,0.9533333333333333,0.9733333333333333,0.9766666666666666,0.9966666666666666,1.0,0.9733333333333334,0.9866666666666666,0.9866666666666666,0.9933333333333333,0.9673280965214934,0.9664674979864196,0.9645426755870435,0.9742863525532596,0.9781773188311442,1.0,1.0,1.0,1.0,1.0
7,Synthetic_2,100,rank_score,sample_size,500.0,0.13287973403930664,0.14083361625671387,0.1377086639404297,0.1293950080871582,0.1264660358428955,0.12999534606933594,1.0,1.0,0.9966666666666667,0.99,0.9966666666666666,1.0,1.0,0.9933333333333333,0.9933333333333333,1.0,0.9872830819083005,0.9906228588395365,0.9837484061005068,0.9831907900837469,0.9805242925500934,1.0,1.0,1.0,1.0,1.0
8,Synthetic_2,100,rank_score,sample_size,1000.0,0.15042943954467775,0.148834228515625,0.14155197143554688,0.166337251663208,0.14660310745239258,0.1488206386566162,0.9966666666666666,0.9866666666666666,1.0,0.9966666666666666,1.0,1.0,0.9933333333333333,1.0,1.0,1.0,0.9895194216680688,0.9876495186896043,0.9881642029787504,0.989874514962046,0.9901678137951962,1.0,1.0,1.0,1.0,1.0
9,Synthetic_2,100,rank_score,sample_size,1500.0,0.17400541305541992,0.17150187492370605,0.18004083633422852,0.17752432823181152,0.17052602767944336,0.17043399810791016,0.9966666666666666,0.9966666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993209747515097,0.9924838692627523,0.9939219871078775,0.994442726908087,0.9922476642019089,1.0,1.0,1.0,1.0,1.0
