,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_kendall_5,agreement_kendall_6,agreement_kendall_7,agreement_kendall_8,agreement_kendall_9,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_jaccard2_5,agreement_jaccard2_6,agreement_jaccard2_7,agreement_jaccard2_8,agreement_jaccard2_9,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,agreement_euclidean_5,agreement_euclidean_6,agreement_euclidean_7,agreement_euclidean_8,agreement_euclidean_9,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4,fidelity_5,fidelity_6,fidelity_7,fidelity_8,fidelity_9
0,Higher Education,100,rank_rank,,,50.87278945446015,51.34130597114563,50.18887519836426,50.25918173789978,51.393226623535156,50.81122398376465,50.8111834526062,50.937427043914795,50.79825019836426,51.0052924156189,51.18192791938782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,Higher Education,100,rank_rank,coalition_size,1.0,15.996940636634827,16.035834550857544,16.06653928756714,16.006999015808105,16.014323472976685,15.925351858139038,16.216817378997803,16.00721311569214,15.887120246887207,15.889972448348999,15.919234991073608,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.9830000000000001,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.9603428763861824,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031,0.8445678129891031
2,Higher Education,100,rank_rank,coalition_size,2.0,34.75331695079804,34.75290536880493,34.52291917800903,35.21279788017273,34.821697473526,34.76152467727661,34.495609283447266,34.66069936752319,34.64391112327576,35.0376935005188,34.623411655426025,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9880000000000001,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.9739747833052439,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544,0.8952038844921544
3,Higher Education,100,rank_rank,coalition_size,3.0,47.77723300457001,47.777756452560425,47.43400979042053,47.79062294960022,47.8888213634491,48.153712034225464,47.88046646118164,47.73883295059204,48.231266498565674,47.694064140319824,47.182777404785156,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9873220115733408,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353,0.9470425544688353
4,Higher Education,100,rank_rank,coalition_size,4.0,50.65731506347656,50.91805934906006,50.38894605636597,50.90992522239685,51.0432813167572,50.537569999694824,50.3254075050354,50.38035702705383,50.48272943496704,50.70368814468384,50.88318657875061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,Higher Education,100,rank_rank,sample_size,20.0,1.4564574718475343,1.4469115734100342,1.4405837059020996,1.450434684753418,1.4882922172546387,1.4336144924163818,1.4588117599487305,1.5029001235961914,1.458434820175171,1.4365553855895996,1.4480359554290771,0.9780000000000001,0.9700000000000002,0.9790000000000001,0.966,0.9740000000000001,0.9630000000000001,0.971,0.9780000000000001,0.9740000000000001,0.9630000000000001,0.9466666666666668,0.92,0.96,0.92,0.9266666666666665,0.9133333333333333,0.9266666666666665,0.9266666666666665,0.9066666666666667,0.8666666666666667,0.9718111834005506,0.9618597396861303,0.9646388076771955,0.9527968989441031,0.9618129853493416,0.9563478038720022,0.9618799896668111,0.969518820935214,0.9689478914840438,0.9588850702289085,0.9916162977745525,0.9900556301403,0.9885570331398161,0.9833645863570392,0.9861113086598936,0.9888239477503629,0.9858138788098694,0.9910582002902758,0.9902431785195936,0.9885502539912917
6,Higher Education,100,rank_rank,sample_size,50.0,2.599880647659302,2.588019371032715,2.6410956382751465,2.580367088317871,2.5671491622924805,2.5688929557800293,2.616746664047241,2.6452102661132812,2.60912823677063,2.626309394836426,2.5558876991271973,0.9860000000000001,0.9880000000000001,0.992,0.98,0.993,0.9800000000000001,0.9830000000000001,0.9830000000000001,0.9810000000000002,0.9760000000000001,0.9599999999999999,0.9666666666666667,0.96,0.94,0.9733333333333334,0.94,0.9466666666666665,0.9333333333333332,0.9333333333333335,0.9266666666666665,0.980781295045442,0.9808865799020724,0.9817988939632524,0.9743405013515942,0.9833454393243484,0.9725256382385843,0.9749973691066661,0.9717315656515356,0.9773124869761944,0.9736885995125597,0.9946334857281084,0.9936284929850024,0.9946193081761007,0.9940003338171263,0.9945217779390421,0.9927388945331398,0.9923216352201258,0.991481076439284,0.9929053193033381,0.9875507958393808
7,Higher Education,100,rank_rank,sample_size,100.0,4.433850550651551,4.42120623588562,4.420427560806274,4.457094669342041,4.482920408248901,4.444003343582153,4.451524972915649,4.35898756980896,4.425992250442505,4.453393936157227,4.422954559326172,0.995,0.996,0.9940000000000001,0.9820000000000002,0.985,0.9880000000000001,0.9920000000000002,0.9790000000000001,0.991,0.9890000000000001,0.9866666666666666,0.9933333333333334,0.9866666666666666,0.9466666666666665,0.9466666666666665,0.9733333333333333,0.9733333333333334,0.9466666666666665,0.9866666666666667,0.9666666666666667,0.9874475082398767,0.9885982751350538,0.9848739048196775,0.9771218315220247,0.9804725604949419,0.981069373941828,0.979065612881608,0.9749679789261791,0.9884251563292535,0.9840322720989525,0.9948593299467828,0.9961110982099661,0.9936636877116594,0.9925128531688437,0.9955493480890178,0.9926934542815675,0.9955579898403484,0.9949671444121916,0.9963813074504112,0.9946524975810354
8,Higher Education,100,rank_rank,sample_size,250.0,9.98567862510681,9.89320182800293,10.02910828590393,10.150903463363647,9.962365865707397,9.956306457519531,9.964040517807007,9.955205917358398,10.069330930709839,9.873205184936523,10.003117799758911,0.996,0.9930000000000001,0.991,0.9890000000000001,0.9940000000000001,0.9930000000000001,0.99,0.991,0.9940000000000001,0.9969999999999999,0.9866666666666666,0.9866666666666666,0.9733333333333333,0.9666666666666666,0.9933333333333333,0.96,0.9933333333333333,0.96,0.9866666666666666,0.9733333333333334,0.9904283703050649,0.9895216396752862,0.9913585915944361,0.9892121272603354,0.9902673166133563,0.9913339763307742,0.989837897864428,0.9878111048067832,0.99106552739077,0.9899578467757209,0.9962365849056604,0.9958980135462022,0.9956146448959845,0.99779506095791,0.9980971204644412,0.9973079854862119,0.9974801344944364,0.9975201461054669,0.9979829066279632,0.9968717377842283
9,Higher Education,100,rank_rank,sample_size,500.0,18.927914595603944,18.928377389907837,18.86549663543701,18.936814308166504,18.7406964302063,19.34876298904419,19.260340929031372,18.896103858947754,18.7833833694458,18.77629542350769,18.74287462234497,0.996,0.9990000000000001,0.997,0.996,0.995,0.9940000000000001,0.9940000000000001,0.995,0.9990000000000001,0.998,0.9933333333333333,0.98,0.98,1.0,0.9933333333333334,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666667,1.0,0.9961368933740087,0.9939876364816826,0.993406608944739,0.9939016549314676,0.9948636403483648,0.9943336643636376,0.9951722271094584,0.9938089623129572,0.9913873776280526,0.9950821216110539,0.9988598297048863,0.9969404895984518,0.998638514997581,0.9986139927431059,0.9986380599903242,0.9985149859700049,0.9989653645379778,0.9979806470730528,0.998415847605225,0.9983413205128205
